Date;Achat totale de gaz algérien. en ktep
1 / 2005;31.18
2 / 2005;23.64
3 / 2005;27.84
4 / 2005;31.18
5 / 2005;26.15
6 / 2005;53.18
7 / 2005;62.73
8 / 2005;29.62
9 / 2005;110.48
10 / 2005;
11 / 2005;
12 / 2005;510.98
1 / 2006;31.29
2 / 2006;23.66
3 / 2006;26.25
4 / 2006;35.43
5 / 2006;34.43
6 / 2006;29.51
7 / 2006;52.09
8 / 2006;62.74
9 / 2006;53.85
10 / 2006;32.69
11 / 2006;38.72
12 / 2006;31.09
1 / 2007;31.19
2 / 2007;23.44
3 / 2007;26.22
4 / 2007;56.3
5 / 2007;57.11
6 / 2007;95.72
7 / 2007;106.52
8 / 2007;142.28
9 / 2007;77.24
10 / 2007;58.99
11 / 2007;50.78
12 / 2007;60.53
1 / 2008;57.68
2 / 2008;58.51
3 / 2008;62.71
4 / 2008;91.59
5 / 2008;186.56
6 / 2008;114.08
7 / 2008;236.65
8 / 2008;71.92
9 / 2008;113.08
10 / 2008;40.36
11 / 2008;25.18
12 / 2008;27.7
1 / 2009;31.17
2 / 2009;29.86
3 / 2009;37.04
4 / 2009;29.9
5 / 2009;82.12
6 / 2009;108.99
7 / 2009;199.85
8 / 2009;190.73
9 / 2009;102.5
10 / 2009;91.15
11 / 2009;56.79
12 / 2009;45.37
1 / 2010;59.16
2 / 2010;29.1
3 / 2010;53.83
4 / 2010;33.05
5 / 2010;66.74
6 / 2010;95.3
7 / 2010;140.52
8 / 2010;141.53
9 / 2010;93.25
10 / 2010;97.17
11 / 2010;52.08
12 / 2010;85.7
1 / 2011;70.24
2 / 2011;85.31
3 / 2011;67.68
4 / 2011;78.47
5 / 2011;45.9
6 / 2011;56.53
7 / 2011;124.83
8 / 2011;107.24
9 / 2011;106.69
10 / 2011;64.66
11 / 2011;98.82
12 / 2011;141.45
1 / 2012;134.65
2 / 2012;81.43
3 / 2012;92.57
4 / 2012;75.5
5 / 2012;82.96
6 / 2012;145.75
7 / 2012;193.7
8 / 2012;242.4
9 / 2012;151.66
10 / 2012;104.02
11 / 2012;74.5
12 / 2012;100.65
1 / 2013;91.11
2 / 2013;106.6
3 / 2013;109.39
4 / 2013;110.44
5 / 2013;129.25
6 / 2013;186.64
7 / 2013;240.88
8 / 2013;212.14
9 / 2013;191.24
10 / 2013;144.84
11 / 2013;153.99
12 / 2013;163.24
1 / 2014;175.87
2 / 2014;152.8
3 / 2014;192.56
4 / 2014;171.86
5 / 2014;229.04
6 / 2014;222.3
7 / 2014;235.22
8 / 2014;255.61
9 / 2014;273.12
10 / 2014;180.18
11 / 2014;126.98
12 / 2014;154.3
1 / 2015;147.28
2 / 2015;180.53
3 / 2015;172.86
4 / 2015;154.28
5 / 2015;164.31
6 / 2015;166.96
7 / 2015;229.82
8 / 2015;257.06
9 / 2015;194.91
10 / 2015;193.63
11 / 2015;155.81
12 / 2015;194.96
1 / 2016;156.42
2 / 2016;190.75
3 / 2016;264.27
4 / 2016;87.66
5 / 2016;211.31
6 / 2016;196.71
7 / 2016;250.83
8 / 2016;265.17
9 / 2016;197.96
10 / 2016;161.76
11 / 2016;111.96
12 / 2016;154.22
1 / 2017;209.13
2 / 2017;148.37
3 / 2017;142.65
4 / 2017;139.98
5 / 2017;183.98
6 / 2017;233
7 / 2017;300.86
8 / 2017;354.94
9 / 2017;196.39
10 / 2017;147.66
11 / 2017;143.87
12 / 2017;217.46
1 / 2018;203.53
2 / 2018;193.67
3 / 2018;159.11
4 / 2018;198.13
5 / 2018;218.46
6 / 2018;197.22
7 / 2018;356.85
8 / 2018;275.96
9 / 2018;283.07
10 / 2018;172.1
11 / 2018;171.01
12 / 2018;201.02
1 / 2019;230.75
2 / 2019;222.04
3 / 2019;226.79
4 / 2019;216.38
5 / 2019;189.02
6 / 2019;275.53
7 / 2019;396.9
8 / 2019;383.94
9 / 2019;267.47
10 / 2019;214.9
11 / 2019;251.27
12 / 2019;245.62
1 / 2020;258.5369655
2 / 2020;239.7015801
3 / 2020;217.17
4 / 2020;115.22999923596
5 / 2020;205.13720825136
6 / 2020;263.497274888399
7 / 2020;342.54986316516
8 / 2020;368.4010815
9 / 2020;265.4725167
10 / 2020;188.75743580484
11 / 2020;164.54035096884
12 / 2020;164.3641245
1 / 2021;170.55455748156
2 / 2021;137.51312974056
3 / 2021;175.25826301788
4 / 2021;142.4390846256
5 / 2021;147.50121113784
6 / 2021;194.9282046
7 / 2021;277.0149303
8 / 2021;280.304901
9 / 2021;194.80888627956
10 / 2021;196.9026768
11 / 2021;175.93314660684
12 / 2021;202.2044148
janv-22;201.79007563932
févr-22;183.2637735
mars-22;193.9290417
avr-22;158.630184
mai-22;170.4660273
juin-22;196.08986792052
juil-22;278.2574505
août-22;284.29958310516
sept-22;190.2062502
;
;
;
