date,num,endroit_a,endroit_f,nom_artiste_a,nom_artiste_f,titre,prix
19/02/2016,1,رواق التياترو,,حافظ الجريبي,,16 Bébé,500
19/02/2016,2,,,مالك سعد الله,,peep show,450
19/02/2016,3,,,مراد زراعي,,Tunis,600
19/02/2016,4,,,نهلة دخيلي,,sensualité,3000
19/02/2016,5,,,وليد عرضاوي,,3am el dhahbi,2800
19/02/2016,6,,,فردوس برينصي,,lumiére  jaune,450
19/02/2016,7,دار الثقافة حمام سوسة,,زين الحرباوي,,سوق اسبوعية,6000
19/02/2016,8,,,نجيب بوقشة,,visages metissés,4500
19/02/2016,9,فضاء كان,,عثمان ببا,,les yeux du désir,800
19/02/2016,10,,,رضوان عيادي,,figuarbilité,3000
19/02/2016,11,,,بديع بن ناصر,,la méditérrané au cœur,250
19/02/2016,12,,,محسن جليطي,,femme ionique,7000
19/02/2016,13,"رواق ""البيرو"" بسوسة",,وسام العابد,,بدون عنوان,2200
19/02/2016,14,,,محمد بن سلطان,,les acrobates,4500
19/02/2016,15,,,أنور سفطة,,blackout,1800
23/02/2016,16,دار الكتب الوطنية,,بسمة هلال,,arabe-est ce-que,2800
23/02/2016,17,,,إكرام تيرة,,electroménagerie,4300
23/02/2016,18,,,عمر بسيس,,بدون عنوان,1600
23/02/2016,19,,,كريم كمون,,echec et mat,1200
23/02/2016,20,,,بثينة يزيدي,,lecture noire,400
23/02/2016,21,,,نجاح زربوط,,faites l'amour et pas la guerre(8 p),2400
23/02/2016,22,رواق القرماسي,,نور الدين الرياحي,,نافذة بالوان الصباح,1800
23/02/2016,23,قصر العبدلية,,جلال بالسعد وياسر الجرادي,,son silence,4500
23/02/2016,24,,,جلال بالسعد وياسر الجرادي,,larmes de ma mére,3000
23/02/2016,25,رواق الفن الجميل,,إلهام تقتق,,contraste,600
23/02/2016,26,قصر خير الدين,,ألفة عفاس,,بدون عنوان,2200
23/02/2016,27,,,ماجد زليلة,,reveillon,5500
23/02/2016,28,,,عبد الوهاب الشارني,,كأنما على رأسه طير,5000
23/02/2016,29,,,نائلة بن عياد,,A la recherche du savoir,2000
23/02/2016,30,,,زياد بن سلامة,,marionettes,2500
23/02/2016,31,,,توفيق بن عمران,,RDV,800
23/02/2016,32,,,سمير بن قويعة,,indifférence,6000
23/02/2016,33,,,إيمان السويسي,,ورد ورمان,2500
23/02/2016,34,,,إسلام بالحاج رحومة,,بدون عنوان,2400
23/02/2016,35,رواق القرجي,,عماد جميل,,morceaux choisis,13000
23/02/2016,36,المكتبة المعوماتية بأريانة,,هالة عموس,,tableau dessin(6p),900
23/02/2016,37,,,جميلة بن عبد الله,,portrait(8p),2800
23/02/2016,38,دار الثقافة باردو,,محمد اليعقوبي,,le cri,3500
23/02/2016,39,دار الفنون بالبلفيدير,,محمد بو عزيز,,profondeur de vie,4400
23/02/2016,40,,,محمد غسان,,أبو سعود,2800
23/02/2016,41,,,إيمان بالسرور,,surf minéral,900
23/02/2016,42,,,عبد العزيز محسني,,les précieuses ridicules (10p),8000
23/02/2016,43,,,صابر صحراوي,,عصفور الجنة,2000
29/02/2016,44,رواق مسك وعنبر,,هالة لمين,,7achek barcha,7000
