date,num,endroit_a,nom_artiste_a,type_d_exposition_a,type_de_galerie_a,prix
08/03/2017,1,رواق عين,بديع شوشان,معرض جماعي,خاص,4500
08/03/2017,2,رواق عين,هاشمي مرزوق,معرض جماعي,خاص,4000
08/03/2017,3,رواق عين,الحبيب السعيدي,معرض جماعي,خاص,5000
08/03/2017,4,دار الفنون بالبلفيدير,مراد بن بريكة,معرض جماعي,عام,4500
08/03/2017,5,دار الفنون بالبلفيدير,محمد بوعزيز,معرض جماعي,عام,5300
08/03/2017,6,دار الفنون بالبلفيدير,عبدالعزيز محسني,معرض جماعي,عام,9000
08/03/2017,7,دار الفنون بالبلفيدير,إيمان بالسّرور,معرض جماعي,عام,1400
08/03/2017,8,دار الفنون بالبلفيدير,بوجمعة بالعيفة,معرض جماعي,عام,4000
08/03/2017,9,رواق روبتزوف بالمرسى,نائلة بن عيّاد,معرض جماعي,خاص,3000
08/03/2017,10,رواق روبتزوف بالمرسى,وفاء القاضي,معرض جماعي,خاص,2500
08/03/2017,11,رواق روبتزوف بالمرسى,زبيدة شمّاري,معرض جماعي,خاص,2000
08/03/2017,12,المكتبة المعلوماتيّة بأريانة,علياء الكاتب,معرض جماعي,عام,3500
08/03/2017,13,المكتبة المعلوماتيّة بأريانة,ريم بن عبداللّه,معرض جماعي,عام,1800
08/03/2017,14,رواق علي القرماسي,رجاء القاسمي,معرض جماعي,خاص,2000
08/03/2017,15,دار الثقافة ابن رشيق,محمد ميلاد,معرض فردي,عام,950
14/03/2017,16,"فضاء ""سوهو"" بنابل",منى فرجاني,معرض فردي,خاص,900
14/03/2017,17,دار الثقافة المروج,الناصر اللّواتي,معرض جماعي,عام,4000
14/03/2017,18,دار الثقافة زغوان,محرز الزّين,معرض جماعي,عام,1000
14/03/2017,19,المركّب الثقافي نيابوليس نابل,رياض بالحاج أحمد,معرض جماعي,عام,3000
14/03/2017,20,المركّب الثقافي نيابوليس نابل,إيمان الدّوزي,معرض جماعي,عام,2600
14/03/2017,21,رواق علي القرماسي,بشير الزريبي,معرض فردي,خاص,9000
21/03/2017,22,دار الثقافة بالزّهراء,حبيب الجامعي,معرض فردي,عام,3500
21/03/2017,23,رواق الفنون ببن عروس,صبرين قويرح,معرض جماعي,عام,1200
21/03/2017,24,رواق كاليستي,فتحي بن زاكور,معرض جماعي,خاص,800
21/03/2017,25,رواق كاليستي,عبدالحميد الثّابوتي,معرض جماعي,خاص,1200
21/03/2017,26,رواق روبتزوف,صادق قمش,معرض فردي,خاص,3000
21/03/2017,27,دار الفنون,ليلى علاّقي,معرض جماعي,عام,2700
21/03/2017,28,دار الفنون ,عدنان حاج ساسي,معرض جماعي,عام,8000
21/03/2017,29,دار الفنون ,سنية بن رمضان,معرض جماعي,عام,1200
21/03/2017,30,دار الفنون ,ماهر العروسي,معرض جماعي,عام,2500
21/03/2017,31,دار الفنون ,عبدالوهاب الشارني,معرض جماعي,عام,6500
21/03/2017,32,دار الفنون ,باكر بن فرج,معرض جماعي,عام,8000
21/03/2017,33,دار الفنون,نعمان قمش,معرض جماعي,عام,6000
21/03/2017,34,دار الفنون ,كمال كشو,معرض جماعي,عام,3000
21/03/2017,35,دار الفنون ,إبراهيم بهلول,معرض جماعي,عام,1500
21/03/2017,36,دار الفنون ,عبدالحميد حجّام,معرض جماعي,عام,5000
21/03/2017,37,دار الفنون ,محمد الرّقيق,معرض جماعي,عام,3000
21/03/2017,38,دار الفنون ,عبدالمجيد عيّاد,معرض جماعي,عام,5500
21/03/2017,39,دار الفنون ,علي فندري,معرض جماعي,عام,5000
21/03/2017,40,دار الفنون ,ماجد زليلة,معرض جماعي,عام,6500
21/03/2017,41,دار الفنون ,ليلى السهيلي,معرض جماعي,عام,4200
21/03/2017,42,دار الفنون ,عبداللّطيف حشيشة,معرض جماعي,عام,3600
21/03/2017,43,دار الفنون ,حبيب بيدة,معرض جماعي,عام,7000
21/03/2017,44,دار الفنون ,محمد بوعزيز,معرض جماعي,عام,5500
21/03/2017,45,دار الفنون ,محمود قفصيّة,معرض جماعي,عام,2500
21/03/2017,46,دار الفنون ,نجوى عبدالمقصود,معرض جماعي,عام,3800
21/03/2017,47,دار الفنون ,صادق قمش,معرض جماعي,عام,8500
21/03/2017,48,دار الفنون ,منجي معتوق,معرض جماعي,عام,10000
21/03/2017,49,دار الفنون ,ليندة عبداللّطيف,معرض جماعي,عام,6000
21/03/2017,50,دار الفنون ,فوزيّة الهيشري,معرض جماعي,عام,3750
21/03/2017,51,دار الفنون ,حمدة دنيدن,معرض جماعي,عام,7000
21/03/2017,52,دار الفنون,سارّة بن عطيّة,معرض جماعي,عام,5000
21/03/2017,53,قصر خير الدين ,رؤوف قارة,معرض جماعي,عام,4500
21/03/2017,54,قصر خير الدين ,سلوى العايدي,معرض جماعي,عام,3800
21/03/2017,55,قصر خير الدين ,وليد القيزاني,معرض جماعي,عام,1200
21/03/2017,56,قصر خير الدين ,محمد المالكي,معرض جماعي,عام,8000
21/03/2017,57,قصر خير الدين ,رباب رويسي,معرض جماعي,عام,900
21/03/2017,58,قصر خير الدين ,سعد القصّاب,معرض جماعي,عام,3500
21/03/2017,59,قصر خير الدين ,نسرين التومي,معرض جماعي,عام,2400
21/03/2017,60,قصر خير الدين ,يسرى زخامة,معرض جماعي,عام,200
21/03/2017,61,قصر خير الدين ,كوثر بحري درغوث,معرض جماعي,عام,3500
21/03/2017,62,قصر خير الدين ,محمد البعتي,معرض جماعي,عام,4900
