Endroit,Nom_artiste,titre,Type_d_exposition,Type_de_galerie,Prix,Prix_Total
رواق السعدي,نادية هماني,transparance émerande,جماعي,خاص,1800,32050
,ألفة بن صالح,nu,جماعي,خاص,850,
,michel gilberty,l'attente,جماعي,خاص,6000,
,أيمن شوالي,diva diva,جماعي,خاص,2000,
,نجاة غريسي,le temps,جماعي,خاص,13000,
,نجيب شوق,"sud tunisie ,un regard revisité",جماعي,خاص,800,
,كمال العقربي,makhzen enncija houmet essouk ,جماعي,خاص,1200,
,مراد بن محمود ,lella hadira à djerba,جماعي,خاص,700,
,صالح جابر,brodeuse - dar chaabene el fehri,جماعي,خاص,1200,
,حسن الصوفي,la réveuse ,فردي,خاص,4500,
رواق أليكسندر روبتزوف,فيصل الماجري,voyage,جماعي,خاص,4500,9300
,وسام العابد,space invaders,جماعي,خاص,4800,
رواق ألف ورقة,صلاح الحمزاوي,the suided of liberty style,فردي,خاص,12000,14200
,أسماء غلوفي ,ajours ,جماعي,خاص,800,
,أسامة الطرودي,emondes,جماعي,خاص,500,
,لماء الصافي,appartement,جماعي,عمومي,900,
رواق مسك و عنبر ,سمير مخلوف,juste un pas au bout de la droit,جماعي,خاص,4000,12500
,ميشالا مرقريتا,i pesci rossi,جماعي,خاص,3000,
,أميرة مطيمط,social net-worker,جماعي,خاص,2500,
,نجاح الزربوط,ecume,جماعي,خاص,3000,
رواق اركوم,رضوان العيادي,ascension,جماعي,خاص,7500,35600
,كوثر البحري,perspectives voyageuses2,جماعي,خاص,2500,
,وليد العرضاوي,busy doing,جماعي,خاص,7000,
,نسرين الأمين,apnea,جماعي,خاص,3000,
,حمدة السايدي,présomption,جماعي,خاص,1800,
,محمد غسان,salvation,جماعي,خاص,6000,
,وديع المهيري,le mâle,جماعي,عمومي,1500,
,نادية رجيبة,polish edition ,جماعي,عمومي,300,
,محمد نعمان قمش,superposition 3,فردي,خاص,6000,
رواق الفنون بن عروس,بسمة بن يحي,méditation,جماعي,عمومي,4800,21400
,يسر الجاموسي,"s,t",جماعي,عمومي,4300,
,عبد المهيمن التاجوري,lumiére réduite 2,جماعي,عمومي,1800,
,زياد بن سلامة,"s,t",جماعي,عمومي,3500,
,إيمان العلوي,تنويعات كرافيرافية حول القط,فردي,عمومي,3000,
,محمد بن الهادي الشريف,و للناس فيما يعشقون سراول,فردي,خاص,4000,
رواق الدامة,أمنة بن رحومة ,archi texture,جماعي,خاص,2500,16100
,حبيب الجامعي,le mariage,جماعي,خاص,4000,
,خالد التركي,on espére toujours,جماعي,خاص,6000,
,سلمى الشريف الدزيري,hammam,جماعي,خاص,3600,
دار الثقافة طبربة,هدى رجب,croisement instantané,فردي,عمومي,10000,10000
فضاء التياترو,عمر بن إبراهيم,minerva,فردي,خاص,5500,19100
,نادية هماني,interfaces,فردي,خاص,4000,
,قيس فرحات,drama 2,فردي,خاص,1200,
,مالك سعد الله,barracuda style,فردي,خاص,7000,
,أمنة القهواجي ,ne t'étonne pas ,فردي,خاص,1400,
رواق كاليستي,بسمة الهداوي,le couple,فردي,خاص,4500,13400
,rebecca mann dorsal,purple rain,فردي,خاص,1700,
,هند الصغير زروق,emergences 2,فردي,خاص,4000,
,نصاف الشكندالي الحساني,chloris,فردي,خاص,3200,
رواق صلاح الدين,عبد المجيد البكري,médina,فردي,خاص,6000,13000
,محمد الصادق الماجري,heure perdue,فردي,خاص,7000,
المركب الثقافي تطاوين,زيد عسل,revolution,جماعي,عمومي,20000,28400
,مولدي بورخيص,كتابة على جلد,جماعي,عمومي,1800,
