Endroit,Nom_artiste,Titre,Type_d_exposition,Type_de_galerie,Prix,Prix_Total
رواق أركوم,محمد أمين حمودة ,بدون عنوان,جماعي,خاص,6000,25500
,كمال كشو,retour de l'intrus ,جماعي,خاص,4000,
,نصاف شكندالي حسيني ,palabre ,جماعي,خاص,3500,
,سلوى فكران ,taurus ,جماعي,خاص,2000,
,جيهان هنتاتي لعروسي ,حوت يأكل حوت ,جماعي,خاص,4000,
,ندى دقدوق,مجاهدات,جماعي,خاص,3000,
رواق ايكار,نبراس شرفي ,بدون عنوان,جماعي,خاص,700,700
رواق المكتبة الوطنية ,نادر بوكادي,Archéologia ,فردي,عمومي,8000,8000
رواق الف ورقة,فايزة بالحاج يحي,mme annabi,فردي,خاص,1200,1200
رواق الكمان الازرق,الهاشمي مرزوق,بدون عنوان,فردي,خاص,6000,6000
رواق كاليستي,أمنة القرقوري ,séduction,فردي,خاص,1700,14200
,ألفة شبشوب ,série Nuances ,فردي,خاص,2500,
,حمدة دنيدن ,péle-méle ,فردي,خاص,10000,
دار الثقافة ابن خلدون,محمد بن ضياء ,le refuge,جماعي,عمومي,2700,58250
,سمير التريكي,"إدراك ""أ"" في ثلاثية",جماعي,عمومي,12000,
,صابر الصحراوي,قربان,جماعي,عمومي,6000,
,سيف الدين بن حماد,femme ,جماعي,عمومي,3800,
,حمادي بن نية,les points noirs ,جماعي,عمومي,7000,
,سناء براهم,untouched,جماعي,عمومي,3350,
,على الحيساوي,illusion ,جماعي,عمومي,2400,
,فاطمة الزهراء فريخة ,mémoire estompée,جماعي,عمومي,2500,
,أسماء بن عيسى,drame,جماعي,عمومي,1500,
,فيصل الماجري,trois points ,جماعي,عمومي,4500,
,صلوحة حمدي ,بدون عنوان ,فردي,عمومي,4500,
,ناجي الثابتي ,Croyance,فردي,عمومي,8000,
رواق الفنون ببن عروس,عبد الوهاب الشارني ,إنتظار 2,جماعي,عمومي,8000,110800
,عمر الغدامسي ,le damier ,جماعي,عمومي,5800,
,حبيب بيدة,corps déchainés ,جماعي,عمومي,9000,
,منجي معتوق,الطرح,جماعي,عمومي,9500,
,نصر الدين العسالي,نبش في الذاكرة ,جماعي,عمومي,7000,
,كوثر مقديش,في قلالة ,جماعي,عمومي,2500,
,نور الدين الرياحي,نافذة مغلقة,جماعي,عمومي,3200,
,رياض غربي,"certains regards,,, certains pensée",جماعي,عمومي,1000,
,رشيد فخفاخ,des hommes et des betes ,جماعي,عمومي,9000,
,كريم بن شيخة,gold time,جماعي,عمومي,1200,
,هدى رجب,sans titre,جماعي,عمومي,10000,
,لمجد النوري,la vie ,جماعي,عمومي,6000,
,محمد أمين الإينوبلي,خنقة ,جماعي,عمومي,3000,
,الصادق قمش,بدون عنوان,جماعي,عمومي,11000,
,حياة القاسمي ,TISSEUSE,فردي,عمومي,2300,
,حمدة دنيدن ,sans titre,جماعي,عمومي,8500,
,ماهر الطرابلسي ,transparence - égalité ,جماعي,عمومي,6500,
,سماح نصر الله ,jeu des carrés ,جماعي,عمومي,2800,
,مريم قرالي حدوسة ,de l'aube à léveil ,جماعي,عمومي,2000,
,علي الزنايدي,أنشودة العشاق,فردي,عمومي,2500,
رواق على القرماسي ,أحمد رجب ,nature morte 3,فردي,عمومي,2500,6500
,عبد الستار عبروقي ,l'oiseau bleu ,فردي,عمومي,4000,
قصر خير الدين ,olga malakova ,vers la ville ,فردي,عمومي,4500,375430
,حمادي بن سعد ,champs d'oré du blé ,جماعي,عمومي,12000,
,مهدي قريعة ,grés enfumé et email ,جماعي,عمومي,6000,
,ايناس بو عزيز البحري ,jaillissement ,جماعي,عمومي,4200,
,خميس ناجي ,louange à dieu ,جماعي,عمومي,8000,
,ألفة بن صالحي ,mes clefs ,جماعي,عمومي,1500,
,عفاف شندول ,stress ,جماعي,عمومي,2000,
,منير بن موسى ,sans titre,جماعي,عمومي,7000,
,مفيدة غضبان ,dans les pores des paysage ,جماعي,عمومي,5000,
,عواطف البجاوي ,hommage à alyssa ,جماعي,عمومي,3000,
,رانية ريدان ,vols d'oiseaux,جماعي,عمومي,4000,
,حاتم الغربي ,la ruche,جماعي,عمومي,7000,
,نزار المؤخر ,banquet ,جماعي,عمومي,5500,
,خالد تركي ,prisionniers ,جماعي,عمومي,6000,
,محمد شلبي ,jusq'an au col ,جماعي,عمومي,5000,
,إيمان المنصوري ,sans titre,جماعي,عمومي,4500,
,جمال الصغير ,تكوين 1,جماعي,عمومي,6500,
,نصر الدين فراحتي ,moi et mon pére ,جماعي,عمومي,4300,
,ناصر اللواتي ,la grande maison 2017,جماعي,عمومي,6500,
,فاتح بن عامر ,بهاء الابيض ,جماعي,عمومي,5700,
,محمد رقيق ,intention/attention ,جماعي,عمومي,4000,
,رباب الرويسي ,waves ,جماعي,عمومي,3000,
,رؤوف قارة ,غزرة ,جماعي,عمومي,4500,
,فتحي بن زاكور ,le parcho janne ,جماعي,عمومي,8000,
,باكر بن فرج ,cueillette ,جماعي,عمومي,8000,
,فوزية الهيشري ,le couple d'or ,جماعي,عمومي,6000,
,محمد بن مفتاح ,univers paradisiaque ,جماعي,عمومي,12000,
,بوجمعة بالعيفة ,in incursion ,جماعي,عمومي,6000,
,مصطفى السياري ,chomage ,جماعي,عمومي,12000,
,كمال عبد الله ,para-figuration 1,جماعي,عمومي,7000,
,صابر البحري ,vilées/ dévoilées,جماعي,عمومي,4800,
,عبد السلام الشرفي ,sans titre,جماعي,عمومي,2500,
,محمد بو عزيز,رقص ,جماعي,عمومي,6000,
,منجي الحرباوي ,الحرقة voyage de la mort ,جماعي,عمومي,3500,
,أروى بن إسماعيل ,ضغط,جماعي,عمومي,2500,
,عزة زرود ,the fourth sin,جماعي,عمومي,2000,
,عز الدين البراري,عصبان لطيفة,جماعي,عمومي,4000,
,منصف نوار ,discussion post révolution ,جماعي,عمومي,7000,
,عواطف ريدان ,l oubli ,جماعي,عمومي,3000,
,سالم كدوسي ,obscurité ,جماعي,عمومي,4500,
,مهى كشو بن عمر ,punple nose ,جماعي,عمومي,3000,
,مجدي الجزيري ,torse ,جماعي,عمومي,4800,
,حبيب الجميعي ,le printemp ,جماعي,عمومي,5000,
,مكية الشارني ,epannouissement 2,جماعي,عمومي,3500,
,وسام غرس الله ,le dieu de la guerre ,جماعي,عمومي,5500,
,زياد بن سلامة ,cintre témoin de notre ,جماعي,عمومي,2400,
,سنية السوسي ,témoin de notre ,جماعي,عمومي,4900,
,جمال شوقي المهداوي ,horizons de l'incertitude ,جماعي,عمومي,7000,
,مهى بن عربية ,زخرف انساني ,جماعي,عمومي,6000,
,منى النوري ,بلا عنوان,جماعي,عمومي,3000,
,شروق بالحاج صالح ,homme perdu ,جماعي,عمومي,3800,
,عبد الحميد حجام ,أمومة ,جماعي,عمومي,5000,
,ربيعة الرينشي ,ثرثرة ,جماعي,عمومي,2800,
,صميدة بن سعيد ,رموز 1,جماعي,عمومي,1980,
