Bibliothèques,Nombre d'activités 2021,Nombre d'activités 2022,Nombre d'activités 2023,Nombre d'activités 2024
Bibliothèque régionale Sousse,0,0,15,60
Bibliothèque public sahloul,0,7,8,4
Bibliothèque public k kbira,2,4,1,1
Bibliothèque public k kbira (enf),8,13,11,9
Bibliothèque public akouda ,21,8,37,49
Bibliothèque public hergla,94,110,224,40
Bibliothèque public sidi bou ali ,11,12,54,16
Bibliothèque public nfidha,8,8,5,25
Bibliothèque public kondar,0,14,6,5
Bibliothèque public bouficha ,18,59,182,38
Bibliothèque public zaouiet sousse ,0,9,3,8
Bibliothèque public ksibet sousse ,3,3,0,0
Bibliothèque public zouhour ,2,3,3,0
Bibliothèque public msaken ,27,11,38,12
Bibliothèque public massadine,6,6,0,5
Bibliothèque public k sghira ,19,62,69,16
Bibliothèque public cité matar ,0,6,13,2
Bibliothèque public hadrumet,8,18,9,26
Bibliothèque public hamam sousse ,8,18,9,26
Bibliothèque public nfidha (enf) ,8,0,8,29
Bib pub msaken mahata (ouvert en 2024),0,0,0,0
Bib pub knayes (ouvert en 2024),0,0,0,0
