Thèmes;Nbre  Stagiaires 2009;Nbre  Stagiaires 2010;Nbre  Stagiaires 2011;Nbre  Stagiaires 2012;Nbre  Stagiaires 2013;Nbre  Stagiaires 2014;Nbre  Stagiaires 2015;Nbre  Stagiaires 2016;Nbre  Stagiaires 2017;Total
Qualification de Base de Sécurité ;;53;104;46;86;104;51;40;166;650
Encadrement des passagers;25;;166;213;23;8;16;159;217;827
Sécurité sur les navires rouliers à passagers;25;;166;213;;8;16;159;217;804
Gestion des situations de crise et de comportement humain ;;11;45;7;;8;19;12;26;128
Familiarisation avec les navires rouliers à passagers;;11;41;9;23;8;;;;92
Sécurité des passagers et de la cargaison et d’intégrité de la coque des navires rouliers à passagers;;11;41;9;;8;16;10;32;127
Exploitation des canots de secours rapides;;5;18;33;51;13;16;3;19;158
Exploitation des canots de secours autres que les canots de secours rapides;;;;;51;30;;61;29;171
Formation d'Agents de Sûreté du Navire;;;15;11;9;13;14;81;40;183
Techniques avancées de lutte contre l’incendie;;;;;23;12;;103;58;196
Sécurité Individuelle et Responsabilité Sociale;;;;;;;;;15;15
"Formation Spéciale pour l'obtention du Brevet de Matelot ""Pont""";;;;16;;;;;;16
"Formation Spéciale pour l'obtention du Brevet de Matelot ""Machine""";;;;11;;;;;;11
Formation de sensibilisation à la sûreté;;;;63;131;866;155;96;135;1446
Formation sur les installations fixes de lutte contre l'incendie;;;;7;;;;;;7
Formation sur l'utilisation des cartes électroniques ECDIS;;;;16;16;9;4;98;37;180
Familiarisation avec les navires citernes;;;;;6;;11;;36;53
Certificat de formation pour les pétroliers;;;;;12;;6;;23;41
Soins médicaux d'urgence;;;;;;12;;42;1;55
Formation pour les gens de mer chargés de taches spécifiques liées à la sureté;;;;;;;;327;368;695
Gestion des ressources passerelle;;;;;;;;133;39;172
Gestion des ressources machine;;;;;;;;82;29;111
Certificat d'opérateur restreint 'CRO' GMDSS;;;;;;;;29;1;30
Formation RADAR - ARPA;;;;;;;;29;1;30
Conduite des navires de grandes dimensions et des navires ayant des caractéristiques de manœuvres inhabituelles CNGD & NACMI;;;;;;;;8;;8
Réglementation;;;;;;;;216;71;287
Formation de mise à jour et d'actualisation en matière de sécurité;;;;;;;;21;19;40
Formation de mise à jour et d'actualisation en matière d'exploitation des canots secours autres que les canots de secours rapides;;;;;;;;131;19;150
Formation de mise à jour et d'actualisation en matière des techniques avancées de luttes contre l'incendie;;;;;;;;19;19;38
Formation de mise à jour et d'actualisation de la formation de base aux opérations liées à la cargaison des pétroliers et des navires citernes ;;;;;;;;19;5;24
Formation de mise à jour et d'actualisation de la formation de base aux opérations liées à la cargaison des pétroliers et des navires citernes ;;;;;;;;2;;2
;69;129;622;802;431;1113;324;1880;1622;6992
