Nom_Fr,Nom_Ar,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Latitude,Longitude,Bassin_versant,Date
mellegue,مـــــلاق,0.0,1,0.02,25.342,4.47527,123.618,0.36,112.089,14.8922,14.871,161.379,13.5996,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2025-06-18 00:00:00
sarrat,سراط,0.0,36,0.018239,9.04109,0.180773,13.7641,0.266773,5.1118,1.867,2.99257,16.7022,3.41519,21.0,546.0,21.0,1.0,2016,35.8322,8.4434,1850.0,2025-06-18 00:00:00
benmetir,بني مطيــر,0.0,2,0.0432,44.163,0.0,28.0278,0.7776,15.1749,0.282436,28.4242,43.0842,38.4857,60.393,436.5,61.63,1.0,1954,36.7471,8.7419,103.0,2025-06-18 00:00:00
kasseb,كســاب,0.0201493,3,0.06858,26.1517,0.274257,29.946,1.22472,18.6829,0.430066,24.1273,43.265,21.1036,76.9,292.04,81.875,1.0,1968,36.7614,9.0024,101.0,2025-06-18 00:00:00
barbara,بربرة,0.0203574,4,0.0,60.3793,0.293315,57.5185,0.00936,47.3891,0.293949,69.3815,83.4241,56.5646,60.545,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2025-06-18 00:00:00
sidisalem,سيدي ســــالم,0.109008,5,0.74054,219.242,0.790912,120.884,11.8443,96.5258,9.72415,123.49,390.421,182.956,580.348,115.0,814.0,1.0,1981,36.5907,9.3971,7950.0,2025-06-18 00:00:00
bouheurtma,بو هرتمـــــه,0.00809485,6,0.192687,54.0773,0.684845,51.2966,3.41031,43.5426,1.18503,49.8422,81.0978,64.0792,145.037,221.0,150.5,1.0,1976,36.6719,8.78758,390.0,2025-06-18 00:00:00
joumine,جوميــــــن,0.0134816,7,0.118382,22.3512,0.407817,36.028,2.13959,25.125,0.735881,29.9127,75.7631,27.4462,118.773,90.0,129.9,1.0,1983,36.9909,9.6137,418.0,2025-06-18 00:00:00
ghezala,غزالـــــــة,0.0,8,0.0122,1.84513,0.0145054,2.41591,0.1263,0.326534,0.103143,2.89218,9.49425,1.37711,10.004,82.5,11.7,1.0,1984,37.0594,9.5458,48.0,2025-06-18 00:00:00
melah,المالح,0.0,33,0.06961,9.936,0.0344947,9.87924,0.38128,0.38128,0.37,10.9998,25.572,2.1814,41.0,136.0,41.0,1.0,2015,37.0761,9.4488,85.9,2025-06-18 00:00:00
tine,الطين,0.00589302,34,0.0,2.8591,0.0835732,3.05767,0.0,0.0,0.16,2.70041,17.336,3.3154,34.0,136.0,34.0,1.0,2017,36.864,9.6287,276.0,2025-06-18 00:00:00
sejnane,سجنــــــان,0.0,9,0.603677,57.8543,1.26572,69.8225,12.1615,177.226,1.37957,49.7104,118.756,43.9199,132.59,86.5,137.5,1.0,1994,37.181,9.4751,367.0,2025-06-18 00:00:00
zarga,الزرقـة,0.0,10,0.0,21.952,0.0714413,21.1764,0.044,3.79338,0.09,18.6549,22.054,15.49,24.256,93.0,24.0,1.0,2012,36.8824,8.6992,60.0,2025-06-18 00:00:00
kebir,الكبيــر,0.0,31,0.0,46.2848,0.149073,30.1891,0.0,11.5034,0.124519,20.1943,39.5699,28.52,64.4,85.0,64.4,1.0,2014,36.8802,8.7211,85.2,2025-06-18 00:00:00
moula,المولى,0.00446482,32,0.0,20.228,0.0472594,20.8259,0.0,8.08648,0.118173,11.5416,31.8114,16.4,26.337,110.0,26.3,1.0,2013,36.9347,8.845,58.0,2025-06-18 00:00:00
selbarrak,سيدي البــــراق,0.0,11,0.503,174.86,0.742501,209.007,12.7386,141.799,1.97054,131.862,295.247,120.586,286.514,27.0,286.514,1.0,1999,37.0244,8.93652,865.0,2025-06-18 00:00:00
ziatine,الزياتيـن,0.0174712,12,0.020803,14.7326,0.337854,15.102,0.645275,8.27291,0.1,10.7071,29.16,12.093,33.3,37.0,33.0,1.0,2012,37.1856,9.2011,95.0,2025-06-18 00:00:00
gamgoum,القمقـوم,0.0,13,0.0,9.10654,0.0401995,4.59669,0.0,3.995,0.0,3.31864,7.96404,11.6973,18.3,48.0,18.3,1.0,2012,37.1989,9.2679,35.5,2025-06-18 00:00:00
harka,الحركـة,0.0,35,0.0,13.0183,0.0888077,7.24243,0.0,0.0,0.34,5.44787,24.364,8.65186,30.3,38.4,30.3,1.0,2016,37.222,9.4024,77.0,2025-06-18 00:00:00
siliana,سليانـــــــة,0.0,14,0.0,11.182,0.150526,9.38364,0.0,0.2375,0.902666,6.08749,34.8052,6.81019,30.986,388.5,70.0,1.0,1987,36.1571,9.3521,1040.0,2025-06-18 00:00:00
lakhmess,لخمـــــــاس,0.00444312,15,5e-05,2.21386,0.0682006,1.52963,0.000835,0.017867,0.481743,0.761405,12.2115,1.29575,7.22,517.06,8.22,1.0,1966,35.9994,9.4752,127.0,2025-06-18 00:00:00
rmil,الرميـــــــل,0.0004646,16,0.0,0.7678,0.0221859,0.870621,0.0,0.0,0.0634854,0.492037,9.98985,0.4924,2.0,285.0,4.0,1.0,2002,36.3023,9.5019,232.0,2025-06-18 00:00:00
birmcherga,بئر المشارقـــة,0.0,17,0.0068,9.52544,0.00248593,8.32353,0.1224,0.66272,0.338467,6.97176,25.8489,9.78361,41.599,122.5,52.9,1.0,1971,36.5119,10.0102,1263.0,2025-06-18 00:00:00
rmel,الرمــــــل,0.0,18,0.0105,18.3496,0.0,27.4841,0.189,2.34021,0.16196,6.30358,15.8279,1.29636,23.825,43.0,22.0,1.0,1998,36.3308,10.3584,675.0,2025-06-18 00:00:00
nebhana,نبهانــــــة,0.0101837,19,0.017045,5.31958,0.0797036,6.2469,0.453195,1.27526,0.741472,1.7664,22.029,2.34222,64.61,230.0,86.5,1.0,1965,36.06,9.8724,855.0,2025-06-18 00:00:00
sidisaad,سيدي سعـــد,0.0,20,0.0064,25.2339,0.148615,10.4978,0.0064,0.143923,2.50689,4.22008,43.4821,24.6192,133.317,270.0,209.0,1.0,1981,35.3902,9.6948,8950.0,2025-06-18 00:00:00
