Nom-de-projet,Proprietaire-de-projet,Subvention
فبريكة الرقص,سهام بلخوجة,150000
"عرض ""الغنايا""",عبد الرحمان الشيخاوي,60000
"عرض رقص "" الهنك """,حافظ زليط,147000
"عرض ""اسطنبالينا دونقا """,محمد منير العرقي,26480
"عرض ""النجمة """,المركز الدولي للفنون المعاصرة بالقصرين,50000
"عرض ""المدينة""",نافع العلاني,100000
"عرض مشهدي احتفالي ""تونس النبض""",ابراهيم البهلول,30700
"عرض ""درر موسيقية """,فريد بن عمر,4000
"عرض ""راب عربة """,عبد المنعم عمار,12000
الاركستر السنفوني الفيلارموني,شادي القرفي,48000
"عرض ""حكايات رومنسية""",بثينة القلسي,36000
"برنامج تكويني ""شباب الفن التونسي",البشير البحوري,74000
"الاحتفال بستينية فرقة مدينة تونس : انتاج عرض اوبرالي ""ظلموني حبايبي """,فرقة مدينة تونس,80000
"عرض ""أصوات المستقبل """,محمد الماجري,100000
"عرض ""للحب والسلام""",مقداد السهيلي,116000
"عرض ""نغمات بين الحاضر والماضي""",شهرزاد هلال,8000
"عرض ""رجال نفزاوة""",جلال بن ميلود التليلي,19000
الابداع الموسيقي من الطفل واليه,محمد الناصر قفصية,58000
شارع الفن,سفيان أويسي,200000
"عرض ""ألحان وأوتار""",أنيس القليبي,19000
"عرض ""عطش""",ناجحة جمال,96000
"عرض ""رجل الطين""",شريف علوي,61000
"عرض ""قطايتي""",روضة بن عبد الله,67000
"عرض ""حسناء قرطاج تغني""",عادل بندقة,90000
"عرض ""عالمنا""",نجيب المسلماني,100000
دورة تكوينية في الكوريغرافيا,"رجاء بن عمار "" مسرح فو""",20000
"عرض ""أنا حر """,أحمد الماجري,60000
"عرض تنشيطي ""ألعاب سحرية""",رفيق الزيتوني,4000
"عرض ""صياغة""",الجليدي العويني,81000
