Nom-projet,Proprietaire-de-projet,Subvention
موسوعة قصص عربية ( الكتاب الثالث),بوراوي عجينة,10000
أطلس العالم المتوسطي,دار صامد للنشر,20000
"كتاب ""Aouledchemla : Un siècle de céramique en Tunisie",ديمتر للنشر,20000
"كتاب حول تاريخ مدينة سليمان :""سليمان ذاكرة الايام""",أحمد غلاب,4500
"كتاب "" سفساري ثورة الياسمين """,محمد المختار جنات,5000
كتاب : Cites et Architectures en Tunisie,نيرفانا للنشر,40000
سلسلة قصصية للأطفال,الشاذلي  القرواشي,30000
"كتاب "" تأملات وأفكار""",علي مبزعية,40000
"كتاب "" الحكايات المأثورة""",سالم الونيس,29000
"كتاب"" إتحاف أهل الزمان بأخبار تونس وعهد الامان""",الدار العربية للكتاب,97000
الاعمال الكاملة لمحمد المرزوقي,دار محمد علي للنشر,31000
مدونة أدبية شعرية,محمد الصادق الاطرش,2500
