Annee_Budgetaire ,Salaire ,Fonctionement ,Intervention ,Recettes propres realisées,Fonds_ definitifs_ du budget ,Réalisation ,Reste 
2015,1000,147000,676850,38886٫29,899239٫637,833503٫77,65737٫857
2016,32000,148000,644500,39544٫525,929780٫392,858492٫898,71287٫494
2017,32000,152000,625000,59014٫32,1136652٫414,1079562٫896,57089٫518
2018,80200,143670,580000,62127٫8,1104587٫318,1064373٫232,40214٫086
2019,69600,151600,582000,53681٫373,1194295٫459,1193881٫055,414٫404
2020,299200,84000,637000,27443٫912,1126414٫404,984972٫765,141441٫639
2021,264077٫25,326091٫138,524655٫691,14316٫081,1132957٫72,1132942٫579,15٫141
2022,284000,136000,671000,29169٫8,117578٫941,1132481٫687,43303٫254
2023,300000,150000,671000,"33037,290","1154037,280","1136808,380","114531,949"
2024,300000,163000,702000,41232٫333,1314764٫282,1204223٫234,110541٫048
