Nom,Classification  ,Budget  _Ann_2021,Budget _Ann_2022,Budget  _Ann_2023,Budget_Ann_2024
Centre culturel Niapolis ,1,70000,74000,74000,74000
Maison de culture Nabeul,1,26000,30000,30000,30000
Maison de culture Tazerka ,2,20000,24000,24000,24000
Maison de culture Korba ,1,26000,30000,30000,30000
Maison de culture Menzel temim  ,1,26000,30000,30000,30000
Maison de culture kelibia ,1,26000,30000,30000,30000
Maison de culture El Hawaria ,2,20000,24000,24000,24000
Maison de cultureTekelssa,1,26000,30000,30000,30000
Maison de culture Grombalia ,2,20000,24000,24000,24000
Maison de culture El Mida  ,2,20000,24000,24000,24000
Maison de culture Soliman ,2,0,24000,24000,24000
Maison de culture  bou Argoub ,2,0,0,0,24000
