PKLigne;Pk1;LIGNE; TYPE ;Nbre de Voie;PN voisin gare (à indiquer);       TYPE ANI;DE ANP;CDV VPN;ASSAINISSEMENT ZONE ANI;ASSAINISSEMENT ZONE ANP;ASSAINISSEMENT ZONE VPN;CONTACT RAIL ANI;CONTACT RAIL ANP;CONTACT RAIL VPN;DUREE ANNONCE  PAIRE;DUREE ANNONCE IMPAIRE;terre;coupure bipolaire;PN avec clignoteur à mercure;PN dôté d'alim commune;Etat du câblage châssis;Etat de la guérite;PN dôté de minuterie;type Télécontrôle;"ETAT
 BATTERIE";OBSERVATIONS;Observations;Arrondissement;Zone;Latitude;Longitude;Pk Route;Urbain-Rural;Visibilité;Gouvernorat;Institution concernée;Présignalisation
14,750L5;14,75;5;BA;3V;;AF1000;AF1000;2700HZ;BON;BON;MOYEN;BON;BON;BON;27;27;NON;NON;NON;NON;BON;BON;NON;CTC;BON;A assainir zone VPN;A assainir zone VPN;Bir Kassaa;Zone Nord Est;" 36°44'24.36""N";" 10°19'0.12""E";;;;;;
20,240L5;20,24;5;BA;2V;;AF1000;AF1000;12+15KHZ;BON;MOYEN;BON;BON;BON;BON;29;29;NON;NON;NON;NON;BON;BON;NON;CTC;BON;A assainir zone 114;A assainir zone 115;Bir Kassaa;Zone Nord Est;" 36°42'50.35""N";" 10°22'6.89""E";;;;;;
4,600L6;4,6;6;BA;3V;;Ple Electronique;Ple Electronique;8700H+Ple ELEC;NEANT;NEANT;MAUVAIS;BON;BON;BON;40;40;NON;NON;NON;NON;BON;BON;NON;CTC;BON; ; ;Bir Kassaa;Zone Nord Est;" 36°46'6.76""N";" 10°12'56.22""E";;;;;;
3,973LTA;3,973;TA;BA;2V; ;Courant continu;Courant continu;Courant continu;BON;BON;MOYEN;BON;BON;BON;41;43;OUI;NON;NON;NON;MOYEN;MAUVAIS;NON;  Bab Aléoua;BON;A assainir zone VPN ( du 08 au 12/05/2010); ;Bir Kassaa;Zone Nord Est;" 36°47'52.10""N";" 10° 9'12.19""E";;;;;;
4,360LTA;4,36;TA;BA;2V; ;Courant continu;Courant continu;Courant continu;BON;MOYEN;MOYEN;BON;BON;BON;41;41;OUI;NON;NON;NON;MOYEN;MAUVAIS;NON;  Bab Aléoua;BON;A assainir zone VPN( du 13 au 16/05/2010); ;Bir Kassaa;Zone Nord Est;" 36°48'5.03""N";" 10° 8'53.07""E";;;;;;
5,600LTA;5,6;TA;BA;2V; ;Courant continu;Courant continu;Courant continu;MOYEN;BON;MOYEN;BON;BON;BON;49;41;OUI;NON;NON;NON;MOYEN;BON;NON;  Bab Aléoua;BON;A assainir zone VPN( du 17 au 20/05/2010); ;Bir Kassaa;Zone Nord Est;" 36°48'21.03""N";" 10° 8'24.84""E";;;;;;
5,731LTA;5,731;TA;BA;2V; ;Courant continu;Courant continu;Courant continu;MOYEN;BON;MOYEN;BON;BON;BON;41;49;OUI;NON;NON;NON;MOYEN;BON;NON;  Bab Aléoua;BON;A assainir zone VPN( du 21 au 26/05/2010); ;Bir Kassaa;Zone Nord Est;" 36°48'23.60""N";" 10° 8'17.97""E";;;;;;
5,902LTA;5,902;TA;BA;2V; ;Courant continu;Courant continu;Courant continu;BON;BON;MOYEN;BON;BON;BON;60;40;OUI;NON;NON;NON;MOYEN;BON;NON;  Bab Aléoua;BON;A assainir zone VPN( du 27 au 31/04/2010); ;Bir Kassaa;Zone Nord Est;" 36°48'26.65""N";" 10° 8'5.17""E";;;;;;
5,450L6;5,45;6;BA;2V;;NEANT;Courant continu;Courant continu;MAUVAIS;MAUVAIS;MAUVAIS;BON;BON;BON;40;40;OUI;OUI;OUI;NON;BON;MOYEN;NON;OUI;MAUVAIS;A assainir zones( du 13 au 15/4/2010 ) + changement batterie;changement batterie;Bir Kassaa;Zone Nord Est;" 36°45'34.04""N";" 10°12'58.71""E";;;;;;
6,112L6;6,112;6;BA;2V;;Courant continu;Courant continu;Courant continu;MAUVAIS;MAUVAIS;MAUVAIS;BON;BON;BON;40;40;OUI;OUI;NON;NON;MOYEN;MOYEN;NON;OUI;MAUVAIS;A assainir zones ( du 16 au 19/4/2010 )+ changement chassis(relais type N1); changement chassis(relais type N1);Bir Kassaa;Zone Nord Est;" 36°45'16.88""N";" 10°13'16.70""E";;;;;;
6,563L6;6,563;6;BA;2V;;Courant continu;Courant continu;Courant continu;MAUVAIS;MAUVAIS;MAUVAIS;BON;BON;BON;40;40;OUI;OUI;OUI;NON;MOYEN;MOYEN;NON;OUI;BON;A assainir ( du 20 au 22/4/2010 )zone VPN;;Bir Kassaa;Zone Nord Est;" 36°45'5.14""N";" 10°13'27.50""E";;;;;;
