FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,RTE_,RTE_ID,RTE_MAN_,RTE_MAN_ID,RTE_NOM,RTE_TYP,long_piste
"0","0","0","0",0.00000,"2055","2055","2055","97",,P,"0"
"0","0","0","0",0.00000,"2251","2251","2252","65",,P,"0"
"0","0","0","0",33.44312,"2428","2428","2429","85",,P,"0"
"0","0","0","0",0.00002,"2762","2762","2763","190",,P,"0"
"0","0","0","0",0.00001,"3186","3186","3187","198",,P,"0"
"0","0","0","0",0.00000,"3815","3815","3816","237",,P,"0"
"0","0","0","0",0.00002,"4215","4215","4216","41",,P,"0"
"0","0","0","0",0.00001,"4337","4337","4338","42",,P,"0"
"0","0","0","0",0.00001,"6006","6006","6007","562",,P,"0"
"0","0","0","0",0.00001,"6215","6215","6216","125",,P,"0"
"0","0","0","0",0.00002,"7569","7569","7570","679",,P,"0"
"0","0","0","0",0.00002,"7899","7899","7900","963",,P,"0"
"0","0","0","0",31.53147,"8377","8377","8378","760",,P,"0"
"0","0","0","0",71.39619,"8377","8377","8378","760",,P,"0"
"0","0","0","0",2.68811,"9597","9597","9598","477",,P,"0"
"0","0","0","0",0.00000,"10470","10470","10471","119",,P,"0"
"0","0","0","0",0.00001,"11157","11157","11158","310",,P,"0"
"0","0","0","0",0.00001,"11878","11878","11879","2522",,P,"0"
"0","0","0","0",0.00000,"13528","13528","13529","1179",,P,"0"
"0","0","0","0",0.00002,"14125","14125","14126","2883",,P,"0"
"0","0","0","0",0.00001,"15617","15617","15618","51",,P,"0"
"0","0","0","0",0.00000,"15617","15617","15618","51",,P,"0"
"0","0","0","0",0.00000,"17967","17967","17969","4898",,P,"0"
"0","0","0","0",0.00007,"18190","18190","18193","53",,P,"0"
"0","0","0","0",0.00001,"18191","18191","18194","4432",,P,"0"
"0","0","0","0",0.00002,"18272","18272","18275","4903",,P,"0"
"0","0","0","0",0.00001,"18319","18319","18323","4899",,P,"0"
"0","0","0","0",0.00001,"18754","18754","18758","4286",,P,"0"
"0","0","0","0",0.00001,"18885","18885","18889","12",,P,"0"
"0","0","0","0",0.00038,"19261","19261","19265","5664",,P,"0"
"0","0","0","0",0.00001,"19524","19524","19528","54",,P,"0"
"0","0","0","0",0.00001,"20749","20749","20754","4425",,P,"0"
"0","0","0","0",0.00001,"21102","21102","21107","4188",,P,"0"
"0","0","0","0",0.00003,"21219","21219","21224","4868",,P,"0"
"0","0","0","0",0.00001,"21220","21220","21225","4190",,P,"0"
"0","0","0","0",0.00000,"21222","21222","21227","4197",,P,"0"
"0","0","0","0",0.00001,"21564","21564","21569","4867",,P,"0"
"0","0","0","0",0.00000,"23245","23245","23250","3731",,P,"0"
"0","0","0","0",0.00005,"23245","23245","23250","3731",,P,"0"
"0","0","0","0",0.00001,"24104","24104","24109","1620",,P,"0"
"0","0","0","0",0.00003,"24290","24290","24295","3727",,P,"0"
"0","0","0","0",0.00001,"24290","24290","24295","3727",,P,"0"
"0","0","0","0",2.92171,"24347","24347","24352","1665",,P,"0"
"0","0","0","0",0.00002,"24454","24454","24459","3744",,P,"0"
"0","0","0","0",0.00001,"26301","26301","26306","670",,P,"0"
"0","0","0","0",0.00001,"26885","26885","26890","489",,P,"0"
"0","0","0","0",0.00001,"27298","27298","27303","334",,P,"0"
"0","0","0","0",0.00001,"27500","27500","27505","501",,P,"0"
"0","0","0","0",0.00002,"27587","27587","27592","73",,P,"0"
"0","0","0","0",0.00000,"27612","27612","27617","335",,P,"0"
"0","0","0","0",0.00002,"28438","28438","28443","161",,P,"0"
"0","0","0","0",0.00000,"29464","29464","29469","712",,P,"0"
"0","0","0","0",0.00001,"29583","29583","29588","1013",,P,"0"
"0","0","0","0",1.77814,"30127","30127","30132","1576",,P,"0"
"0","0","0","0",0.00002,"30691","30691","30696","734",,P,"0"
"0","0","0","0",0.00001,"32100","32100","32105","655",,P,"0"
"0","0","0","0",0.00003,"32158","32158","32163","701",,P,"0"
"0","0","0","0",0.00001,"33004","33004","33009","885",,P,"0"
"0","0","0","0",230.10071,"0","0","0","0",,P,"0"
"0","0","0","0",221.01493,"0","0","0","0",,P,"0"
"0","0","0","0",789.45955,"0","0","0","0",,P,"1"
"0","0","0","0",646.04174,"0","0","0","0",,P,"1"
"0","0","0","0",412.88756,"0","0","0","0",,P,"0"
"0","0","0","0",239.97696,"0","0","0","0",,P,"0"
"0","0","0","0",50.64831,"0","0","0","0",,P,"0"
"0","0","0","0",244.20641,"0","0","0","0",,P,"0"
"0","0","0","0",431.14756,"0","0","0","0",,P,"0"
"0","0","0","0",402.85590,"0","0","0","0",,P,"0"
"0","0","0","0",7.47697,"0","0","0","0",,P,"0"
"0","0","0","0",12.20425,"0","0","0","0",,P,"0"
"0","0","0","0",1235.75710,"0","0","0","0",,P,"1"
"0","0","0","0",3.38444,"0","0","0","0",,P,"0"
"0","0","0","0",626.18328,"0","0","0","0",,P,"1"
"0","0","0","0",650.02079,"0","0","0","0",,P,"1"
"0","0","0","0",1003.59215,"0","0","0","0",,P,"1"
"0","0","0","0",474.28399,"0","0","0","0",,P,"0"
"0","0","0","0",803.31023,"0","0","0","0",,P,"1"
