Ville;Adresse;Téléphone/ email;Fax
Montreal;1411 Rue PEEL, Bureau: 400;+1 (514) 282 02 02;+1 (514) 282 04 04
;Montréal (Québec) H3A 1S5;AgenceMontreal@tunisair.com.tn;
;Call Center;15 148 190 495;
Abidjan;Galerie Résidence Nabil Plateau, Rue du commerce;00225 20 22 45 40/42/43;00225 20 33 61 54
;Adresse Postale : 01 BP 11 642 ABJ 01;tunisairabj@tunisair.ci;
Conakry;Avenue de la republique - Immeuble Ex Air Guinée- BP 5722 Conakry.;00224 654 34 34 34;
;;agence.Conakry@tunisair.com.tn;
Bamako;Complexe Hôtel de l’Amitié Bozola BP, E2240 Bamako Mali;+223 20 21 04 34/ +223 44 90 04 32;00223 20 21 86 17
;;tunisairbko@orangemali.net;
Ouagadougou;AVENUE DR KWAME N KRUMAH;+226 25 31 60 60;
;OUAGADOUGOU BURKINA FASO;agence.Ouagadougou@tunisair.com.tn;
;;escale.ouagadougou@tunisair.com.tn ;
Niamey;Quartier Terminus, Avenue du Grand Hôtel;agence.niamey@tunisair.com.tn;
;Immeuble N22 Niamey Niger;escale.niamey@tunisair.com.tn;
Dakar;Représentation Tunisair & Agence;00221 33 823 15 84/;00221 33 823 47 43/
;100 Rue Carnot;00221 33 823 70 23;00221 33 823 47 43
Nouakchott;Agence et Réservation / Représentation N°27 Imm. JAWDA, Av. J.F. Kennedy Ilot M78 - BP. 5359 Nouakchott;00222 525 87 62/63;00222 525 87 64
;;samba.adama@hotmail.com;
Casablanca;Représentation/Agence ville et Réservation Centre Allal Ben Abdallah - Angle Rue Allal Ben Abdallah et Rue Mohamed El Fakir 7ème étage Casablanca 20 000;00212 5 22 201488 /;00212 5 22 206012
;;00212 05 22 201415;
;;00212 05 22 293452;
;;direction@tunisair.ma;
;Aéroport Mohamed V (35 Kms);00212 5 22 539653;
;;escalecasa@tunisair.ma;
Oran;Aéroport Essenia-Oran;21 341 591 225;21 341 591 226
Alger;6 rue Abdelkarim Khatabi Alger 16000 Algérie;00213 2163 5860/5407;21 321 635 406
;Aéroport Houari Boumediène (16 Kms d'Alger);21 321 509 478;21 321 207 022
;;tunisairalger@yahoo.fr;
Constantine;6 rue Abdelkarim Khatabi Alger 16000 Algérie;00213 2163 5860/5407;21 321 635 406
;Aéroport Houari Boumediène (16 Kms d'Alger);21 321 509 478;21 321 207 022
;;tunisairalger@yahoo.fr;
Tripoli;Agence Haiti 6, Haiti Street;00218 21 333 63 03;00218 21 333 77 50
;;tiptu.haiti@ttnet.net;
;Représentation 59, Av. du 1er Septembre, lmm.El Badri, App. N° 7, 3ème étage, Tripoli;00218 21 444 64 99;00218 21 333 44 81
;;00218 21 333 97 59;
;;tunisair.tip@ttnet.net ;
Benghazi;Av. Jamel Abdennaceur Benghazi. Libye Hotel Tibesti N°5;00218 61 909 69 79;00218 61 909 65 90
;;00218 61 909 00 16/17;
Le Caire;14, Avenue Talaat Harb - 11776;0020225753420/476/971/420;20225740677
;;tunisair.egypt@gmail.com;
;Aéroport International du Caire - terminal 1;20222680188;20222680188
Jeddah;Représentation Générale:;00966 12 651 5660;00966 12 651 5020
;Adham commercial center Medina Road P.O box 1240 Jeddah 21431;slim.rezgui@tunisair.com.tn, chelbi.adnane@yahoo.com ;
;Escale:;00966 12 685 3065;
;King Abdelaziz International Airport (North Terminal);bechir.mejri@tunisair.com.tn ;
