Types de l'appareil;Nom de l'appareil;Capacité de l'appareil
A320;Sbeitla;162
A320;Kheireddine;162
A320;Djerba;162
A320;Abou El Kacem Chebbi;162
A320;Ali Balhouane;162
A320;Jugurtha;162
A320;Gafsa El Ksar;162
A320;Le Bardo;162
A320;Ibn Khaldoun;162
A320;La Galite;162
A320;Habib Bourgiba;162
A320;Dogga;162
A320;Aziza Othmana;162
A320;Sousse;162
A320;Ibn El Jazzar;162
A320;Farhat Hached;162
A330;Tunis;266
A330;Sidi Bou Said;266
A319-114;El Kantaoui;144
A319-114;Kerkennah;144
A319-114/112;Hannibal;114
A319-114/112;Alyssa;114
B737;Kairouan;126
B737;Tozeur Nefta;126
B737;Carthage;126
B737;Utique;126
B737;El Jem;126
B737;Bizerte;126
B737;Tahar Haddad;126
