Zone Géographique;Pays;Destination
MOYEN ORIENT ;A.SEOUDITE;Jeddah
MOYEN ORIENT ;A.SEOUDITE;Médine
MOYEN ORIENT ;EGYPTE;Le Caire
MOYEN ORIENT ;LIBAN;Beyrouth
MOYEN ORIENT ;TURQUIE;Istanbul
AFRIQUE;ALGERIE;Alger
AFRIQUE;ALGERIE;Constantine
AFRIQUE;ALGERIE;Oran
EUROPE;ALLEMAGNE;Berlin
EUROPE;ALLEMAGNE;Duesseldorf
EUROPE;ALLEMAGNE;Frankfurt
EUROPE;ALLEMAGNE;Hamburg
EUROPE;ALLEMAGNE;Munich
EUROPE;AUTRICHE;Vienna
EUROPE;BELGIQUE;Bruxelles
AFRIQUE;Bénin;Cotonou
AFRIQUE;BURKINA FASO;Ouagadougou
AFRIQUE;C.IVOIRE;Abidjan
AMERIQUE DU NORD;Canada;Montreal
EUROPE;ESPAGNE;Barcelone
EUROPE;ESPAGNE;Madrid
EUROPE;FRANCE;Bordeaux
EUROPE;FRANCE;Lyon
EUROPE;FRANCE;Marseille
EUROPE;FRANCE;Nantes
EUROPE;FRANCE;Nice
EUROPE;FRANCE;Paris
EUROPE;FRANCE;Strasbourg
EUROPE;FRANCE;Toulouse
AFRIQUE;GUINEE;Conakry
EUROPE;HOLLANDE;Amsterdam
EUROPE;ITALIE;Bologne
EUROPE;ITALIE;Milan
EUROPE;ITALIE;Rome
EUROPE;ITALIE;Venise
AFRIQUE;MALI;Bamako
AFRIQUE;MAROC;Casablanca
AFRIQUE;MAURITANIE;Nouakchott
AFRIQUE;NIGER;Niamey
EUROPE;PORTUGAL;Lisbonne
EUROPE;R.TCHEQUE;Prague
EUROPE;R.UNI;Londres
AFRIQUE;SENEGAL;Dakar
EUROPE;SERBIE;Belgrade
EUROPE;SUISSE;Genève
EUROPE;SUISSE;Zurich
