Date;Ess premium (kt);Essences SP (kt);Pétrole lampantn(kt);Fuel(kt);Gasoil ordianire(kt);GSL Premium(kt);Gasoil 50 ppm(kt);Jet A1(kt);Fuel gaz(kt);GPL(kt);Petcoke(kt);Total (Kt)
2010-01;;34.96;8;24.45;137.49;;7.11;11.39;;46.81;33.15;303.36
2010-02;;33.25;7.06;27.28;127.71;;6.76;10.17;;42.97;24.36;279.56
2010-03;;38.81;6.32;33.79;147.49;;7.91;13.27;;42.98;33.36;323.93
2010-04;;36.79;5.53;29.42;145.74;;7.71;16.08;;39.16;38.32;318.75
2010-05;;37.68;5.34;29.17;146.78;;7.95;19.57;;37.53;39.96;323.98
2010-06;;39.35;5.19;38.39;152.91;;8.56;23.1;;34.77;38;340.27
2010-07;;51.41;3.99;42.88;156.61;;12.77;30.42;;34.53;38.94;371.55
2010-08;;43.46;2.15;37.42;141.76;;11.26;30.91;;37.09;38.49;342.54
2010-09;;42.18;2.44;23.6;130.44;;9.27;30.19;;36.2;34.56;308.88
2010-10;;40.11;4.53;27.93;155.25;;9.09;28.32;;36.19;41.01;342.43
2010-11;;40.27;5.18;28.28;148.67;;8.75;17.44;;41.34;33.21;323.14
2010-12;;40.69;9.75;35.25;160.89;;10.77;16.04;;47.97;30.15;351.51
2011-01;;29.29;5.84;21.23;111.85;;6.7;10.3;;46.47;35.42;267.1
2011-02;;27.98;4.89;20.93;100.46;;6.82;7.44;;40.87;23.5;232.89
2011-03;;38.37;5.67;26.17;131.71;;8.67;21.34;;45.16;30.06;307.15
2011-04;;42.47;4.4;26.11;140.25;;8.89;17.59;;38.13;32.75;310.59
2011-05;;43.47;3.93;18.43;138.83;;9.06;17.96;;37.75;45.07;314.5
2011-06;;52.05;3.5;33.61;143.83;;10.07;23.27;;34.87;36.83;338.03
2011-07;;62.76;3.07;28.38;128.65;;12.98;28.83;;34.12;27.8;326.59
2011-08;;59.05;2.78;21.04;125.91;;12.33;29.17;;36.47;20.13;306.88
2011-09;;52.55;3.65;30.03;135.72;;11.8;26.55;;35.35;22.52;318.17
2011-10;;44.19;3.66;26.21;138.53;;10.4;23.29;;37;40.72;324
2011-11;;41.98;3.64;22.95;125.98;;10.54;16.2;;37.52;38.7;297.51
2011-12;;41.7;5.56;22.61;136.08;;11.98;15.47;;49.08;33.57;316.05
2012-01;;37.44;5.32;24.43;123.01;;11.16;14.52;;48.49;35.21;299.58
2012-02;;35.53;5.4;19.27;110.18;;10.71;14.2;;51.4;24.21;270.9
2012-03;;41.05;3.31;21.48;123.72;;12.61;16.7;;44.53;33.27;296.67
2012-04;;40.22;2.55;24.32;120.42;;12.13;19.59;;38.55;54.59;312.37
2012-05;;42.78;3.35;25.81;135.62;;12.82;24.6;;38.22;43.39;326.59
2012-06;;45.56;3.34;27.69;142.6;;14.2;28.96;;33.54;46.11;342
2012-07;;50.41;2.77;33.49;136.04;;16.67;36.44;;35.87;48.7;360.39
2012-08;;51.25;2.67;29.32;121.15;;18.52;37.45;;34.97;42.11;337.44
2012-09;;46.02;2.8;27.48;129.24;;15.62;31.78;;33.61;27.74;314.29
2012-10;;43.52;3.07;27.5;127.23;;14.77;26.84;;36.81;33.45;313.19
2012-11;;40.25;3.25;25.15;131.32;;14.79;19.01;;40.35;40.52;314.64
2012-12;;41.17;5.2;23.53;130.37;;15.25;16.05;;48.95;40.57;321.09
2013-01;;39.37;4.73;20.21;122.75;;15.42;15.3;;52;42.04;311.82
2013-02;;32.89;4.67;30.44;109.3;;12.95;13.31;;50.12;47.63;301.31
2013-03;;39.46;3.57;25.01;121.32;;15.3;17.75;;44.17;52.58;319.16
2013-04;;40.17;3.54;25.26;124.6;;15.63;19.15;;42.09;47.23;317.67
2013-05;;38.99;3.25;31.51;125.38;;15.42;25.17;;39.14;42.29;321.15
2013-06;;41.65;2.95;23.36;118.82;;16.42;31.94;;35.87;40.99;312
2013-07;;42.39;3.11;29.29;126.86;;17.16;33.51;;40.07;48.44;340.83
2013-08;;54.68;2.97;24.47;124.91;;22.15;39.37;;36.54;48.75;353.84
2013-09;;45.64;3.96;25.06;132.05;;17.8;34.01;;35.52;42.45;336.49
2013-10;;44.71;4.19;25.58;130.75;;17.39;27.88;;38.66;41.88;331.04
2013-11;;40.44;5.24;26.74;124.23;;16.89;15.94;;43.26;43.48;316.22
2013-12;;41.71;6;25.27;140.81;;18.14;13.7;;53.96;53.26;352.85
2014-01;;39.44;5.4;23.3;123.2;;17.1;13.5;;52.9;55.1;329.94
2014-02;;37.41;4.3;23;114.4;;16.5;12;;45.8;50.2;303.61
2014-03;;41.54;4.2;25.3;126;;18.6;16.1;;49.6;53.6;334.94
2014-04;;41.12;3.9;26.2;133;;18.6;18.8;;43.2;58.9;343.72
2014-05;;42.48;4.8;25;136.3;;19.6;22.5;;40.8;66.9;358.38
2014-06;;43.25;3.8;28;134.1;;20;28.7;;37.3;62.1;357.25
2014-07;;42.6;3.2;28.1;117.5;;19.9;33.1;;38.2;75;357.6
2014-08;;58.08;3.2;22.9;140.1;;26.6;37.7;;35.6;57.4;381.58
2014-09;;46.4;3.4;26.3;141.9;;21.6;30;;35.3;56.9;361.8
2014-10;;44.9;4.7;23.9;146.1;;20.3;24.8;;40.2;72.5;377.4
2014-11;;47.24;4.7;52.8;149;;19.2;15.6;;39.6;67;395.14
2014-12;;55.04;6.2;71.6;149.9;;21;14.9;;51.1;77.2;446.94
2015-01;;54;7;62;142;;20;16;;61;60;422
2015-02;;48;5;56;126;;18;14;;49;67;383
2015-03;;53;5;75;140;;21;16;;55;80;445
2015-04;;51;6;44;138;;21;18;;43;65;386
2015-05;;51;4;47;154;;22;21;;39;61;399
2015-06;;48;2;47;151;;22;23;;40;77;410
2015-07;;53;2;53;134;;26;21;;38;73;400
2015-08;;55;2;27;143;;30;22;;35;73;387
2015-09;;46;2;15;130;;24;17;;37;73;344
2015-10;;43;5;34;137;;22;14;;39;51;345
2015-11;;40;4;23;128;;21;12;;43;55;326
2015-12;;46;6;23;146;;24;13;;52;81;391
2016-01;;43.1;5.3;21.4;132.4;;22;13;0;53.4;71.8;362.4
2016-02;;41.8;4.7;18.1;124.3;;22.1;11.4;0;47.8;57.9;328.1
2016-03;;46.2;4.8;24.4;131.8;;24.6;14.4;0;50.1;78.2;374.5
2016-04;;46.8;4.9;23.6;136.4;;23.9;14;0;43.1;74.6;367.3
2016-05;;47.8;5.3;26.7;146.4;;25.5;18.8;0;41.6;86.9;399
2016-06;;43.9;2.8;27.3;129.9;;24.2;21.8;0;41.4;67.2;358.5
2016-07;;54.2;2.2;31.7;126.9;;28.7;27.1;0;37.1;45.4;353.3
2016-08;;55.7;2.7;25.5;147.6;;33.4;27.9;0;37.4;58;388.2
2016-09;;48;2.7;19.8;131.2;;27.4;24.5;0.6;39.3;57.5;351
2016-10;;47;4.6;21.5;150.5;;26.1;18.9;1;39.1;34;342.7
2016-11;;45.4;4.4;24.6;149.8;;25.8;13.8;0.1;43.4;73.5;380.8
2016-12;;46;4.9;22;144.3;;27.4;12.3;0;55.3;49.2;361.4
2017-01;;45.455;5.768;24.392;144.704;0,0;27.162;14.799;0.407;65.272;56.846749;384.805749
2017-02;;41.815;4.298;22.595;133.013;0,0;24.813;12.714;0.675;49.663;65.893126;355.479126
2017-03;;47.552;3.992;19.318;147.862;0,0;28.006;15.563;0.026;48.575;72.302916;383.196916
