Date;Produits pétroliers;Gaz naturel;Elec primaire;Total (KTEP-PCI)
2010-01;306.04;369.22;1.53;676.79
2010-02;283.45;319.01;1.43;603.9
2010-03;326.43;337.86;1.43;665.72
2010-04;319.69;321.93;1.15;642.77
2010-05;324.55;345.42;1.73;671.7
2010-06;341.21;371.97;1.52;714.7
2010-07;373.12;443.07;1.43;817.62
2010-08;343.77;435.29;1.28;780.34
2010-09;310.79;356.17;1.19;668.15
2010-10;343.3;362.7;1.03;707.03
2010-11;325.85;326.2;1.13;653.17
2010-12;356.01;380.57;1.35;737.93
2011-01;268.22;352.74;0.86;621.82
2011-02;235.77;329.75;1.16;566.69
2011-03;310.67;350.71;1.23;662.62
2011-04;312.97;325.71;1.45;640.13
2011-05;314.08;349.38;1.32;664.78
2011-06;339.68;364.33;1.49;705.51
2011-07;330.74;428.12;1.34;760.2
2011-08;313;401.76;1.03;715.79
2011-09;323.32;379.26;1.15;703.74
2011-10;324.63;337.41;1.29;663.33
2011-11;298.05;315.09;0.77;613.91
2011-12;319.39;365.85;0.92;686.16
2012-01;301.82;408.69;1.19;711.7
2012-02;275.72;385.11;3.02;663.85
2012-03;299.23;360.72;2.7;662.66
2012-04;309.11;322.71;3.39;635.21
2012-05;326.68;364.62;2.1;693.4
2012-06;341.41;418.05;2.03;761.48
2012-07;359.65;481.32;2.33;843.3
2012-08;337.98;476.19;1.83;816
2012-09;317.87;388.17;2.7;708.74
2012-10;315.37;363.78;2.13;681.28
2012-11;315.27;342.9;1;659.17
2012-12;322.64;399.88;1.88;724.4
2013-01;313.08;396.91;1.59;711.57
2013-02;300.03;376.37;2.44;678.84
2013-03;317;373.28;2.9;693.17
2013-04;316.74;354.29;2.37;673.41
2013-05;321.12;372.99;3.45;697.55
2013-06;319.84;391.42;4.1;715.36
2013-07;332.97;481.88;2.61;817.46
2013-08;334.37;450.95;2.85;788.18
2013-09;347.32;411.71;2.41;761.44
2013-10;322.77;406.76;3.69;733.22
2013-11;324.58;375.62;4.35;704.55
2013-12;353.33;417.22;3.18;773.73
2014-01;328.12;421.63;4.07;753.81
2014-02;378.45;373.27;4.47;756.18
2014-03;333.48;420.31;4.6;758.39
2014-04;340.46;400.63;3.52;744.61
2014-05;353.2;396.53;3.86;753.59
2014-06;353.1;425.55;3.46;782.12
2014-07;350.02;454.29;4.82;809.13
2014-08;379.84;480.91;4.02;864.78
2014-09;359.06;456.86;3.35;819.27
2014-10;371.56;380.82;2.9;755.28
2014-11;389.73;321.02;3.72;714.48
2014-12;440.3;364.82;5.62;810.75
2015-01;418.92;375.14;5.23;799.29
2015-02;378.45;365.08;5.44;748.96
2015-03;437.08;358.91;5.4;801.39
2015-04;381.57;348.56;3.69;733.82
2015-05;394.79;384.86;3.82;783.46
2015-06;401.98;375.73;3.49;781.21
2015-07;393.18;437.32;2.87;833.38
2015-08;380.09;475.69;2.43;858.2
2015-09;337.68;402.3;3.3;743.28
2015-10;342.88;382.8;3.22;728.9
2015-11;322.28;360.99;4.11;687.38
2015-12;382.29;417.55;1.52;801.36
2016-01;357.25;409.48;3.96;770.69
2016-02;325.38;382.58;4.97;712.92
2016-03;367.62;403.1;4.33;775.06
2016-04;360.52;342.1;4.08;706.69
2016-05;389.75;370.11;5.35;765.21
2016-06;353.37;391.23;3.5;748.1
2016-07;353.51;433.34;3.57;790.42
2016-08;386.21;446.49;3.46;836.16
2016-09;348.36;371.21;2.79;722.37
2016-10;346.28;380.6;2.73;729.61
2016-11;374.74;351.1;2.69;728.53
2016-12;362.36;403.46;3.19;769.01
2017-01;385.15;439.1;3.618;827.87
2017-02;351.44;357.14;2.681;711.26
2017-03;378.3;359.87;3.142;741.3
2017-04;364.56;342.24;3.421;710.23
2017-05;398.91;381.7;3.519;784.13
2017-06;360.45;412.01;2.529;774.99
2017-07;399.2;499.71;4.718;903.63
2017-08;407.55;524.77;2.688;935.01
2017-09;361.2;405.3;3.067;769.57
2017-10;400.03;367.03;2.978;770.04
2017-11;397.28;372.79;3.704;773.78
2017-12;384.17;403.57;4.017;791.76
2018-01;373.3;442.89;4.59;821
2018-02;345;410.76;3.4;759
2018-03;382.4;391.13;4.8;778
2018-04;377.6;378.39;3.66;760
2018-05;396.2;398.06;2.62;797
2018-06;368.8;385.98;3.76;759
2018-07;402.3;552.58;2.87;958
2018-08;420.3;453.6;1.84;876
2018-09;377.4;461.23;2.12;841
2018-10;379.1;374.69;3.46;757
2018-11;368.3;369.13;2.89;740
2018-12;389.3;405.11;4.37;799
2019-01;379.584817104;444.357;4.39718;828.338997104
2019-02;350.860893226;390.339;4.34902;745.548913226
2019-03;369.539561996;387.207;5.24858;761.995141996
2019-04;376.429625154;370.395;4.85728;751.681905154
2019-05;365.49506006;363.78;4.17014;733.44520006
2019-06;361.678041386;435.051;2.76232;799.491361386
2019-07;416.303371846;557.235;2.96786000000001;976.506231845999
2019-08;402.5;543.2805;3.09686;948.87736
2019-09;365.5;420.381;3.05299999999999;788.934
2019-10;361.9;366.011099999999;4.0162;731.927299999999
2019-11;365.1;377.887500000002;4.23292;747.220420000002
2019-12;370,0;421.0209;5.49282;796.51372
2020-01;397.603243778355;439.61490628758;3.3884;840.606550065936
2020-02;367.369037587645;388.78109371242;4.73344;760.883571300065
2020-03;304.260042106;356.22;4.91232;665.392362106
2020-04;177.811906;275.904;2.89519;456.611096
2020-05;293.872640398356;359.478;4.12757;657.478210398356
2020-06;388.113433265644;421.659;3.98868;813.761113265644
2020-07;390.348177542356;517.266;3.34024;910.954417542355
2020-08;397.96036726;544.635;3.70316;946.29852726
2020-09;362.200564815889;633.519;1.935;997.654564815889
2020-10;374.962534223999;151.641;4.00673999999999;530.610274223999
2020-11;351.149039922;353.862;3.11922000000001;708.130259922
2020-12;421.06071061667;399.339;3.81668;824.21639061667
2021-01;359.615580438;432.4284;4.945;796.988980438
2021-02;350.559075666257;379.3302;3.57416;733.463435666257
2021-03;402.368464135743;412.4754;3.76938;818.613244135743
2021-04;364.648351728;375.372;3.8829;743.903251728
2021-05;338.79769505;369.945;3.5002;712.24289505
2021-06;386.693453892;437.193;3.44774;827.334193892
2021-07;369.145520792;504.189;3.39442;876.728940792
2021-08;411.365633292;534.338999999999;2.07174;947.776373291999
2021-09;383.258243230001;432.216000000001;3.083956388;818.558199618001
