Nom_de_spectacle,Nbr_spectacle_theatrale,Nbr_spectacle_musicale,Nbr_spectacle_animation,Subvention_ministere,Subvention_comissariat,Subvention_Conseil_regional,Subvention_Conseil_municipal,Subvention_publicitaire,Subvention
أيام الزين الصافي ,0,0,0,0,3000,0,0,2000,5000
أيام نيابوليس للموسيقات ,0,0,0,0,4500,0,2000,0,6500
الأدباء الشبان قليبية ,1,1,0,0,0,1500,3000,0,4500
نابل الدولي ,2,2,0,55000,15500,0,15000,40000,125500
انماء المعمورة ,1,2,0,0,0,0,0,16000,16000
عرس الشاطئ بني خيار ,2,2,0,0,0,0,5000,0,5000
الصيفي منزل تميم ,0,2,0,0,3000,2000,0,0,5000
الصيفي الشريفات ,1,3,0,0,0,0,0,500,500
الحوت بني خيار ,0,2,0,0,1000,0,0,0,1000
العنب قرنبالية ,1,3,0,10000,5000,3500,26000,11000,55500
الصيفي دار شعبان ,1,1,0,0,1000,0,0,0,1000
الصيفي بني خلاد ,1,2,0,0,0,0,0,0,0
أم ذويل ,0,3,0,0,0,0,0,0,0
الصيفي دار علوش ,3,1,0,0,0,0,0,3000,3000
الصيفي بو عرقوب ,1,3,1,0,1000,0,0,0,1000
ليالي سليمان ,1,3,0,0,0,0,0,0,0
قروندا بوشراي ,1,3,0,0,0,0,0,0,0
مرسى الأمراء تاكلسة ,1,1,0,0,1000,0,1000,0,2000
المهاجر الميدة ,1,3,0,0,0,0,0,0,0
زاوية الجديدي ,0,2,0,0,0,0,0,2000,2000
البرج قليبية ,2,8,3,85000,0,0,0,0,85000
سيدي علي الصمعي الصمعة ,1,1,0,0,4000,1000,500,0,5500
الصيفي منزل بو زلفة ,1,2,0,0,0,0,0,0,0
