Non_Association ,Subvention_2016,Subvention_2017,Subvention_2018,Subvention_2019
جمعية أحباء المكتبة بنابل ,9500,11100,9400,5000
جمعية أحباء المكتبة و الكتاب بمنزل تميم ,3600,6500,4000,0
جمعية أحباء المكتبة و الكتاب بقربة ,1800,6300,1400,0
جمعية احباء المكتبة بازمور ,500,0,0,0
جمعية هوارة للبحوث و الدراسات التراثية ,1500,4000,1000,0
جمعية التنشيط و المهرجانات ببني خلاد ,2500,0,0,0
جمعية أحباء المكتبة و الكتاب بمنزل بوزلفة ,2400,2100,2000,0
جمعية أحباء المكتبة و الكتاب ببني خلاد ,1300,1300,1600,0
جمعية أحباء المكتبة و الكتاب بسليمان ,2100,2100,0,0
جمعية أحباء المكتبة و الكتاب بالمعمورة ,1000,1500,2200,0
جمعية أحباء المكتبة و الكتاب بحمام الغزاز ,1400,6200,1600,0
جمعية أحباء المكتبة و الكتاب بدار علوش,700,700,800,0
جمعية  أحباء الفنون بسليمان ,500,0,2300,0
جمعية بيت المتوسط للثقافات ,2000,2000,2000,0
جمعية النسيم للمسرح ,3000,0,0,0
association art attitude ,10000,17000,0,0
جمعية صيانة المدينة بقليبية ,3000,13000,0,2000
جمعية فسيفساء للموسيقى و الفنون ,5000,4500,4500,0
جمعية قربة للمسرح و التنشيط الثقافي بقربة ,2000,2000,2000,2000
جمعية منتدى هرماية بالهوارية ,7000,5000,2000,2000
جمعية نابل للتراث ,1500,1500,1500,500
جمعية مهرجان الساف بالهوارية ,5000,5000,5000,0
جمعية منارة الأدب بقليبة,1500,0,4000,3000
جمعية المهرجان الصيفي بمنزل تميم ,8000,3000,2000,2000
جمعية التنمية و النهوض بشباب الخروبة ,1000,4200,1000,3000
جمعية كلنا بني خيار للتنمية ,1000,0,1000,2000
جمعية مهرجانا ت بدون حدود بدار شعبان ,2000,7000,1000,3500
جمعية رؤى الشهيد ,1500,500,0,1000
جمعية معالم و مواقع بالوطن القبلي ,2300,2600,500,500
جمعية البيت الثقافي العراقي التونسي ,3000,1000,2000,0
جمعية مهرجان سيدي علي الصمعي ,3500,4000,4000,4000
جمعية مهرجان المسرح بقربة ,5000,0,0,5000
جمعية نادي نابل ,8000,0,0,0
جمعية محمود المسعدي للابداع بتازركة ,3000,0,0,0
جمعية التنشيط و المهرجانات بنابل ,5000,15000,15500,10000
جمعية صيانة مدينة بني خلاد ,1000,0,0,0
جمعية مهرجان سيدي داود بالمعمورة ,2500,0,0,0
جمعية مهرجان العنب بقرمبالية ,4000,5000,5000,5000
جمعية التنشيط و المهرجان ببني خيار ,500,700,0,0
مهرجان نيابوليس ,20000,10000,10000,10000
جمعية مسرح الابتسامة بنابل ,8700,5000,5000,5000
جمعية احباء المكتبة و الكتاب بتاكلسة ,1000,0,0,0
جمعية انماء بالمعمورة ,1000,0,0,0
جمعية قدماء المعهدالعالي للتنشيط الثقافي ,2000,0,0,0
جمعية صوت المراة ,1000,0,0,0
جمعية مهرجان سيدي أحمد أبم ذويل ,3000,4000,2000,0
جمعية ميميزيا للمسرح بتازركة ,0,1500,0,0
جمعية نابل كوميدي ,0,3000,2000,2000
جمعية نجوم المسرح بقربة ,0,1000,5000,0
جمعية أحباء المكتبة و الكتاب بأزمور ,0,500,1400,0
جمعية نجوم الفن الرابع بنابل ,0,600,0,0
جمعية المهرجان الوطني للموسيقين بمنزل تميم ,0,20000,0,0
جمعية الترفيه و التنشيط الثقافي و المهرجانات بسليمان  ,0,7000,0,0
جمعية رعاية المؤسسات التربوية ببني  خيار ,0,2000,0,0
جمعية أسبيس  الثقافية بقليبية ,0,5000,0,0
جمعية مهرجان المهاجر ,0,1600,0,0
الجمعية التونسية للفنون و الوساطة ,0,0,2000,3000
جمعية قنطرة ,0,0,1000,0
جمعية أوميرا بمنزل بوزلفة ,0,0,1000,1000
جمعية أحباء الطفل بالحمامات ,0,0,3000,0
جمعية الصداقة و العمل الاجتماعي ,0,0,3000,2000
الجمعية الجهوية للبيازرة بولاية نابل ,0,0,1000,0
جمعية مرسى الامراء بتاكلسة ,0,0,1000,2000
جمعية أحباء المكتبة و الكتاب بدار شعبان ,0,0,0,0
                           جمعية نرتقي ببوشراى ,0,0,500,0
جمعية نادي الثقافي سيدي المحرصي نابل ,0,0,0,1000
جمعية جسور التواصل بقليبية ,0,0,0,1000
جمعية مهرجان برج قليبية ,0,0,0,10000
جمعية المتوسط للفنون و السياحة الثقافية ,0,0,0,600
ودادية اعوان و اطارت وزارة الثقافة بنابل ,72600,81000,82350,81000
