Non _Association ,Subvention _2020
جمعية التنشيط و المهرجانات ,23000
جمعية المتوسط للفنون و السياحة الثقافية ,2000
جمعية مهرجان سيدي على الصمعي ,6000
جمعية منارة الادب بقليبية ,3000
جمعية التنمية و النهوض بشباب الخروبة ,2000
جمعية منتدى هرماية بالهوارية ,2000
جمعية أوميرا للمسرح بمنزل بوزلفة ,2000
جمعية مهرجان العنب بقرمبالية ,5000
جمعية فسيفساء للموسيقى و الفنون ,2000
جمعية معالم و مواقع بالوطن القبلي ,2000
جمعية الأرتيست للا نتاج المسرحي بمنزل بوزلفة ,5000
جمعية نابل للتراث  ,3000
جمعية مهرجان نيابوليس الدولي لمسرح الطفل بنابل ,15000
جمعية قنطرة للتواصل و الابداع الفني بقربة ,6500
جمعية مسرح الابتسامة  بنابل ,2000
جمعية نابل كوميدي ,3500
ودادية  أعوان و إطارات وزارة الثقافة بنابل ,73200
