Nom du projet ,Année d’inclusion dans le budget ,Estimations budgétaire ,Observation ,Intervenant
هدم و إعادة بناء دار الثقافة دار شعبان الفهري,2017,6100,في مرحلة إعداد تقرير تقييم العروض,وزارة الثقافة و المجلس الجهوي
تهيئة و صيانة المركب الثقافي نيابوليس بنابل,2020,1800,في طور دراسة الأقساط الخاصة,وزارة الثقافة و المجلس الجهوي
تهيئة و صيانة دار الثقافة قرنبالية,2023,680,في طور دراسة القساط الخاصة,وزارة الثقافة و المجلس الجهوي
تهيئة و صيانة دار الثقافة قربة و مسرح الهواء الطلق المجاور لها,2019,1419,تم تعيين المصممن في انتظار انطلاق الدراسات,وزارة الثقافة و المجلس الجهوي
تهيئة و صيانة دار الثقافة تاكلسة,2021,200,في طور الدراسات التمهيدية هندسة مدنية,وزارة الثقافة و المجلس الجهوي
انجاز أبواب و نوافذ حديدية بدار الثقافة قليبية,2019,40,تم رفض الاستشارة للمرة الثالثة في انتظار الاعلان على استشارة جديدة في الغرض,وزارة الثقافة و المجلس الجهوي
تهيئة وصيانة دار الثقافة منزل تميم,2023,23٫5,انطلقت الأشغال بتاريخ10/7/2024 و انتهت بتاريخ 13/09/2024,وزارة الثقافة و المجلس الجهوي
بناء دار الثقافة بوتهيئة و صيانة الفضاء الثقافي سيدي عبد السلام بحمام الاغزاز,2024,200,تم تعيين المصممن في انتظار انطلاق الدراسات,وزارة الثقافة و المجلس الجهوي
بناء دار الثقافة ببوعرقوب,2015,3001٫639,تم القبول الوقتي للأشغل بتاريخ 31 جانفي 2024,وزارة الثقافة و المجلس الجهوي
توسعة وتهيئة و صيانة المكتبة العمومية بحمام الاغزاز,2021,400,في طور الدراسات الموجزة هندسة مدنية,وزارة الثقافة و المجلس الجهوي
توسعة و تهيئة و صيانة المكتبة الجهوية بنابل,2024,438٫5,تم تعيين المصممن في انتظار انطلاق الدراسات,وزارة الثقافة و المجلس الجهوي
توسعة و تهيئة و صيانة المكتبة العمومية بتاكلسة,2021,400,في طور دراسة القساط الخاصة,وزارة الثقافة و المجلس الجهوي
تجديد الشبكة الكهربائية بالمكتبة الجهوية بنابل,2019,80,تم القبول الوقتي للشغال بتاريخ 22 ماي 2024,وزارة الثقافة و المجلس الجهوي
تجديد الشبكة الكهربائية و تهيئة و صيانة المكتبة العمومية بمنزل الحر,2020,141,أرجع الملف إلى مصالح التجهيز لتجميع الاستشارتين و الاعلان على استشارة موسعة في الغرض,وزارة الثقافة و المجلس الجهوي
تهيئة و صيانة المكتبة العمومية ببوعرقوب,2019,305,في انتظار انطلاق الأشغال,وزارة الثقافة و المجلس الجهوي
تهيئة و صيانة المكتبة العمومية حي الرياض و المكتبة العمومية ساحة الشباب بقليبية,2019,527,تم القبول الوقتي للأشغال بتاريخ 25 جانفي 2024,وزارة الثقافة و المجلس الجهوي
