Nom_Bibliothèque,Enfants_F,Enfants_G,Jeunes_F,Jeunes_G,Adultes_F,Adultes_H,Total
Bibliothèque publique de TAZERKA ,157,99,77,39,14,8,394
Bibliothèque publique de el HAOURIA  ,35,19,75,55,27,67,278
Bibliothèque publique de BENI KHIAR,246,143,111,25,0,12,537
Bibliothèque publique de AZMOUR ,105,53,31,13,6,2,210
Bibliothèque publique de HAMAM ELGZAZ ,142,77,28,8,2,1,525
Bibliothèque publique de BENI KHALED ,117,54,130,43,4,4,352
Bibliothèque publique de OM THWIL,27,23,0,0,1,0,51
Bibliothèque publique de DAR CHAABAN ELFEHRI ,238,136,186,85,7,3,655
Bibliothèque publique de HAMMAMET ,216,156,269,67,29,21,758
Bibliothèque publique de KELIBIA place de la jeunesse ,207,115,120,32,26,25,525
Bibliothèque publique de MAAMOURA ,154,71,98,20,14,4,361
Bibliothèque publique de MENZEL BOUZELFA ,86,82,286,106,0,0,560
Bibliothèque publique de GROMBALIA ,190,84,504,138,21,20,967
Bibliothèque publique de ZAWIT JDIDI ,76,62,33,9,3,2,185
Bibliothèque publique de DAR ALOUCH ,139,102,26,4,4,3,278
Bibliothèque publique de MENZEL HOR ,56,20,14,3,0,0,93
Bibliothèque publique de KELIBIA CITE RIADH ,0,0,0,0,0,0,0
Bibliothèque publique de BOUARGOUB ,82,62,109,53,7,3,316
Bibliothèque publique de SOLIMAN ,71,68,80,22,8,3,252
Bibliothèque publique de MENZEL TEMIM ,131,91,322,70,12,18,644
Bibliothèque publique de MIDA ,227,155,51,2,12,10,457
Bibliothèque publique de SOMAA ,180,156,54,21,8,3,422
Bibliothèque publique de TAKELSSA ,97,61,27,3,8,3,199
Bibliothèque publique de KORBA ,527,384,219,67,44,10,1251
Bibliothèque publique régional de NABEUL,252,190,1108,474,81,56,2161
Bibliothèque ambulante  de NABEUL (01),177,190,26,24,15,13,445
Bibliothèque ambulante  de NABEUL (02),357,221,75,67,34,30,784
