Bibliothèques,Enfants-F,Enfants-G,Jeunes-F,Jeunes-G,Adultes-F,Adultes-G,Total,Nb_fond_livre_2021
Bibliothèque régionale Sousse (fermée),0,0,0,0,0,0,0,0
Bibliothèque public sahloul,134,126,448,188,20,15,931,18075
Bibliothèque public k kbira,28,12,8,43,8,8,107,12295
Bibliothèque public k kbira (enf),82,44,0,0,0,0,126,15754
Bibliothèque public akouda ,40,17,91,38,26,13,225,14454
Bibliothèque public hergla,40,42,5,5,4,2,98,13480
Bibliothèque public sidi bou ali ,83,33,34,15,8,0,173,8862
Bibliothèque public nfidha,71,21,92,31,0,0,215,11169
Bibliothèque public kondar,50,40,15,5,0,0,110,9850
Bibliothèque public bouficha ,12,12,28,13,3,1,69,8993
Bibliothèque public zaouiet sousse ,94,50,36,14,6,6,206,12890
Bibliothèque public ksibet sousse ,30,55,15,5,0,0,105,12549
Bibliothèque public zouhour ,0,0,0,0,0,0,0,4020
Bibliothèque public msaken ,185,150,942,450,69,40,1836,41677
Bibliothèque public massadine,48,13,2,2,1,2,68,10141
Bibliothèque public k sghira ,50,24,134,32,2,1,243,13903
Bibliothèque public cité matar ,0,0,0,0,0,0,0,0
Bibliothèque public hadrumet,25,19,0,0,0,0,44,5045
Bibliothèque public hamam sousse ,30,43,0,0,0,0,73,4027
Bibliothèque public nfidha (enf) ,83,70,0,0,0,0,153,1567
,,,,,,,,
Bibliothèques,Enfants-F,Enfants-G,Jeunes-F,Jeunes-G,Adultes-F,Adultes-G,Total,Nb_fond_livre_2022
Bibliothèque régionale Sousse (fermée),0,0,0,0,0,0,0,0
Bibliothèque public sahloul,283,223,487,246,42,17,1298,17625
Bibliothèque public k kbira,47,20,53,17,17,10,164,12362
Bibliothèque public k kbira (enf),155,102,0,0,0,0,157,15913
Bibliothèque public akouda ,64,56,177,67,20,14,398,15113
Bibliothèque public hergla,81,50,9,0,1,0,144,13879
Bibliothèque public sidi bou ali ,28,14,46,8,4,0,100,9548
Bibliothèque public nfidha,98,34,65,28,0,0,225,11360
Bibliothèque public kondar,52,43,22,8,0,0,125,10577
Bibliothèque public bouficha ,0,0,224,118,15,16,373,9424
Bibliothèque public zaouiet sousse ,117,61,38,10,5,5,236,12843
Bibliothèque public ksibet sousse ,13,8,9,0,0,0,30,7063
Bibliothèque public zouhour ,0,0,0,0,0,0,0,4865
Bibliothèque public msaken ,238,178,340,269,70,74,1199,42910
Bibliothèque public massadine,32,17,2,1,0,1,53,10142
Bibliothèque public k sghira ,34,25,226,81,11,6,383,14492
Bibliothèque public cité matar ,51,21,34,11,0,0,117,9487
Bibliothèque public hadrumet,23,30,0,0,0,0,53,5162
Bibliothèque public hamam sousse ,149,86,0,0,0,0,235,3396
Bibliothèque public nfidha (enf) ,99,72,0,0,0,0,162,1567
,,,,,,,,
Bibliothèques,Enfants-F,Enfants-G,Jeunes-F,Jeunes-G,Adultes-F,Adultes-G,Total,Nb_fond_livre_2023
Bibliothèque régionale Sousse,139,72,916,188,71,76,1462,39694
