Bibliothèques publiques,Nombre de points de lecture,Nombre de lecteurs,Nombre abonnés,Nombre emprunteurs,Nombre de livres,Nombre de livres prétés
Régional Manouba,189,35278,1342,16388,21965,49786
Tebourba,166,26080,1271,3422,30388,11193
Jedaida,144,11967,1045,5070,16814,10853
Oued Ellil,125,4446,229,5416,32861,38104
Mornaguia,84,32642,1016,1920,2015,5347
Denden,100,5979,768,15611,19931,17585
Borj Al Amri,66,2252,411,1468,6493,5982
Douar Hicher 1,50,2668,229,2328,6841,3830
Douar Hicher 2,108,2884,147,4329,16709,19543
Battan,104,6377,492,4610,11626,6259
