Nom,Enfants_F,Enfants_G,Jeunes_F,Jeunes_G,Adultes_F,Adultes_G,Total
Bibliothèque public de TAZERKA ,194,120,82,47,17,6,466
Bibliothèque public de el HAOURIA  ,19,16,49,33,0,27,144
Bibliothèque public de BENI KHIAR,79,56,56,30,11,5,237
Bibliothèque public de AZMOUR ,56,15,33,16,3,1,124
Bibliothèque public de HAMAM ELGZAZ ,101,59,42,24,2,2,230
Bibliothèque public de BENI KHALED ,102,70,218,74,3,4,471
Bibliothèque public de OM THWIL,76,60,0,0,0,0,136
Bibliothèque public de DAR CHAABAN ELFEHRI ,328,255,335,106,7,4,1035
Bibliothèque public de HAMMAMET ,216,112,290,97,35,19,769
Bibliothèque public de KELIBIA place de la jeunesse ,188,102,245,109,22,17,683
Bibliothèque public de MAAMOURA ,125,75,91,36,7,6,340
Bibliothèque public de MENZEL BOUZELFA ,92,41,208,77,3,5,426
Bibliothèque public de GROMBALIA ,162,97,378,91,23,15,766
Bibliothèque public de ZAWIT JDIDI ,86,57,46,61,2,1,198
Bibliothèque public de DAR ALOUCH ,88,67,24,7,6,0,192
Bibliothèque public de MENZEL HOR ,74,24,13,3,2,2,118
Bibliothèque public de KELIBIA CITE RIADH ,19,16,43,17,5,9,109
Bibliothèque public de BOUARGOUB ,78,71,127,25,13,10,324
Bibliothèque public de SOLIMAN ,94,72,92,24,8,9,299
Bibliothèque public de MENZEL TEMIM ,315,120,400,28,70,5,938
Bibliothèque public de MIDA ,95,85,38,8,4,9,239
Bibliothèque public de SOMAA ,77,51,20,9,4,2,163
Bibliothèque public de TAKELSSA ,71,38,38,2,5,1,155
Bibliothèque public de KORBA ,428,266,179,49,32,8,962
Bibliothèque public régional de NABEUL,215,149,966,334,52,60,1776
Bibliothèque ambulante  de NABEUL (01),300,242,27,23,22,9,623
Bibliothèque ambulante  de NABEUL (02),832,240,51,50,34,46,1253
