Non_des_Associations ,subvention _commissariat ,Nbr_spectacle_théâtral ,Mnt_spectacle _théâtral ,Nbr_spectacle_musical,Mnt_spectacle_musical ,Nbr_Autre_subvention,Mnt_Autre_subvention
جمعية مهرجان نيابوليس لمسرح الطفل ,5000,3,6000,0,0,7,8400
جمعية اوميرا للمسرح بمنزل بوزلفى,2000,2,2000,0,0,0,0
جمعية قنطرة ,6000,0,0,0,0,0,0
الجمعية التونسية للثقافة و الفنون ,5000,0,0,0,0,0,0
جمعية مسرح الابتسامة ,5000,0,0,0,0,3,2654
جمعية مسرح المدينة للفنون و الثقافة بالحمامات ,0,0,0,0,0,1,350
جمعية حس بدار شعبان الفهري ,0,0,0,1,1200,0,0
جمعية انماء المعمورة ,0,0,0,1,3000,0,0
جمعية الشباب الطموح بقرمبالية,0,0,0,1,3500,0,0
ودادية أعوان و إطارات وزارة الثقافة بنابل ,40300,0,0,0,0,0,0
الاتحاد الجهوي للشغل بنابل ,0,0,0,2,4000,0,0
جمعية المتوسط للفنون و السياحة الثقافية ,8000,0,0,0,0,4,1800
جمعية قربة للمسرح و التنشيط الثقافي ,0,2,3300,1,4500,0,0
ودادية أعوان واطارات وزارة الثقافة  بولاية نابل ,40300,0,0,0,0,0,0
