Nom,Enfants_F,Enfants_G,Jeunes_F,Jeunes_G,Adultes_F,Adultes_G,Total
Bibliothèque public de TAZERKA ,178,161,72,30,13,9,463
Bibliothèque public de el HAOURIA  ,29,18,57,43,4,15,166
Bibliothèque public de BENI KHIAR,294,182,78,25,8,0,587
Bibliothèque public de AZMOUR ,50,27,10,9,1,4,101
Bibliothèque public de HAMAM ELGZAZ ,120,82,33,7,4,5,251
Bibliothèque public de BENI KHALED ,119,59,184,39,7,10,418
Bibliothèque public de OM THWIL,36,27,1,0,0,0,64
Bibliothèque public de DAR CHAABAN ELFEHRI ,233,126,170,62,3,0,594
Bibliothèque public de HAMMAMET ,79,59,328,97,13,25,601
Bibliothèque public de KELIBIA place de la jeunesse ,154,92,82,27,15,17,387
Bibliothèque public de MAAMOURA ,149,76,73,18,3,3,322
Bibliothèque public de MENZEL BOUZELFA ,197,111,332,116,2,2,742
Bibliothèque public de GROMBALIA ,258,168,617,161,15,13,1232
Bibliothèque public de ZAWIT JDIDI ,109,67,45,7,2,1,231
Bibliothèque public de DAR ALOUCH ,118,86,340,7,5,4,235
Bibliothèque public de MENZEL HOR ,47,19,19,12,0,0,97
Bibliothèque public de KELIBIA CITE RIADH ,établissement fermé pour travaux  amenagement ,,,,,,
Bibliothèque public de BOUARGOUB ,62,48,200,67,8,9,394
Bibliothèque public de SOLIMAN ,106,64,107,36,9,12,334
Bibliothèque public de MENZEL TEMIM ,141,84,419,215,29,17,905
Bibliothèque public de MIDA ,166,84,34,9,8,6,307
Bibliothèque public de SOMAA ,138,73,36,20,19,1,287
Bibliothèque public de TAKELSSA ,72,37,20,3,4,3,139
Bibliothèque public de KORBA ,359,232,299,61,41,9,941
Bibliothèque public régional de NABEUL,208,160,1157,484,74,58,2141
Bibliothèque ambulante  de NABEUL (01),226,209,14,15,20,15,499
Bibliothèque ambulante  de NABEUL (02),365,225,59,61,30,20,760
