Non_des_Associations ,subvention _commissariat ,subvention _conseil _régional,subvention_ conseil _municipal ,Nbr_spectacle_théâtral ,Mnt_spectacle _théâtral ,Nbr_spectacle_musical,Mnt_spectacle_musical ,Nbr_Autre_subvention,Mnt_Autre_subvention
جمعية حس الثقافية التنشيطية الفنية ,5000,4000,0,0,0,0,0,1,9493٫24
جمعية رؤيا الشباب الطموح ,4000,5000,0,0,0,1,2000,0,0
جمعية اميراللمسرح بمنزل بوزلفة ,2000,4000,0,0,0,0,0,0,0
جمعية مسرح الابتسامة بنابل ,3000,0,5000,0,0,0,0,0,0
جمعية الثقافة و احياء التراث بأم ذويل ,3000,0,0,1,2200,2,10749٫125,0,0
جمعية مهرجان العنب بقرمبالية ,12000,0,0,0,0,1,11500,0,0
جمعية المتوسط للفنون و السياحة الثقافية ,6000,0,3000,0,0,2,5600,0,0
جمعية التنشيط و المهرجانات بزاوية الجديدي ,3000,3500,0,0,0,1,10000,0,0
جمعية منارة الادب بقليبية ,2000,0,0,0,0,0,0,0,0
الجمعية التونسية للثقافة و الفنون ,2000,0,0,0,0,0,0,0,0
جمعية التنشيط و المهرجانات بنابل ,25000,8000,25000,2,4700,1,10000,0,0
جمعية مهرجان نيابوليس ,4000,10000,14500,11,29000,0,0,0,0
ودادية أعوان واطارات وزارة الثقافة  بولاية نابل ,40500,0,0,0,0,0,0,0,0
جمعية صيانة مدينة نابل ,0,0,0,0,0,1,1500,0,0
المهرجان الدولي للموندراما بقرطاج ,0,0,0,6,4800,0,0,0,0
