المكان ,اسم المعلم /  الموقع,الوضع الحالي للمعلم/الموقع,ملاحظات
,قصر قبة النحاس,حسنة,ملك خاص
,قصر مراد باي,حسنة,السجن المدني للنساء 
,سقيفة خير الدين باشا,سيئة,مهجور
,سبيل حمودة باشا,سيئة,بلدية منوبة
,جابية زروق ,سيئة,بلدية منوبة
,قصر الوردة,حسنة,متحف عسكري
,دار العرابي,حسنة,مركز المسنين
,قصر سعيد باي,سيئة جدا,هدم
مدينة منوبة,دار الكاهية,حسنة,ملك خاص
,برج التوكابري ,سيئة جدا,مهجور
,برج المصمودي,حسنة,ملك خاص
,برج سانية المشماش,سيئة جدا,مهجور
,قصر فرحات,جسنة,ملك خاص
,قصر احمد باي,حسنة,مدرسة خاصة
,قصر الهداية,حسنة,مقر الولاية
,برج شويخة,سيئة,مهجور  
,برج قرع,سيئة جدا,مهجور
,قصر بوعتور,سيئة جدا,هدم
,مقام السيدة المنوبية,حسنة,زاوية
الدندان,قصر العربي زروق,حسنة,مركز قطاعي للالكترونيك
,قصر الناصر باي/برج جنينة-,حسنة ,ملك خاص
,سيدي غريب,سيئة,مهجور
برج العامري,هنشير المربع,سيئة,مهجور
,مقام سيدي علي الحطاب,حسنة,زاوية
,مقام سيدي سعيد,حسنة,زاوية
,زاوية سيدي بن عيسى,حسنة,جمعية صيانة مدينة طبربة
,زاوية سيدي علي عزوز,حسنة,زاوية ومدرسة قرآنية
,كنيسة طبربة,حسنة,مقر المكتبة العمومية
طبربة,كنيسة الشويقي,سيئة,مهجورة
,هنشير الداموس,سيئة,مهجور
,موقع الانصاري,سيئة,مهجور
,الجامع الكبير,حسنة,وزارة الشؤون الدينية
,معمل الشاشية,سيئة,ملك خاص
البطان,مركز تجويد الخيل,سيئة,تحت اشراف وزارة الفلاحة
,قنطرة البطان,حسنة,مهجور
وادي الليل ,الحنايا الرومانية,سيئة,مهجورة
شواط,"قصر لاقريني "" شواط """,سيئة,ملك خاص
هنشير المساعدين,الكنيسة الاثرية,سيئة جدا,مهجور
,المقبرة الاثرية,سيئة,مهجور
