Nom_maison _culture,Nbr_clubs_2018,Nbr_adherent_G_2018,Nbr_adherent_f _2018,Nbr_adherent_club _2018,Nbr_clubs_2019,Nbr_adherent_G_2019,Nbr_adherent_F_2019,Nbr_adherent_club_2019,Nbr_clubs_2020,Nbr_adherent_G_2020,Nbr_adherent_F_2020,Nbr_adherent_club_2020,Nbr_clubs2021,Nbr_adherent_G_2021 ,Nbr_adherent_F_2021
maison de culture nabeul,12,114,160,274,7,46,161,207,8,73,59,132,2,36,55
maison de culture grombalia ,9,51,44,99,8,50,44,94,8,46,54,100,5,13,41
maison de culture korba ,5,28,67,95,6,25,65,90,2,16,54,70,4,35,41
maison de culture tekelssa ,8,23,63,86,6,20,43,63,7,14,34,58,5,18,39
maison de culture tazerka ,8,38,51,89,9,16,47,63,4,8,16,24,5,27,36
maison de culture elhawaria ,5,29,43,72,7,30,59,89,6,36,54,90,6,31,51
maison de culture menzel temime ,12,89,82,171,9,46,84,130,8,35,58,93,14,84,93
maison de culture kelibia ,5,22,37,59,5,34,44,78,3,14,16,30,4,22,28
centre culturelle niapolis ,8,72,75,147,9,58,80,138,11,52,145,197,9,74,116
maison de culture Elmida ,0,0,0,0,0,0,0,0,0,0,0,0,9,62,86
