Non_ de _ festivals ,Budget ,Subvention_ ministere ,Subvention _ commissariat ,Subvention _regional ,Subvention _ conseil _ municipal,Subvention _ publicitaire ,Nbr _spectacle _ theatral ,Mnt _ spectacle _ theatral ,Nbr_ spectacle _ musicale ,Mnt_spectacle _musicale ,Nbr_ spectacle _ animation ,Mnt_ spectacle _ animation 
المهرجان المتوسطي للثقافات و الفنو ن بحمام الغزاز ,22900,0,0,0,0,0,2,8900,1,11800,2,2200
مهرجان سيدي داود بوكريم  الهوارية ,7800,0,0,0,0,0,1,2300,2,5500,0,0
مهرجان زاوية الجديدي ,26700,0,0,0,0,3000,1,3500,3,19000,1,1200
مهرجان ليالي سليمان ,24200,0,0,0,0,0,1,2200,2,22000,0,0
تطاهرة تانيت دار علوش ,59400,30000,0,0,0,2000,3,4900,3,22500,0,0
مهرجان سيدي علي الصمعي  الصمعة ,64000,20000,4000,3000,1000,0,0,0,2,36000,0,0
المهرجان الصيفي منزل بوزلفى ,17600,0,0,2000,0,0,2,5100,3,10500,0,0
مهرجان فنون الركح و الشارع بدار شعبان الفهري ,19000,0,3500,1500,0,0,0,0,3,14000,0,0
المهرجان الصيفي بني خلاد ,9500,0,0,0,0,0,1,2000,2,7500,0,0
مهرجان قربص الالوان ,11000,0,0,0,0,0,0,0,3,11000,0,0
مهرجان البحر بسليمان ,12000,0,0,0,0,7000,0,0,1,5000,0,0
مهرجان الادباء الشبان بقليبية ,17000,0,5000,0,7000,0,0,0,1,5000,0,0
ايام الزين الصافي للاغنية الملتزمة بقليبية ,9000,0,2000,0,3000,0,0,0,1,4000,0,0
المهرجان الصيفي بالشريفات ,19800,0,0,0,0,0,1,2300,4,17500,0,0
مهرجان العنب بقرمبالية ,98000,10000,5000,4000,26000,12500,0,0,3,40500,0,0
 المهرجان الصيفي بالخروبة ,27900,0,3000,4000,0,500,1,2300,3,18100,0,0
عرس الشاطئ بني خيار ,11850,0,0,0,0,0,3,5350,1,6500,0,0
مهرجان الحوت بني خيار ,32000,0,2000,0,0,5300,0,0,3,24700,0,0
مهرجان انماء المعمورة ,41500,0,0,0,0,19000,1,2000,3,20500,0,0
مهرجان مرسى الامراء تاكلسة ,13700,0,2000,4000,0,0,1,700,2,7000,0,0
مهرجان نابل الدولي ,229400,100000,10000,0,19000,20000,2,21900,3,58500,0,0
المهرجان الصيفي منزل تميم ,17300,0,2000,0,0,0,2,2800,3,12500,0,0
مهرجان الوديان ,11800,0,0,0,0,4200,2,1600,2,6000,0,0
مهرجان أم ذويل ,8200,0,0,0,0,0,0,0,3,7200,1,1000
مهرجان العزف الفردي ,9000,0,3000,0,0,0,0,0,2,6000,0,0
مهرجان قرروندا بوشراى,9200,0,0,0,0,0,0,0,2,8000,1,1200
ليالي البرج بقليبة ,178500,63000,10000,0,0,4500,2,40000,5,61000,0,0
مهرجان عرائس السكر ,0,0,0,0,0,0,0,0,0,0,0,0
مهرجان الاأضواء بنابل ,8300,0,2000,0,5000,1300,0,0,0,0,0,0
مهرجان السينمائيين الهواة بقليبية ,213000,160000,0,0,10000,43000,0,0,0,0,0,0
cine etoile ,600,0,600,0,0,0,0,0,0,0,0,0
