annee_scolaire;ordre_CRE;Nom_CRE;Lib_matriere;effectif_enseignants
2021/2022;1;Tunis 1;Arabe;2
2021/2022;2;Tunis 2;Arabe;1
2021/2022;3; Ariana ;Arabe;2
2021/2022;4; Mannouba ;Arabe;1
2021/2022;5; Ben Arous ;Arabe;2
2021/2022;6; Zaghouan ;Arabe;2
2021/2022;7; Bizerte ;Arabe;3
2021/2022;8; Béja ;Arabe;3
2021/2022;9; Jendouba ;Arabe;
2021/2022;10; Siliana ;Arabe;
2021/2022;11; Le Kef ;Arabe;1
2021/2022;12; Kasserine ;Arabe;1
2021/2022;13; Sidi Bouzid ;Arabe;2
2021/2022;14; Gafsa ;Arabe;2
2021/2022;15; Tozeur ;Arabe;
2021/2022;16; Kébili ;Arabe;2
2021/2022;17; Tataouine ;Arabe;1
2021/2022;18; Médenine ;Arabe;3
2021/2022;19; Gabès ;Arabe;4
2021/2022;20;Sfax 1;Arabe;5
2021/2022;21;Sfax 2;Arabe;1
2021/2022;22; Mahdia ;Arabe;5
2021/2022;23; Kairouan ;Arabe;4
2021/2022;24; Monastir ;Arabe;2
2021/2022;25; Sousse ;Arabe;3
2021/2022;26; Nabeul ;Arabe;4
2021/2022;1;Tunis 1;Français;2
2021/2022;2;Tunis 2;Français;1
2021/2022;3; Ariana ;Français;2
2021/2022;4; Mannouba ;Français;1
2021/2022;5; Ben Arous ;Français;4
2021/2022;6; Zaghouan ;Français;1
2021/2022;7; Bizerte ;Français;4
2021/2022;8; Béja ;Français;2
2021/2022;9; Jendouba ;Français;
2021/2022;10; Siliana ;Français;
2021/2022;11; Le Kef ;Français;1
2021/2022;12; Kasserine ;Français;1
2021/2022;13; Sidi Bouzid ;Français;2
2021/2022;14; Gafsa ;Français;2
2021/2022;15; Tozeur ;Français;1
2021/2022;16; Kébili ;Français;2
2021/2022;17; Tataouine ;Français;1
2021/2022;18; Médenine ;Français;3
2021/2022;19; Gabès ;Français;3
2021/2022;20;Sfax 1;Français;4
2021/2022;21;Sfax 2;Français;
2021/2022;22; Mahdia ;Français;5
2021/2022;23; Kairouan ;Français;4
2021/2022;24; Monastir ;Français;2
2021/2022;25; Sousse ;Français;6
2021/2022;26; Nabeul ;Français;5
2021/2022;1;Tunis 1;Anglais;4
2021/2022;2;Tunis 2;Anglais;1
2021/2022;3; Ariana ;Anglais;3
2021/2022;4; Mannouba ;Anglais;2
2021/2022;5; Ben Arous ;Anglais;5
2021/2022;6; Zaghouan ;Anglais;1
2021/2022;7; Bizerte ;Anglais;5
2021/2022;8; Béja ;Anglais;3
2021/2022;9; Jendouba ;Anglais;
2021/2022;10; Siliana ;Anglais;
2021/2022;11; Le Kef ;Anglais;1
