Les-associations,Subvention-2018,Subvention-2019,Subvention-2020
Association Les Solistes,3000,2000,5000
Association Culture Pour Tous,0,7500,5000
Association Badr Pour La Musique Et L'art,3000,2000,3000
Association le Maghreb arabe pour La Production La Distribution Culturelle Et Artistique,2000,1000,1000
Association Lumieres Du Théatre,0,0,1500
Association Utina Pour La Culture Et Les Arts,1500,1500,2000
Association Sitar Pour Les L'Arts,1000,500,1000
Association Amis De La Bibliothèque Et Du Livre De Ben Arous,26400,3000,0
Association Nos Enfants,2000,1000,0
Association Amis De La Bibliothèque Et Du Livre de Fouchena,2000,1500,1000
Association Ramem,1800,5200,4000
Association Tunisienne Pour La Protection De L'environnement Et Du Patrimoine,2000,1000,2000
Association  De Sauvegarde De La Ville De Mohammedia,,2000,0
Association Des Manifestations Culturelles,2000,2000,0
Association Femmes Hraïer,2000,2000,0
Association Farha Pour Les Arts Sceniques,1500,2000,2000
Association Festival de la Medina de Hammam Lif Forum Des Createurs,,3000,0
Association aides moi à apprendre,1200,1000,0
Association abak al ibdaa ,1000,1000,1500
Association wassit pour une generation motivée,0,1000,0
Association voix du théatre du nord,600,1500,0
Association culture et création ,0,1500,0
Association cyclamen pour l'information la citoyennete et de la culture numerique,0,0,1500
Association farah pour l'integration des enfants autistes,0,0,3000
 Association tanwir,0,0,1000
Association Al Hanaya pour les loisirs le travail social et la preservation de L'environnement ,2500,0,0
Association les Jeune du Jasmin,500,1000,0
Association Du  festival de khelidia ,0,0,3000
Association borj cedria demain,2000,2000,2000
