Date;Recettes_commerciales_hors Ab_scolaires;Recettes_abonnements_scolaires;Autres_produits_exploitation
2000;1,788;0,56;0,002
2001;1,941;0,687;
2002;1,889;0,653;0,025
2003;2,082;0,726;0,179
2004;1,913;0,845;0,243
2005;1,886;0,859;0,002
2006;2,121;0,868;0,005
2007;2,25;0,972;0,002
2008;2,499;0,923;0,013
2009;2,597;0,881;0,01
2010;2,61;0,901;0,019
2011;2,205;0,881;0,013
2012;3,515;0,821;0,007
2013;3,762;0,803;0,005
2014;4,131;0,79;0,019
2015;5,037;0,772;0,001
2016;5,579;0,741;0,006
2017;5,869;0,741;0,004
