Gouvernorat;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;"En Cours d'éxecution";"En Cours d'étude"
Manouba;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Bizerte;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;--;--
Siliana;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;3;--;--
Mahdia;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;--;1
"Sidi Bouzid";--;--;--;1;1;1;1;1;1;1;1;1;1;1;1;1;--;--
Tataouine;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;--;--
Sud-Ouest;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;1;1
Tunis;--;--;--;--;--;--;--;--;--;1;1;1;1;1;1;--;--;--
District-Tunis;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;0;0;0
Nord-Est;6;6;6;6;6;6;6;6;6;7;7;7;7;7;7;5;1;0
Béja;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;--;--
Nord-Ouest;5;5;5;5;6;6;6;6;6;6;6;6;6;7;7;8;0;0
Sfax;--;--;--;--;--;--;--;--;--;1;1;1;2;2;2;2;--;--
Centre-Ouest;3;3;3;4;4;4;4;4;4;4;4;5;6;6;6;7;2;0
Sud-Est;5;5;5;5;5;5;5;5;5;5;5;5;5;6;6;6;0;1
Total;27;27;27;28;29;29;31;31;31;34;34;35;37;39;39;35;4;3
Ariana;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--
Nabeul;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;3;1;--
Jendouba;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;--;--
Sousse;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;--;--;--
Centre-Est;3;3;3;3;3;3;4;4;4;5;5;5;6;6;6;4;0;1
Kairouan;2;2;2;2;2;2;2;2;2;2;2;3;4;4;4;4;--;--
Gabès;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1
Gafsa;--;--;--;--;--;--;1;1;1;1;1;1;1;1;1;1;--;1
"Source: La direction de planification et d'évaluation (décembre 2017)";;;;;;;;;;;;;;;;;;
"Ben Arous";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;--;--;--
Zaghouan;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;--;--
"Le Kef";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;--;--
Monastir;--;--;--;--;--;--;1;1;1;1;1;1;1;1;1;1;--;--
Kasserine;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;--
Médnine;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;--;--
Tozeur;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;--
Kébili;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;--;--
