Gouvernorat;2;NB;Localisation;5;6;"Année de Création";Remarques
"Ben Arous";;4;"Cité Olympique Radès";;;2001;
Jandouba;;8;"Complexe Sportif Ain drahem";;;1994;
Gafsa;;13;"Stade d'athlétisme à Gafsa";;;2001;
;;3;"Cité jeunesse el manzeh";;;1998;
Nabeul;;7;Nabeul;;;2000;
Kairaoun;;10;"Complexe d'athlétisme Kairaoun";;;2002;
Total;;;13;;;;
;;2;"Stade Olympique el manzeh";;;1968;
Mannouba;;6;"Institut Supérieur Ksar essaiid";;;;
"Sidi bouzid";;11;"Stade d'athlétisme à Sidi bouzid";;;2002;
"Source: La direction de planification et d'évaluation (décembre 2017)";;;;;;;
Tunis;;1;"Stade d'athlétisme à Manzah";;;1989;
;;5;"Stade d'athléthisme Radès";;;2001;
Sousse;;9;Sousse;;;2002;
Gabés;;12;"Stade d'athlétisme à Gabès";;;2009;
