Year;Sismique 2 D;Sismique 3 D
1970;;
1971;;
1972;;
1973;;
1974;;
1975;;
1976;;
1977;;
1978;;
1979;;
1980;;
1981;;
1982;12700;
1983;7611;
1984;13911;
1985;6300;
1986;6707;
1987;2477;
1988;4347;
1989;10680;
1990;2548;
1991;6791;
1992;4292;
1993;6400;
1994;3937;
1995;3891;
1996;3334;386
1997;2910;1821
1998;2811;1364
1999;1033;294
2000;7572;58
2001;4522;1259
2002;641;174
2003;2739;81
2004;1138;2694
2005;2753;0
2006;1917;2871
2007;7798;1569
2008;1186;3508
2009;4274;732
2010;1014;2348
2011;2068;2791
2012;804;1493
2013;2579;2963
2014;640;1852
2015;0;0
2016;0;1035
2017;75;494.5
2018;405.26;614
2019;0;745
2020;0;0
2021;0;0
