Year;Nobmre de permis  attribués/an;Nombre Total permis
1970;;
1971;;
1972;;17
1973;;22
1974;;21
1975;;16
1976;;16
1977;;17
1978;;20
1979;;21
1980;;24
1981;3;27
1982;0;27
1983;4;29
1984;5;29
1985;2;27
1986;0;27
1987;3;23
1988;2;23
1989;4;25
1990;3;23
1991;6;30
1992;6;38
1993;10;38
1994;4;40
1995;2;36
1996;5;39
1997;2;39
1998;6;40
1999;3;39
2000;2;36
2001;2;36
2002;2;34
2003;5;37
2004;0;30
2005;12;41
2006;3;42
2007;7;50
2008;5;52
2009;3;54
2010;2;52
2011;6;51
2012;1;49
2013;1;44
2014;0;38
2015;0;31
2016;0;26
2017;2;23
2018;0;21
2019;6;25
2020;0;24
2021;0;19
