Date ;Exportations totales, en kt
1 / 2006;197,62
2 / 2006;239,69
3 / 2006;229,52
4 / 2006;134,33
5 / 2006;183,21
6 / 2006;184,87
7 / 2006;287,89
8 / 2006;231,2
9 / 2006;195,33
10 / 2006;271,41
11 / 2006;206,22
12 / 2006;324,25
1 / 2007;182,02
2 / 2007;329,89
3 / 2007;287,21
4 / 2007;300,42
5 / 2007;466,47
6 / 2007;350,38
7 / 2007;397,28
8 / 2007;460,29
9 / 2007;173,5
10 / 2007;400,04
11 / 2007;241,62
12 / 2007;269,67
1 / 2008;251,14
2 / 2008;295,11
3 / 2008;243,71
4 / 2008;292,38
5 / 2008;275,9
6 / 2008;322,37
7 / 2008;313,61
8 / 2008;157,35
9 / 2008;434,64
10 / 2008;327,44
11 / 2008;299,37
12 / 2008;324,96
1 / 2009;171,45
2 / 2009;359,27
3 / 2009;318,3
4 / 2009;230,31
5 / 2009;339,6
6 / 2009;266,84
7 / 2009;395,1
8 / 2009;319,97
9 / 2009;100,34
10 / 2009;347,59
11 / 2009;172,71
12 / 2009;284,04
1 / 2010;329,341114
2 / 2010;336,84645
3 / 2010;211,074905
4 / 2010;345,761796
5 / 2010;234,329258
6 / 2010;402,066142
7 / 2010;299,819543
8 / 2010;365,106861
9 / 2010;295,803698
10 / 2010;257,74234
11 / 2010;251,561336
12 / 2010;344,151585
1 / 2011;259,550012
2 / 2011;169,749548
3 / 2011;245,740997
4 / 2011;324,548194
5 / 2011;246,475421
6 / 2011;221,577861
7 / 2011;92,814382
8 / 2011;335,293191
9 / 2011;206,054209
10 / 2011;198,439431
11 / 2011;190,776597
12 / 2011;186,90264
1 / 2012;105,524808
2 / 2012;261,723289
3 / 2012;271,44562
4 / 2012;224,111347
5 / 2012;133,765816
6 / 2012;245,418504
7 / 2012;265,93009
8 / 2012;143,896037
9 / 2012;223,806778
10 / 2012;189,709887
11 / 2012;209,576852
12 / 2012;316,863403
1 / 2013;58,392261
2 / 2013;192,950888
3 / 2013;233,064169
4 / 2013;233,360487
5 / 2013;269,075276
6 / 2013;131,458041
7 / 2013;156,95818
8 / 2013;295,090255
9 / 2013;166,38673
10 / 2013;123,472791
11 / 2013;210,737998
12 / 2013;104,448827
1 / 2014;203,91618
2 / 2014;116,781366
3 / 2014;191,803871
4 / 2014;266,115955
5 / 2014;154,653569
6 / 2014;108,313
7 / 2014;277,80455
8 / 2014;119,291441
9 / 2014;111,948872
10 / 2014;194,279941
11 / 2014;201,046885
12 / 2014;255,167802
1 / 2015;25,067734
2 / 2015;142,160024
3 / 2015;134,660676
4 / 2015;201,728542
5 / 2015;146,600072
6 / 2015;125,325
7 / 2015;158,314982
8 / 2015;162,105522
9 / 2015;115,409395
10 / 2015;102,052195
11 / 2015;130,342327
12 / 2015;199,209256
1 / 2016;132,966196
2 / 2016;23,73
3 / 2016;240,215504
4 / 2016;167,400468
5 / 2016;47,178551
6 / 2016;228,640104
7 / 2016;79,430916
8 / 2016;134,103654
9 / 2016;176,93679
10 / 2016;57,216
11 / 2016;201,975944
12 / 2016;81,91
1 / 2017;121,423688
2 / 2017;134,982815
3 / 2017;242,224497
4 / 2017;101,607
5 / 2017;130,570851
6 / 2017;195,596336
7 / 2017;45,049273
8 / 2017;0
9 / 2017;134,043275
10 / 2017;36,006919
11 / 2017;218,424652
12 / 2017;100,726314
1 / 2018;287,918562
2 / 2018;109,256
3 / 2018;78,555447
4 / 2018;157,649062
5 / 2018;97,990329
6 / 2018;46,127
7 / 2018;77,498
8 / 2018;21,120139
9 / 2018;133,87824
10 / 2018;65,768
11 / 2018;81,826599
12 / 2018;76,858
1 / 2019;82,145135
2 / 2019;101,124689
3 / 2019;122,056171
4 / 2019;213,749504
5 / 2019;76,781
6 / 2019;207,174186
7 / 2019;149,930303
8 / 2019;139,228764
9 / 2019;35,815
10 / 2019;95,501248
11 / 2019;159,541
12 / 2019;79,834
1 / 2020;21.890047
2 / 2020;101.038759
3 / 2020;181.459255
4 / 2020;56.839
5 / 2020;117.651
6 / 2020;19.383756
7 / 2020;141.344591
8 / 2020;0
9 / 2020;59.0064359999999
10 / 2020;161.597484
11 / 2020;99.3051850000001
12 / 2020;121.939487
1 / 2021;154.445753
2 / 2021;48.655451
3 / 2021;170.377
4 / 2021;91.859651
5 / 2021;178.551907
6 / 2021;68.5229999999999
7 / 2021;137.362422
8 / 2021;101.550339
9 / 2021;57.6855410000001
10 / 2021;104.549511
11 / 2021;138.011593
12 / 2021;0
