Date;Exportation de Fuel. en kt;Exportation de Virgin Naphte. en kt;Exportation Total. en kt
1 / 2005;;;0
2 / 2005;;;0
3 / 2005;;;0
4 / 2005;;;0
5 / 2005;;;0
6 / 2005;;;0
7 / 2005;;;0
8 / 2005;;;0
9 / 2005;;;0
10 / 2005;;;0
11 / 2005;;;0
12 / 2005;;;0
1 / 2006;50.08;;50.08
2 / 2006;0;29.04;29.04
3 / 2006;65.11;0;65.11
4 / 2006;65.11;0;65.11
5 / 2006;55.07;29.81;84.88
6 / 2006;37.97;0;37.97
7 / 2006;40.15;33.28;73.43
8 / 2006;33.54;0;33.54
9 / 2006;35.03;0;35.03
10 / 2006;65.04;28.41;93.45
11 / 2006;0;0;0
12 / 2006;101.7;26.99;128.69
1 / 2007;33.71;;33.71
2 / 2007;35.01;;35.01
3 / 2007;65.33;24.55;89.88
4 / 2007;63.4;28.76;92.16
5 / 2007;30.02;0;30.02
6 / 2007;87.96;0;87.96
7 / 2007;31.05;28.69;59.74
8 / 2007;65.36;0;65.36
9 / 2007;63.53;25.1;88.63
10 / 2007;30.14;29.01;59.15
11 / 2007;29.25;28.91;58.16
12 / 2007;92.94;27.98;120.92
1 / 2008;60.19;;60.19
2 / 2008;72.76;59.68;132.44
3 / 2008;32.75;29.94;62.69
4 / 2008;33.06;0;33.06
5 / 2008;38.14;29.68;67.82
6 / 2008;96.54;0;96.54
7 / 2008;57.41;25.67;83.08
8 / 2008;66.9;0;66.9
9 / 2008;32.05;0;32.05
10 / 2008;66.23;29.44;95.67
11 / 2008;66.14;0;66.14
12 / 2008;0;0;0
1 / 2009;99.16;29.17;128.33
2 / 2009;65.84;19.86;85.7
3 / 2009;0;0;0
4 / 2009;66.09;24.13;90.22
5 / 2009;33.12;24.14;57.26
6 / 2009;10.97;0;10.97
7 / 2009;80.71;24.16;104.87
8 / 2009;69.88;24.19;94.07
9 / 2009;34.05;0;34.05
10 / 2009;66.47;24.19;90.66
11 / 2009;32.65;0;32.65
12 / 2009;67.52;23.52;91.04
1 / 2010;33.33;23.61;56.94
2 / 2010;32.49;0;32.49
3 / 2010;33.62;28.39;62.01
4 / 2010;0;0;0
5 / 2010;0;0;0
6 / 2010;0;0;0
7 / 2010;0;0;0
8 / 2010;0;0;0
9 / 2010;0;0;0
10 / 2010;0;0;0
11 / 2010;0;0;0
12 / 2010;0;0;0
1 / 2011;;;0
2 / 2011;;;0
3 / 2011;;;0
4 / 2011;;;0
5 / 2011;;;0
6 / 2011;;;0
7 / 2011;;;0
8 / 2011;;25.55;25.55
9 / 2011;69.58;26.12;95.7
10 / 2011;69.04;26.83;95.87
11 / 2011;0;0;0
12 / 2011;50.05;60.08;110.13
1 / 2012;77.76;;77.76
2 / 2012;35.03;64.97;100
3 / 2012;0;29.97;29.97
4 / 2012;67.95;30.4;98.35
5 / 2012;65.34;30;95.34
6 / 2012;0;22.72;22.72
7 / 2012;68.11;26.67;94.78
8 / 2012;70.29;13.74;84.03
9 / 2012;69.01;60.92;129.93
10 / 2012;30.07;28.03;58.1
11 / 2012;27.07;30;57.07
12 / 2012;62.72;30.25;92.97
1 / 2013;30;;30
2 / 2013;65.35;35.73;101.08
3 / 2013;0;36.51;36.51
4 / 2013;64.35;27.63;91.98
5 / 2013;65.54;33.08;98.62
6 / 2013;65.05;27.72;92.77
7 / 2013;64.26;28.97;93.23
8 / 2013;35.03;29;64.03
9 / 2013;35.03;28.75;63.78
10 / 2013;0;28.99;28.99
11 / 2013;65.66;26.98;92.64
12 / 2013;69.89;27.03;96.92
1 / 2014;32.35;42.06;74.41
2 / 2014;32.65;21.02;53.67
3 / 2014;32.76;41.17;73.93
4 / 2014;34.99;21.45;56.44
5 / 2014;35.03;19.04;54.07
6 / 2014;65.07;40.02;105.09
7 / 2014;0;20.96;20.96
8 / 2014;60.93;20.22;81.15
9 / 2014;60.95;20.99;81.94
10 / 2014;32.65;40.99;73.64
11 / 2014;31.35;19.04;50.39
12 / 2014;69.95;39.15;109.1
1 / 2015;63.24;42.98;106.22
2 / 2015;0;21.02;21.02
3 / 2015;30.21;21.04;51.25
4 / 2015;29.56;20.01;49.57
5 / 2015;64.23;41.85;106.08
6 / 2015;32.97;21.01;53.98
7 / 2015;31.3;41.98;73.28
8 / 2015;34.97;0;34.97
9 / 2015;0;0;0
10 / 2015;29.98;42.01;71.99
11 / 2015;34.97;20.76;55.73
12 / 2015;35;21.05;56.05
1 / 2016;34.99;22.51;57.5
2 / 2016;33.61;42.02;75.63
3 / 2016;31.95;21.01;52.96
4 / 2016;0;0;0
5 / 2016;35.07;20.95;56.02
6 / 2016;31.75;21;52.75
7 / 2016;65.33;42.01;107.34
8 / 2016;35.04;21.01;56.05
9 / 2016;31.92;21.03;52.95
10 / 2016;34.99;20.99;55.98
11 / 2016;32.5;0;32.5
12 / 2016;0;0;0
1 / 2017;34.99;21.02;56.01
2 / 2017;30.13;20.96;51.09
3 / 2017;30.12;0;30.12
4 / 2017;32.57;0;32.57
5 / 2017;0;21.05;21.05
6 / 2017;31.33;0;31.33
7 / 2017;33.1;21.03;54.13
8 / 2017;64.52;0;64.52
9 / 2017;33.01;22.99;56
10 / 2017;33.28;0;33.28
11 / 2017;0;0;0
12 / 2017;0;0;0
1 / 2018;;;0
2 / 2018;;;0
3 / 2018;;10.45;10.45
4 / 2018;28.53;20.49;49.02
5 / 2018;31;20.98;51.98
6 / 2018;31.55;20.48;52.03
7 / 2018;34.99;21;55.99
8 / 2018;34.99;38.84;73.83
9 / 2018;32.99;19.64;52.63
10 / 2018;33.69;21;54.69
11 / 2018;33.36;41.22;74.58
12 / 2018;34.95;21;55.95
1 / 2019;;;0
2 / 2019;;21;21
3 / 2019;;0;0
4 / 2019;;0;0
5 / 2019;;0;0
6 / 2019;;0;0
7 / 2019;;0;0
8 / 2019;;0;0
9 / 2019;;0;0
10 / 2019;;0;0
11 / 2019;;0;0
12 / 2019;35.06;18.1;53.16
1 / 2020;50.153;17.237;67.39
2 / 2020;20.03;36.372;56.402
3 / 2020;0;0.000999999999997669;0.000999999999997669
4 / 2020;71.337;42.61;113.947
5 / 2020;0;0;0
6 / 2020;52.298;36.314;88.612
7 / 2020;25.115;0;25.115
8 / 2020;52.491;18.885;71.376
9 / 2020;52.515;21.348;73.863
10 / 2020;26.222;18.459;44.681
11 / 2020;0;0;0
12 / 2020;0;0;0
1 / 2021;48.092;0;48.092
2 / 2021;25.347;20.027;45.374
3 / 2021;29.995;20.886;50.881
4 / 2021;60.16;20.133;80.293
5 / 2021;56.914;16.747;73.661
6 / 2021;25.073;21.007;46.08
7 / 2021;52.658;41.055;93.713
8 / 2021;29.947;19.998;49.945
9 / 2021;56.202;20.972;77.174
10 / 2021;29.91;47.537;77.447
11 / 2021;28.059;0;28.059
12 / 2021;57.866;20.986;78.852
janv-22;51.16;21.018;72.178
févr-22;15.045;0;15.045
mars-22;51.798;25.021;76.819
avr-22;21.335;25.098;46.433
mai-22;45.882;0;45.882
juin-22;25.062;31.151;56.213
juil-22;32.992;25.032;58.024
août-22;24.839;24.992;49.831
sept-22;49.986;24.99;74.976
