Designation ,Prix_pub
PACK COFFRET 8 P VIP,75000
PACK COFFRET 8 P,55000
PACK COFFRET 3 P,35000
PACK COFFRET 1 P,20000
CD-INTERACTIF ( PUZZLE),5000
PORTFOLIO MANUSCRIT KAIROUAN,250000
MUG CERAMIQUE PERSONALISE,95000
STATUE DEMETER,90000
STATUE KORE,90000
STATUE CANNEPHORE,90000
BAS RELIEF UNITE,15000
BAS RELIEF DOUBLE,22500
LAMPE CIRCULAIRE,9000
MASQUE GRIS OU ROSE,10500
MASQUE BACCHANTE,12000
MASQUE DE SOUSSE,10500
MASQUE RIRE,10500
MASQUE TRAGIQUE GREC,5250
MASQUE PUNIQUE EGYPTISANT,11250
MASQUE D'APHRODITE,15000
ESCULAPE ( PM ),22500
VASE SCENE DE CHASSE,15000
VASE TETE DE FEMME,15000
TETE DE JUPITER,7500
BUSTE D'APHRODITE,90000
