متابعة تنفيذ عروض شهر رمضان,,,,
الولاية,العرض,تاريخ العرض ,طبيعة العرض,المكان/ الفضاء 
منوبة,دورة تكوينيّة في كتابة السيناريو والمونتاج والتصوير السينمائي,22مارس2023,ورشات,دار الثقافة دوّار هيشر
منوبة,"عرض ومناقشة فيلم ""كتاب عجب"" لعبد العزيز الحفظاوي",22مارس2023,سينما,دار الثقافة البطّان
منوبة,لقاءات حواريّة مع الشباب والناشئة حول الترغيب في المطالعة,22مارس2023,حوارات ثقافية,المكتبة العموميّة بوادي الليل
منوبة,"عرض ومناقشة فيلم ""نصف روح"" لمروان الطرابلسي",23مارس2023,سينما,دار الثقافة البطّان
منوبة,دورة تكوينيّة في كتابة السيناريو والمونتاج والتصوير السينمائي,23مارس2023,ورشات,دار الثقافة دوّار هيشر
منوبة,إحداث موقع إلكتروني تحت عنوان كان يا ماكان للمطالعة ,23مارس2023,ورشات,المكتبة الجهويّة بمنّوبة
منوبة,دورة تكوينيّة في كتابة السيناريو والمونتاج والتصوير السينمائي,24مارس2023,ورشات,دار الثقافة دوّار هيشر
منوبة,"عرض ومناقشة فيلم ""بنزين"" لسارّة العبيدي ",24مارس2023,سينما,دار الثقافة البطّان
منوبة,"عرض ومناقشة فيلم ""سيّاح خارج الموسم"" لماهر الحسناوي ",25مارس2023,سينما,دار الثقافة البطّان
منوبة,"عرض ومناقشة فيلم ""عالبار"" لسامي التليلي  ",26مارس2023,سينما,دار الثقافة البطّان
منوبة,لقاءات حواريّة مع الشباب والناشئة حول الترغيب في المطالعة,29مارس2023,حوارات ثقافية,المكتبة العموميّة بوادي الليل
منوبة,إحداث موقع إلكتروني تحت عنوان كان يا ماكان للمطالعة ,30مارس2023,ورشات,المكتبة الجهويّة بمنّوبة
منوبة,تنشيط نادي المسرح بمكتبة الدندان,31مارس2023,ورشات,المكتبة العموميّة الدندان
منوبة,"ورشة ""نادي أبطال المطالعة "" ",01أفريل2023,ورشات,المكتبة العموميّة بطبربة
منوبة,ورشة الترغيب في اللغة الأنجليزيّة ,2أفريل2023,ورشات,المكتبة العموميّة بطبربة
منوبة,ورشات تطبيقيّة للتعريف بالموسيقى الصوفيّة ,5أفريل2023,ورشات,دار الثقافة دوّار هيشر
منوبة,لقاءات حواريّة مع الشباب والناشئة حول الترغيب في المطالعة,5أفريل2023,حوارات ثقافية,المكتبة العموميّة بوادي الليل
منوبة,لقاء حول مقاومة العنف في المؤسسات التربويّة لنادي التربية على المواطنة بمعهد ابن عرفة بالجديّدة ,6أفريل2023,حوارات ثقافية,دار الثقافة الجديّدة
منوبة,ورشات في الخطّ العربي وفنّ الزخرفة الإسلاميّة ,6أفريل2023,فنون الخط,دار الثقافة دوّار هيشر
منوبة,"عرض ""طربيّات"" للثنائي شكري عمر ومنير المهدي",6أفريل2023,موسيقى,دار الثقافة طبربة
منوبة,"عرض ""حضرة رجال البطّان""  بقيادة المنشد مهدي المديوني ",6أفريل2023,موسيقى,دار الثقافة البطّان
منوبة,توقيعات لإصدارات جديدة ,7أفريل2023,ندوات فكرية,المكتبة العموميّة الدندان
منوبة,ورشات في الخطّ العربي وفنّ الزخرفة الإسلاميّة ,7أفريل2023,فنون الخط,دار الثقافة دوّار هيشر
منوبة,نادي الفكر والإبداع ,7أفريل2023,ورشات,المكتبة العموميّة بطبربة
منوبة,"عرض ""للاّت النساء""  لناجحة جمال ",7أفريل2023,موسيقى,دار الثقافة البطّان
منوبة,عرض لمجموعة جيل جيلالة بطبربة لتوفيق بن عاشور,7أفريل2023,موسيقى,دار الثقافة طبربة
منوبة,ورشات في صناعة الفانوس ,8أفريل2023,ورشات,دار الثقافة دوّار هيشر
منوبة,"عرض ""حضرة بابا عزّوز بطبربة"" لرمزي الأشهب",8أفريل2023,موسيقى,دار الثقافة طبربة
منوبة,"عرض تنشيطي للأطفال ""عمي رضوان""  ",8أفريل2023,عروض للأطفال,دار الثقافة البطّان
منوبة,ورشات في صناعة الفانوس ,9أفريل2023,ورشات,دار الثقافة دوّار هيشر
منوبة,"عرض موسيقي ""المحفل""  لمعز الطرودي  ",9 أفريل2023,موسيقى,دار الثقافة البطّان
منوبة,عرض وان مان شو Mr Propre لوليد الزين,9أفريل2023,مسرح,دار الثقافة طبربة
