Bibliothèques,Livres arabes,Livres étrangers 
Bibliothèque régionale Sousse,15339,10078
Bibliothèque public sahloul,9092,3000
Bibliothèque public k kbira,8296,4196
Bibliothèque public k kbira (enf),0,0
Bibliothèque public akouda ,9902,3882
Bibliothèque public hergla,4618,2058
Bibliothèque public sidi bou ali ,7253,1560
Bibliothèque public nfidha,4935,867
Bibliothèque public kondar,4085,743
Bibliothèque public bouficha ,7251,2268
Bibliothèque public zaouiet sousse ,5793,1271
Bibliothèque public ksibet sousse ,6069,593
Bibliothèque public zouhour ,0,0
Bibliothèque public msaken ,23153,9695
Bibliothèque public massadine,4576,1150
Bibliothèque public k sghira ,12709,4350
Bibliothèque public cité matar ,4428,874
Bibliothèque public hadrumet,0,0
Bibliothèque public hamam sousse ,0,0
Bibliothèque public nfidha (enf) ,0,0
Bib pub msaken mahata (ouvert en 2024),0,0
Bib pub knayes (ouvert en 2024),0,0
