maison_culture_a ,maison _culture_f,adresse_a,adresse_f,n_tel,Lattitude,Longitude
المركب الثقافي نيابوليس ,Centre culturelle Neapolis,شارع محمد الخامس 8000 نابل ,Avenue Mohamed V 8000 Nabeul,70.634.089,36٫44299,10٫73033
دار الثقافة نابل ,Maison de culture Nabeul,شارع الهادي شاكر 8000 نابل ,Avenue Hedi Chaker 8000 Nabeul,72.286.817,36٫45651,10٫73753
دار الثقافة قربة ,Maison de culture Korba ,شارع الحبيب بورقيبة8070  قربة ,Avenue Habib Bourguiba 8070 Korba,70.634.096,36٫57933,10٫86207
دار الثقافة تازركة ,Maison de culture Tazarka ,شارع الحبيب بورقيبة 8024 تازركة ,Avenue Habib Bourguiba 8024 Tazarka ,70.634.084,36٫54887,10٫83407
دار الثقافة الميدة ,Maison de culture Elmida ,شارع الامام سحنون 8044 الميدة ,Avenue Limem Souhnoun 8044 El Mida ,70.634.076,36٫72827,10٫85165
دار الثقافة منزل تميم ,Maison de culture Menzel temime ,ساحة يوسف التميمي 8080 منزل تميم ,Place Youssef Tmimi 8080 Menzel Temim ,70.634.097,36٫77207,11٫00742
دار الثقافة قليبية ,Maison de culture Kelibia ,نهج حمادي الغربي 8090 قليبية ,Rue Hamadi El Garbi 8090 kelibia ,70.634.081,36٫84659,11٫09127
دار الثقافة الهوارية ,Maison de culture Haouaria ,نهج ابن سينا8045 الهوارية,RUE Ibn Sina 8045 Haouaria ,70.634.090,37٫04806,11٫01302
دار الثقافة تاكلسة ,Maison de culture Takelsa,بئر مروة 8031 تاكلسة ,Bier Mroua 8031 Takelsa ,70.634.086,36٫79294,10٫62819
دار الثقافة سليمان ,Maison de culture Soliman,شارع الجمهورية 8020 سليمان ,Avenue de La Republique 8020 Soliman  ,70.253.475,36٫69421,10٫48679
دار الثقافة قرمبالية ,Maison de culture  Grombalia ,شارع السلم 8030 قرمبالية ,Avenue de la paix 8030 Grombalia ,70.634.091,36٫59544,10٫50059
دار الثقافة بوعرقوب ,Maison de culture Bou Argoub,نهج أوروبا الحي الإداري  8040 بوعرقوب ,Rue Europe cite administrative 8040 Bou Argoub,70.253.057,36٫53446,10٫55182
