Non_de_festival_ete_sousse,Categories,Espace ,Lattitude,Longitude
مهرجان سوسة الدولي  الدورة 59,دولي,مسرح الهواء الطلق بسيدي الظاهر والمتحف الأثري بسوسة,35.8209587,10.595799
مهرجان بوفيشة الصيفي الدورة 24,وطني,روضة البلديّة - المكتبة العموميّة بوفيشة - منطقة ياسمين الحمامات,36.2866931,10.461400
مهرجان القنطاوي بحمام سوسة الدورة 34,وطني,مرسى القنطاوي والملعب البلدي بحمام سوسة,35.8925018,10.597650
مهرجان القلعة مدينة المسرح باللقعة الصغرى الدورة 2,وطني,دار الثقافة القلعة الصغرى,35.8242918,10.562946
تظاهرة هرقلة تتنفس فن الدورة 4,وطني,فضاء الهيشريّة ومسرح الهواء الطلق بهرقلة,35.8283991,10.583035
مهرجان مرايا الفنون بالقلعة الكبرى الدورة 2,وطني,دار الثقافة القلعة الكبرى,35.871562,10.533985
ليالي متحف سوسة الدورة 6,وطني,المتحف الأثري بسوسة,35.8219345,10.633215
استعراض أوسو الدورة 58,دولي,شارع الحبيب بورقيبة سوسة وساحة المدن المتوأمة ومرسى القنطاوي,35.8542512,10.541136
مصيف الكتاب الدورة 19,محلي,شاطئ بوجعفر ,35.8371504,10.63441
مهرجان سدي الهاني الدورة 2,وطني,دار الشباب سيدي الهاني,35.740991,10.402437
مهرجان سيدي عبد الحميد الدورة 2,ومحلي,معتمدية سيدي عبد الحميد,35.8316429,10.439288
ملتقى هرقلة السينمائي الدورة 12,دولي,دار الثقافة هرقلة,36.0283985,10.505388
سينما بالمتحف الدورة 3,دولي,المتحف الأثري بسوسة,35.8219345,10.633215
المهرجان الوطني لفن التقليد بالقلعة الكبرى الدورة 2,وطني,مسرح كورتينا - دار الثقافة القلعة الكبرى,35.8901496,10.531060
Utopies Visuelles ,وطني,رواق البيرو- معالم أثريّة - ساحات عموميّة,35.8261354,10.634237
مهرجان سوسة الدولي الدورة 60,دولي,مسرح الهواء الطلق بسيدي الظاهر والمتحف الأثري بسوسة,35.8209587,10.595799
استعراض أوسو الدورة 59,دولي,شارع الحبيب بورقيبة سوسة - ساحة المدن المتوأمة - مرسى القنطاوي,35.8542512,10.541136
المهرجان الصيفي بالنفيضة,وطني,مدرسة الهادي شاكر بالنفيضة,36.1346597,10.380487
الأيام السينمائيّة voyage courte الدورة 1,محلي,فضاء تيزيري 13- المركز الثقافي بسوسة,35.8234645,10.634754
مهرجان مساكن الصيفي,وطني,مسرح الهواء الطلق بدار الثقافة مساكن,35.7332222,10.574124
هرقلة تتنفس فن الدورة 5,وطني,فضاء الهيشريّة - مسرح الهواء الطلق بهرقلة,35.8283991,10.583035
مهرجان القنطاوي الدورة 35,وطني,مرسى القنطاوي - الملعب البلدي بحمام سوسة,35.890064,10.570292
مهرجان بوفيشة الصيفي الدورة 25,وطني,روضة البلديّة - المكتبة العموميّة بوفيشة - منطقة ياسمين الحمامات,36.2866931,10.461400
المهرجان الوطني للتقليد الدورة 3,وطني,مسرح كورتينا - دار الثقافة القلعة الكبرى,35.8901496,10.531060
"ملتقى هرقلة السينمائي الدورة 13 ""ذاكرة هرقلة السينمائيّة""",دولي,دار الثقافة هرقلة,36.0283985,10.5053884
مهرجان باب البحر الدورة 4,دولي,قصر الرباط - شاطئ بوجعفر بسوسة,35.8276753,10.636606
مهرجان البحر الأبيض المتوسط للمسرح,دولي,الهيشريّة بهرقلة - دار الثافة حمام سوسة,35.8283991,10.583035
أيام سينما الشاطئ بوجعفر,وطني,شاطئ بوجعفر سوسة,35.8371504,10.63441
مهرجان البحر بشط مريم,محلي,شاطئ بشط مريم سوسة,35.9359621,10.548492
كرنفال تونس,وطني,ساحة المدن المتوأمة ,35.8340866,10.637466
مصيف الكتاب بحمام سوسة,محلي,شاطئ المنشية بحمام سوسة - مرسى القنطاوي,35.8744609,10.570504
مصيف الكتاب بسوسة الدورة 20 ,محلي,فضاء سيدي بو جعفر وساحة الفنون,35.8359306,10.629377
مصيف الكتاب بهرقلة الدورة 1,محلي,شاطئ العين بهرقلة,36.0275136,10.502500
مصيف الكتاب ببوفيشة,محلي,شاطئ السلوم,36.2419021,10.220654
ليالي متحف سوسة,وطني,المتحف الأثري بسوسة,35.8219345,10.633215
سينما بالمتحف الدورة 4,دولي,المتحف الأثري بسوسة,35.8219345,10.633215
الأيام الترويجية للموقع الأثري بسيدي خليفة,وطني,الموقع الأثري بسيدي خليفة,36.2482038,10.408388
مهرجان القنطاوي  ,وطني,مرسى القنطاوي والملعب البلدي بحمام سوسة,35.8925018,10.597650
مهرجان سوسة الدولي الدورة 61,دولي,مسرح الهواء الطلق بسيدي الظاهر والمتحف الأثري بسوسة,35.8209587,10.595799
استعراض أوسو الدّورة 60,دولي,شارع الحبيب بورقيبة سوسة وساحة المدن المتوأمة ومرسى القنطاوي,35.8542512,10.541136
مهرجان سيدي سعيد بومنديل بهرقلة ,وطني,مسرح الهواء الطلق بهرقلة,36.0275136,10.502500
أيام سينما الشاطئ بوجعفر,وطني,شاطئ بوجعفر سوسة,35.8371504,10.634417
مهرجان مساكن الصيفي,وطني,مسرح الهواء الطلق بمساكن,35.7332222,10.574124
مهرجان المسعدين الصيفي ,وطني,المدرسة الإبتدائيّة بالمسعدين,35.7607518,10.59474
Utopies Visuelles ,وطني,رواق البيرو والمتحف الأثري وساحات عموميّة,35.8261354,10.634237
مصيف الكتاب بحمام سوسة ,محلي,شاطئ المنشية بحمام سوسة - مرسى القنطاوي,35.8744609,10.570504
مصيف الكتاب ببسوسة,محلي,فضاء سيدي بو جعفر وساحة الفنون,35.8359306,10.629377
مصيف الكتاب بهرقلة,محلي,شاطئ العين بهرقلة,36.0275136,10.502500
مهرجان بوفيشة الصيفي ,وطني,روضة البلديّة - المكتبة العموميّة بوفيشة - منطقة ياسمين الحمامات,36.2866931,10.461400
هرقلة تتنفس فن الدورة 6,وطني,فضاء الهيشريّة  ومسرح الهواء الطلق بهرقلة,36.0275136,10.502500
الأيام ثقافية بحي الزهور ,محلي,منتزه الريحان بحي الزهور,35.8313653,10.068189
مهرجان مرايا الفنون بالقلعة الكبرى ,وطني,دار الثقافة القلعة الكبرى,35.871562,10.533985
مهرجان باب البحر ,دولي,قصر الرباط - شاطئ بوجعفر سوسة,35.8276753,10.636606
ملتقى هرقلة السينمائ الدورة 4 ,دولي,دار الثقافة هرقلة,36.0283985,10.505388
سينما بالمتحف بسوسة,دولي,المتحف الأثري بسوسة,35.8219345,10.633215
مهرجان النفيضة الصيفي,وطني,مدرسة الهادي شاكر بالنفيضة,36.1346597,10.380487
مهرجان منزل المحطة,محلي,قرية منزل المحطّة بسيدي بوعلي,36.0143937,10.369407
ليالي بوجعفر بسوسة,محلي,شاطئ بو جعفر سوسة,35.8371504,10.634417
ليالي متحف سوسة,وطني,المتحف الأثري بسوسة,35.8219345,10.633215
ليالي متحف سوسة,وطني,المتحف الأثري بسوسة,35.8219345,10.633215
Soirées Cinématographiques au musée de Sousse,دولي,المتحف الأثري بسوسة,35.8219345,10.633215
عرايس البحر,وطني,ساحة المدن المتوأمة ,35.8340866,10.637466
بصمات راقصة,وطني,المركز الثقافي محمد معروف بسوسة,35.8284034,10.634448
مهرجان سوسة الدولي,دولي,مسرح الهواء الطلق بسيد الظاهر والمتحف الأثري بسوسة,35.8223622,10.619426
مصيف الكتاب بسوسة وأيام الفداوي,وطني,شاطئ بو جعفر - مسلك المدينة العتيقة,35.8371504,10.634417
مصيف الكتاب بهرقلة,محلي,شاطئ هرقلة,36.0212579,10.487239
مصيف الكتاب بالقلعة الصغرى,محلي,دار الثقافة القلعة الصغرى,35.8242918,10.562946
مرايا الفنون,وطني,دار الثقافة القلعة الكبرى,35.871562,10.533985
مصيف الكتاب بالقلعة الكبرى,محلي,دار الثقافة القلعة الكبرى,35.871562,10.533985
مهرجان النفيضة الصيفي,وطني,مدرسة الهادي شاكر بالنفيضة,36.1346597,10.380487
مهرجان بوفيشة الصيفي,وطني,روضة البلديّة - المكتبة العموميّة بوفيشة - منطقة ياسمين الحمامات,36.2866931,10.461400
مهرجان سيدي خليفة,وطني,قرية بوفيشة الساحلية,36.298723,10.452718
circuit de la vie,وطني,دار الجمعيات نهج المناضل عمر بن عمر هرقلة,36.0275136,10.502500
سينما المتحف بسوسة,دولي,المتحف الأثري بسوسة,35.8219345,10.633215
