Non_de_festival_ete_2024,Categories,Espace ,Latitude,Longitude
ليالي متحف سوسة,وطني,المتحف الأثري بسوسة,35.8219345,10.633215
عرايس البحر,وطني,ساحة المدن المتوأمة ,35.8340866,10.637466
بصمات راقصة,وطني,المركز الثقافي محمد معروف بسوسة,35.8284034,10.634448
مهرجان سوسة الدولي,دولي,مسرح الهواء الطلق بسيد الظاهر والمتحف الأثري بسوسة,35.8223622,10.619426
مصيف الكتاب بسوسة ,وطني,شاطئ بو جعفر - مسلك المدينة العتيقة,35.8371504,10.634417
مرايا الفنون,وطني,دار الثقافة القلعة الكبرى,35.8715620,10.533985
مهرجان النفيضة الصيفي,وطني,مدرسة الهادي شاكر بالنفيضة,36.1346597,10.380487
مهرجان بوفيشة الصيفي,وطني,روضة البلديّة - المكتبة العموميّة بوفيشة - منطقة ياسمين الحمامات,36.2866931,10.461400
استعراض أوسو,وطني,شارع الحبيب بورقيبة سوسة -ساحة المدن المتوأمة-مرسى القنطاوي,35.8340866,10.637466
المهرجان الدولي للفيديوهات النوعيّة,دولي,ساحة المدن المتوأمة ,35.8340866,10.637466
ليالي أكودة,محلي,مسرح الهواء الطلق بدار الثقافة أكودة,35.8660759,10.5579526
مهرجان سيدي بومنديل بهرقلة,محلي,هرقلة بارك,36.025635,10.4868207
مهرجان سيدي بوفارس بقصيبة سوسة,محلي,فضاء دار العابد وفضاء ملكة بارك,35.7696452,10.6259105
مهرجان سيدي بوزعبية بزاوية سوسة,محلي,المدرسة الإعداديّة بالزاوية,35.7581807,10.5012953
مهرجان القنطاوي,وطني,الملعب البلدي بوعلي الحوار بحمام سوسة,35.8555309,10.5962605
مهرجان منزل المحطّة بسيدي بوعلي,محلي,المدرسة الإبتدائيّة منزل المحطّة بسيدي بوعلي,35.924208,10.3042614
الأيام الثقافيّة الصيفيّة بسيدي بوعلي,محلي,معهد سيدي بوعلي,35.9583482,10.4750542
ايقاعات فنيّة بالقلعة اصغرى,محلي,قاعة العروض بدار الثقافة القلعة الصغرى,35.8479578,10.5646256
