gov_id,gov_name_f,gov_name_a,bibliotheque_a,bibliotheque_f,adresse_a,adresse_f,Longitude,Latitude
11,Tunis,تونس,المكتبة العمومية باب السويقة,,بطحاء باب سويقة 1006 باب سويقة,,10.168785,36.805482
11,Tunis,تونس,المكتبة العمومية حي الزهور,,نهج العطرشية حي الزهورالأول 2056,,10.133162,36.797723
11,Tunis,تونس,المكتبة العمومية الثعالبي,,عدد 59 نهج الزاوية البكرية الثعالبي  1006 – تونس,,10.163982,36.807424
11,Tunis,تونس,المكتبة العمومية بالديوان,, نهج 3،الديوان 1006 – تونس,,10.167333,36.800585
11,Tunis,تونس,المكتبة العمومية الوردية,,1009 مكرر77 شارع بلفي  الوردية,,10.188183,36.775939
11,Tunis,تونس,المكتبة العمومية باردو,,نهج الوطن حي الضباط خزندار 2000,,10.120852,36.807202
11,Tunis,تونس,المكتبة العمومية قرطاج بيرسا,,شارع الاستقلال 2016 قرطاج,,10.320883,36.845935
11,Tunis,تونس,المكتبة العمومية الكرم الغربي,,شارع فرحات حشاد 2089,,10.305686,36.838606
11,Tunis,تونس,المكتبة العمومية الكرم الشرقي,,2015 نهج الطيب المهيري,,10.316962,36.833297
11,Tunis,تونس,المكتبة العمومية سيدي حسين السجومي,,سيدي حسين,,10.112345,36.766609
11,Tunis,تونس,المكتبة العمومية بدار الثقافة إبن زيدون,,طريق المستشفى العسكري دار الثقافة العمران 1005,,10.159798,36.815888
11,Tunis,تونس,المكتبة العمومية العمران,,نادي شعبة العمران 19 نهج العربي العبادي 1005,,10.168176,36.815395
11,Tunis,تونس,مكتبة العمومية حي الخضراء,,نهج آلان سافاري 1003,,10.193641,36.828267
11,Tunis,تونس,المكتبة العمومية نهج راضية الحداد,, نهج 71، الطاهر الحداد  1000 تونس,,10.181859,36.798497
11,Tunis,تونس,المكتبة العمومية القرجاني,, 1008 شارع 24 جواهر النهرو منفلوري ,,10.174135,36.783493
11,Tunis,تونس,المكتبة العمومية نهج فلسطين,, نهج 31، فلسطين 1002 – تونس,,10.18076,36.810615
11,Tunis,تونس,المكتبة العمومية الحلفاوين,, نهج 11، سوق الجديد الطابق الثاني 1006 – تونس,,10.167338,36.807220
11,Tunis,تونس,المكتبة العمومية قصر السعيد,,عمارات سبرولس قصر السعيد – الطابق السفلي 2009 قصر السعيد,,10.121061,36.822648
11,Tunis,تونس,المكتبة العمومية سيدي مدين,,     نهج 55 الحجامين 1008 تونس,,10.173342,36.790677
11,Tunis,تونس,المكتبة العمومية المرسى,,نهج الجامع العربي المرسى 2070,,10.331302,36.882187
11,Tunis,تونس,المكتبة العمومية سيدي بوسعيد,,نهج إبن الجزار سيدي بوسعيد 2026,,10.337470,36.870364
12,Ariana,أريانة,المكتبة العمومية أريانة,,مكرر شارع الطيب المهيري 2080,,10.199415,36.85924
12,Ariana,أريانة,المكتبة الجهويّة حي التضامن,,حي 18 جانفي شارع الطيب المهيري 2041,,10.106641,36.83214
12,Ariana,أريانة,المكتبة العمومية بقلعة الأندلس,,حي طارق بن زياد قلعة الأندلس 2082,,10.121471,37.06045
12,Ariana,أريانة,المكتبة العمومية بالمنيهلة,,المكتبة العمومية 31 نهج قرنبالية 2094,,10.11674,36.84593
12,Ariana,أريانة,المكتبة العمومية بسيدي ثابت,,شارع (المعتمدية) بسيدي ثابت 2020,,10.04034,36.9039
12,Ariana,أريانة,المكتبة العمومية دار الفضال,,نهج طريق المطار – دار الفضال سكرة,,10.242315,36.86855
13,Ben Arous,بن عروس,المكتبة الجهوية بن عروس,,شارع الهادي جنان بن عروس 2013,,10.219845,36.751739
13,Ben Arous,بن عروس,المكتبة العمومية ببومهل البساتين,,نهج علي باش حانبة بومهل 2097,,10.301995,36.723416
13,Ben Arous,بن عروس,المكتبة العمومية المروج الخامس,,نهج مكثر  المروج الخامس 2074,,10.213009,36.713018
13,Ben Arous,بن عروس,المكتبة العمومية بالمروج الأول,,شارع المهدية 2074,,10.210657,36.734868
13,Ben Arous,بن عروس,لمكتبة العمومية بالمدينة الجديدة,,شارع فيصل بن عبد العزيز  2063 ,,10.161830,36.701334
13,Ben Arous,بن عروس,المكتبة العمومية بفوشانة,,المكتبة العمومية قرب مركب البريد 2082,,10.251380,36.746516
13,Ben Arous,بن عروس,المكتبة العمومية بالزهراء,,نهج غرة جوان 1955 الزهراء 2034,,10.311664,36.748593
13,Ben Arous,بن عروس,مكتبة الأطفال بحمام الأنف ,,شارع الجمهورية حمام الأنف 2050 ,,10.336293,36.7266332
13,Ben Arous,بن عروس,المكتبة العمومية بحمام الأنف,,شارع الحدائق  حي الحبيب 2065,,10.333440,36.7309888
13,Ben Arous,بن عروس,المكتبة العمومية بمقرين,,نهج العروسي الحداد مقرين 2033,,10.238324,36.769175
13,Ben Arous,بن عروس,مكتبة الأطفال مقرين العليا,,ساحة 14 جانفي حي السوق 2033 ,,10.231719,36.769626
13,Ben Arous,بن عروس,المكتبة العمومية بالمحمدية,,المحمدية 1145,,10.156541,36.678702
13,Ben Arous,بن عروس,المكتبة العمومية بحمام الشط,,شارع البحر المتوسط  1164,,10.374580,36.7106449
13,Ben Arous,بن عروس,المكتبة العمومية بمرناق,,نهج حسين بوزيان 2050   ,,10.292621,36.679081
13,Ben Arous,بن عروس,المكتبة العمومية بمرناق بحي الرياض,,نهج محمد الطيب القصاب حي الرياض 2090,,10.295695,36.682587
13,Ben Arous,بن عروس,المكتبة العمومية برادس,,شارع الحبيب بورقيبة 2090  ,,10.269508,36.767491
14,Manubah,منوبة,المكتبة العمومية بدوار هيشر,,2040 شارع فرحات حشاد دار الشعب رادس,,10.079384,36.826862
14,Manubah,منوبة,المكتبة العمومية دوار هيشر 2,,نهج صالح بن يوسف- دوارهيشر 2086,,10.094821,36.825115
14,Manubah,منوبة,المكتبة الجهوية منوبة,,نهج صالح بن يوسف 2010,,10.091308,36.810393
14,Manubah,منوبة,المكتبة العمومية بالدندان,,نهج خير الدين باشا 2011,,10.108776,36.802039
14,Manubah,منوبة,المكتبة العمومية ببرج العامري,,نهج الهادي شاكر برج العامري 1142,,9.882380,36.716807
14,Manubah,منوبة,المكتبة العمومية بوادي الليل,,شارع 14 جانفي- وادي الليل 2021,,10.043383,36.838967
14,Manubah,منوبة,المكتبة العمومية بالبطان,,طريق برج العامري 1114,,9.845495,36.798967
