Date;Importations d’Essences. en kt;Importations de Pétrole lampant. en kt;Importations de Fuel. en kt;Importations de Gasoil. en kt;Importations de Jet. en kt;Importations de GPL. en kt;Importations de Petcoke. en kt;Importations de White spirit. en kt;Importations Total. en kt
1 / 2005;;;;;;;;;0
2 / 2005;;;;;;;;;0
3 / 2005;;;;;;;;;0
4 / 2005;;;;;;;;;0
5 / 2005;;;;;;;;;0
6 / 2005;;;;;;;;;0
7 / 2005;;;;;;;;;0
8 / 2005;;;;;;;;;0
9 / 2005;;;;;;;;;0
10 / 2005;;;;;;;;;0
11 / 2005;;;;;;;;;0
12 / 2005;217.41;;705.64;1207.21;222.64;351.07;;;2703.97
1 / 2006;;;26.5;165.93;4.62;45.57;;;242.62
2 / 2006;;;30.01;121.88;19.09;39.33;38;;248.31
3 / 2006;20.81;;53.64;79.71;12.56;27.2;59.24;;253.16
4 / 2006;;;73.65;113.27;14.12;34.64;0;;235.68
5 / 2006;;;59.27;113.55;24.93;33.32;68.72;;299.79
6 / 2006;;;25.4;29.59;35.25;-2.75;7.41;;94.9
7 / 2006;56.98;;75.84;131.57;28.38;20.66;0;;313.43
8 / 2006;;;133.18;100.96;29.53;19.92;26.73;;310.32
9 / 2006;27.26;;25.88;120.64;7.72;36.17;40.33;;258
10 / 2006;30.07;;51.26;109.83;29.88;26.09;0;;247.13
11 / 2006;;;56.87;112.18;12.05;31.31;0;;212.41
12 / 2006;26.66;;86.4;106.19;8.42;29.94;34.03;;291.64
1 / 2007;25.25;;81.83;105.31;8.97;35.17;;;256.53
2 / 2007;;;24.17;119.49;16.51;36.16;38.9;;235.23
3 / 2007;48.26;;72.39;129.42;10.6;19.8;0;;280.47
4 / 2007;;;54.47;93.84;10.61;34.65;35.23;;228.8
5 / 2007;;;57.81;95.07;25.36;29.51;6.17;;213.92
6 / 2007;23.79;;26.6;115.71;30.55;23.29;27;;246.94
7 / 2007;30.04;;125.45;58.46;21.9;17.81;34.38;;288.04
8 / 2007;29.9;;64.61;127.91;19.92;24.51;43.2;;310.05
9 / 2007;42.21;;35.16;123.98;32.21;32;40.77;;306.33
10 / 2007;11.02;;34.8;94.41;10.93;26.45;0;;177.61
11 / 2007;27.25;;90.05;97.74;22.13;32.2;33.11;;302.48
12 / 2007;;;122.7;94.71;10.99;48.27;71.28;;347.95
1 / 2008;49.93;;100.08;139.73;;35;;;324.74
2 / 2008;33.28;;30.98;116.55;17.3;36.22;73.79;;308.12
3 / 2008;29.66;;66.82;86.18;16.24;35.3;0;;234.2
4 / 2008;30.09;;0;98.51;18.42;34.04;0;;181.06
5 / 2008;;;56.53;55.32;3.74;18.86;41.08;;175.53
6 / 2008;25.05;;36.65;119.78;4.74;20.56;35.3;;242.08
7 / 2008;57.54;;24.79;144.55;61.24;19.13;75.11;;382.36
8 / 2008;;;80.18;119.56;55.68;18.83;39.18;;313.43
9 / 2008;29.92;;85.68;104.11;13.6;23.39;35.25;;291.95
10 / 2008;29.86;;55.04;105.24;22.45;32.3;0;;244.89
11 / 2008;;;48;87.19;6.37;19.48;67.06;;228.1
12 / 2008;28.29;;6.71;129.14;40.55;46.4;26.63;;277.72
1 / 2009;55.83;;84.99;54.15;7.43;23.84;6.6;;232.84
2 / 2009;;;82.14;99.61;1.99;;0;;183.74
3 / 2009;;;28.14;170.38;5.76;106.86;45.22;;356.36
4 / 2009;27.13;;31.65;47.75;10;18.13;0;;134.66
5 / 2009;28.32;;22.91;88.5;42.32;22.56;79.95;;284.56
6 / 2009;48.28;;48.02;67.71;17.34;24.02;44.05;;249.42
7 / 2009;;;63.42;144.75;28.38;23.71;0;;260.26
8 / 2009;28.32;;28.27;86.49;18.22;21.39;65.99;;248.68
9 / 2009;57.06;;0;123.82;26.75;20.71;35.31;;263.65
10 / 2009;;;50.01;63.9;18.98;35.8;49.28;;217.97
11 / 2009;28.33;;31.41;81.75;8;31.13;0;;180.62
12 / 2009;27.3;;28.22;152.01;7.93;30.75;79.63;;325.84
1 / 2010;26.99;;24.08;120.57;24.63;23.65;;;219.92
2 / 2010;27.62;;53.91;86.13;7.99;37.04;41.03;;253.72
3 / 2010;26.04;;48.61;124.98;20.69;39.55;50.21;;310.08
4 / 2010;28.33;;59.92;141.84;8.22;31.02;49.42;2.13;320.88
5 / 2010;84.98;;11.2;150.33;29.44;28.16;0;2.17;306.28
6 / 2010;;;40.92;159.12;26.71;24.23;98.76;2.16;351.9
7 / 2010;81.39;;26.16;92.13;7.48;18.75;0;0;225.91
8 / 2010;28.27;;26.24;239.18;37.34;19.4;49.51;0;399.94
9 / 2010;25.93;;31.39;159.76;36.8;26.77;0;1.05;281.7
10 / 2010;26.96;;25.29;126.54;30.12;29.93;95.77;2.04;336.65
11 / 2010;52.49;;0;144.77;20.08;33.98;0;0;251.32
12 / 2010;28.26;37.48;31.51;169.54;0;36.86;64.58;3.01;371.24
1 / 2011;56.75;;24.06;150.17;27.27;35.5;49.51;;343.26
2 / 2011;26.46;6.81;0;163.89;19.65;37.26;0;;254.07
3 / 2011;28.36;0;25.25;90.52;0.12;27.62;0;;171.87
4 / 2011;26.71;0;31.86;144.05;14.37;29.16;49.76;;295.91
5 / 2011;11.67;6.91;0;132.94;20.21;20.41;39.95;;232.09
6 / 2011;73.65;0;54.56;84.89;8.4;28.66;34.86;1.71;286.73
7 / 2011;56.62;0;25.71;179.41;60.63;18.77;59.86;0;401
8 / 2011;56.58;0;0;142.61;26.62;28.95;4.26;0;259.02
9 / 2011;52.42;0;26.37;69.66;18.77;20.18;-21.68;0;165.72
10 / 2011;24.95;0;24.93;67.32;32.15;19.83;34.3;0;203.48
11 / 2011;56.45;0;0;60.2;10.28;26.36;12.88;0;166.17
12 / 2011;56.53;0;26.03;104.16;0;44.68;107.67;0;339.07
1 / 2012;24.99;;27.76;105.55;18.56;36.7;53.63;;267.19
2 / 2012;28.31;;0;109.49;19.85;35.67;16.01;;209.33
3 / 2012;29.92;;53.54;71.56;0;32.68;14.43;;202.13
4 / 2012;55.73;;0;40.07;8.42;26.12;48.32;;178.66
5 / 2012;56.71;;26.23;70.5;40.87;24.65;48.01;;266.97
6 / 2012;28.39;;31.37;112.89;72.98;19.77;50.89;;316.29
7 / 2012;29.97;;26.14;88.21;26.69;23.25;26.42;;220.68
8 / 2012;58.25;;0;69.75;29.7;17.9;66.81;;242.41
9 / 2012;28.19;;23.84;117.42;28.45;21.92;28.05;;247.87
10 / 2012;56.42;;56.6;61.26;23.76;22.51;106.75;;327.3
11 / 2012;53.34;;0;86.09;8.14;19.89;25.45;;192.91
12 / 2012;38.49;;33.13;81.21;22.45;38.29;67.62;;281.19
1 / 2013;43.77;;26.29;88.64;9.22;27.83;25.42;;221.17
2 / 2013;-16;;26.09;108.28;11.56;36.7;4.6;;171.23
3 / 2013;71.22;;0;87.62;26.46;39.19;23.12;;247.61
4 / 2013;58.31;;24.34;62.51;26.67;26.15;125.34;;323.32
5 / 2013;28.27;;29.77;103.2;9.93;18.94;41.33;;231.44
6 / 2013;26.26;;28.53;93.32;33.88;22.18;26.85;;231.02
7 / 2013;58.38;;23.87;100.76;49.37;28.41;42.41;;303.2
