Date;Importations d’Essences, en kt;Importations de Pétrole lampant, en kt;Importations de Fuel, en kt;Importations de Gasoil, en kt;Importations de Jet, en kt;Importations de GPL, en kt;Importations de Petcoke, en kt;Importations de White spirit, en kt;Importations Total, en kt
2005;217,42;;705,64;1207,21;222,64;351,07;185,22;;2889,20
2006;162,00;;698,00;1305,00;227,00;341,40;267,00;;3000,40
2007;237,70;;789,99;1284,13;220,68;359,82;330,04;;3222,36
2008;313,63;;591,46;1305,87;219,79;339,40;393,40;0,06;3163,61
2009;300,56;;499,18;1180,82;193,10;334,83;406,03;0,06;2914,58
2010;437,26;37,48;379,23;1714,89;249,50;349,34;449,28;12,56;3629,54
2011;527,15;13,72;238,77;1389,82;238,47;337,38;371,37;1,71;3118,39
2012;488,71;;278,61;1014,00;299,87;319,35;552,39;;2952,93
2013;482,62;;241,30;1013,40;303,75;325,34;557,46;;2923,87
2014;534,72;;258,09;1150,89;257,97;342,07;820,09;;3363,83
2015;560,06;;568,45;1454,02;203,14;384,06;758,28;;3928,01
2016;516,35;;230,01;1504,75;224,68;363,40;869,01;;3708,20
2017;529,86;;222,45;1730,92;249,78;419,88;753,95;;3906,84
2018;649,81;;275,71;1674,67;284,10;442,68;652,41;2,30;3981,68
2019;663,56;;222,55;1914,06;302,40;495,00;705,37;2,25;4305,19
2020;663,35;;158,98;1431,02;91,42;472,38;630,99;;3479,48
2021;618,89;;187,73;1360,25;134,79;484,93;762,54;;3584,36
2022;610,52;0,00;169,91;1204,47;221,19;527,44;675,11;;3408,63
2023;658,177;0;134,759;1445,269;247,187;507,97;663,6646;0;3657,03
