Nom_Association,gov_name_a,gov_id,Subvention
الجمعيّة التونسيّة للنهوض بالنقد السيّنمائي,تونس,11,10000
الجامعة التونسيّة لنوادي السينما,تونس,11,9000
جمعيّة المخرجين السينمائيين التونسيين,تونس,11,13000
وداديّة خريجي المدرسة الوطنيّة للادارة ,تونس,11,5000
اتّحاد الكتّاب التونسيين,تونس,11,60000
الجمعيّة التونسيّة لفنون الخطّ,تونس,11,1500
الجمعيّة التونسيّة للجماليات والانشائيّة,تونس,11,1500
الجمعيّة الرياضيّة بوزارة الثقافة,تونس,11,10000
 جمعيّـة دار الموسيقي ,تونس,11,20000
الجمعيّة التونسيّة لصيانة المعالم والمتاحف تراث,تونس,11,5000
اتحاد الفنانين التونسيين,تونس,11,20000
جمعية المعهد الرشيدي للموسيقى التونسية,تونس,11,105000
جمعية الشارع فن,تونس,11,15000
الجامعة التونسيّة لنوادي السينما,تونس,11,20000
الرابطة التونسية للفنون التشكيلية,تونس,11,8000
تعاونية وزارة الثقافة,تونس,11,6000
جمعية المكان لفن الحاضر,تونس,11,3000
جمعية السينمائيين التونسيين المستقلين,تونس,11,6000
الرابطة العربية للفنون و الابداع,تونس,11,6000
مهرجان المدينة,تونس,11,30250
النادي الثقافي أبو القاسم الشابي,تونس,11,10000
الجمعية التونسية للتراث و البيئة,تونس,11,2000
جمعيّة تنمية اللغة العربية و حمايتها,تونس,11,3000
جمعية ابصار للثقافة و الترفيه,تونس,11,10000
الجمعيّة التونسيّة للنهوض بالنقد السيّنمائي,تونس,11,4000
مؤسسة أحمد التليلي للثقافة الديمقراطية,تونس,11,3000
جمعيّة فنون للتنشيط الثقافي والمسرحي,أريانة,12,2000
جمعيّة ناس الفنّ,أريانة,12,35000
جمعية مكتريس للفروسية و المحافظة على التراث,أريانة,12,3000
الجمعية التونسية للمحافظة على الألعاب  التراثية,أريانة,12,5000
جمعيّة المهرجان الصيفي والتّظاهرات الثقافيّة,بن عروس,13,3000
جمعيّة فرحة للفنون الركحيّة,بن عروس,13,3000
جمعيّة ثقافة وابداع ,بن عروس,13,2000
جمعيّة ابصار لثقافة وترفيه ذوي الاعاقة البصريّة,بن عروس,13,3000
جمعية بدر للموسيقى و الفن,بن عروس,13,2000
جمعيّة الفنّانات المغاربيات,منوبة,14,5000
جمعيّة محمد عبد العزيز العقربي للمسرح,منوبة,14,9000
جمعيّة احبّك يا وطني للتنمية الثقافيّة والاجتماعيّة,منوبة,14,2000
جمعيّة الابداع المسرحي,منوبة,14,2000
جمعيّة فسيفساء للموسيقى والفنون بنابل,نابل,15,4000
جمعيّة آرت اتيتود,نابل,15,10000
جمعية منتدى هرمايا بالهوارية,نابل,15,4000
الجامعة التونسية للسينمائيين الهواة,نابل,15,60000
جمعية التنشيط و المهرجانات بنابل,نابل,15,15000
جمعية مهرجان قربة الوطني لمسرح الهواة,نابل,15,20000
جمعية مهرجان نيابوليس الدولي,نابل,15,20000
جمعية منارة الأدب بقليبية,نابل,15,6000
جمعية مهرجان الساف بالهوارية,نابل,15,5000
جمعية مهرجان الخرجة بالزريبة,زغوان,16,2000
الجامعة التونسية للجامعة المفتوحة,بنزرت,17,3000
جمعية النهضة التمثيلية ببنزرت,بنزرت,17,7000
جمعية مهرجان بنزرت الدولي,بنزرت,17,85000
جمعية ماطريس لمهرجان مسرح الطفل,بنزرت,17,3000
الجمعية الوطنية للتنمية و السياحة الثقافية,بنزرت,17,2000
جمعيّة مسرح الامل الجديد بباجة,باجة,21,3000
جمعيّة مهرجان الربيع العربي للاداب والفنون,جندوبة,22,10000
جمعيّة اوتار,جندوبة,22,4000
الجمعيّة المغاربيّة للفكر والابداع,جندوبة,22,3000
الجمعيّة التنمويّة الثقافيّة مكرمة,جندوبة,22,1500
جمعية شباب و أفاق,جندوبة,22,5000
الجمعية المغاربية للفكر و الإبداع,جندوبة,22,6000
جمعية صيانة و انماء مدينة الكاف,الكاف,23,7000
جمعيّة رقش للثقافة والفن والتّصميم,سليانة,24,9000
جمعية الفروسية و الرماية بمكثر,سليانة,24,5000
الجمعية التونسية لألعاب الفروسية سيدي بورويس,سليانة,24,5000
