Nom_Association,gov_name_a,gov_id,Subvention,Subvention_spectacles_artistiques,Subvention_logistique
جمعية ابصار لثقافة وترفيه ذوي الاعاقة البصرية,تونس,11,25 000,,
الجمعية التونسية للدراسات حول ثقافة الشباب,تونس,11,25 000,,
جمعية دار الموسيقي,تونس,11,30 000,,
جمعية تونس للإبداع والسياحة الثقافية,تونس,11,12 000,,بالإضافة إلى 04 تذاكر سفر بالتنسيق مع إدارة التعاون الدولي.
جمعية الرابطة العربية للفنون والإبداع,تونس,11,8 000,,
تعاونية الشؤون الثقافية,تونس,11,337 000,,
الجامعة التونسية لنوادي السينما,تونس,11,70 000,,
الجامعة التونسية للسينمائيين الهواة بقليبية,تونس,11,170 000,,
جمعية الرشيدية,تونس,11,80 000,,
جمعية إرادة الاجيال,تونس,11,3 000,,
جمعية السينما الوثائقية,تونس,11,20 000,,
جمعية فنون للتنشيط الثقافي والمسرحي,أريانة,12,4 000,,
جمعية منتدى أدب الطفل,أريانة,12,10 000,,
جمعية الفن التشكيلي المعاصرarcot,أريانة,12,5 000,,
جمعية عبق للإبداع,بن عروس,13,5 000,,
جمعية التظاهرات الثقافية فوشانة,بن عروس,13,4 000,,
جمعية فرحة للفنون الركحية بن عروس,بن عروس,13,4 000,,
جمعية صوت مسرح الشمال,بن عروس,13,2 450,مع تكفل الإدارة العامة للكتاب بجوائز متمثلة في مجموعة كتب,
جمعية les solistes,بن عروس,13,10 000,,
جمعية أحبك يا وطني للثقافة والتنمية الإجتماعية,منوبة,14,5 000,,
جمعية أحباء المكتبة والكتاب,زغوان,16,10 000,بالإظافة إلى عرض مسرحي بالتنسيق مع إدارة الفنون الركحية,
جمعية أحباء المكتبات العمومية,زغوان,16,10 000,,
جمعية أحباء المكتبات العمومية,زغوان,16,10 000,,
الجمعية الثقافية سيدي البشير بجومين,بنزرت,17,4 000,,
جمعية النهوض بالإعلام منزل بورقيبة,بنزرت,17,10 000,,
جمعية مهرجان تستور الدولي,باجة,21,20 000,,
جمعية مهرجان الأجبان والنهوض بالتراث,باجة,21,5 000,بالإظافة إلى عرض موسيقي بقيمة 5000 دينار يقع تحديده مع إدارة الموسيقى والرقص,
تجمعية هواة المسرح طبرقة,جندوبة,22,7 000,,
جمعية مهرجان الربيع العربي للآداب والفنون بوسالم,جندوبة,22,45 000,بالإضافة إلى عرض مسرحي بالتنسيق مع إدارة الفنون الركحية إظافة إلى عروض موسيقية بقيمة 8000 دينار (وقت الجبال تغني وأجراس) ,7تذاكر سفر بالتنسيق مع إدارة التعاون الدولي
جمعية مكرمة التنموية الثقافية ببوسالم,جندوبة,22,5 000,,
جمعية حماية البيئة والتنمية المستدامة بغار الدماء,جندوبة,22,3 000,,
الجمعية التونسية للمياه,جندوبة,22,7 000,,
جمعية زامة لثقافات العالم ,سليانة,24,4 000,,
جمعية رقش للثقافة والفن,سليانة,24,10 000,,
جمعية المهرجان الصيفي سيدي بورويس,سليانة,24,25 000,,
الجمعية التونسية للألعاب الفروسية سيدي بورويس,سليانة,24,15 000,بالإظافة إلى عرض فني ملحمة الخضراء بالتنسيق مع إدارة الموسيقى والرقص,
جمعية سند لتعلم الفرنسية,سليانة,24,30 000,,
جمعية الأنس الموسيقية,سوسة,31,15 000,,
منتدى المعرفة,سوسة,31,8 160,,
جمعية الإتحاد الثقافي,سوسة,31,5 000,,
جمعية علوم وتراث القلعة الكبرى,سوسة,31,4 000,,
جمعية المبدعات العربيات,سوسة,31,10 000,,
جمعية فرنكوفونيات سوسة,سوسة,31,40 000,,
جمعية دروب القلعة الكبرى,سوسة,31,3 000,بالإضافة إلى عرض موسيقي بقيمة 10000دينار يقع تحديده   بالتنسيق مع إدارة الموسيقى والرقص,
المهرجان الصيفي بالنفيضة,سوسة,31,0,عرض موسيقي بقيمة 7000 دينار بالتنسيق مع إدارة الموسيقى,
جمعية مهرجان سوسة الدولي لفيلم الطفولة,سوسة,31,40 000,,
جمعية إشراق للثقافة والفنون,سوسة,31,25 000,,
جمعية مهرجان سيدي خليفة,سوسة,31,15 000,بالإظافة إلى عرض موسيقي بقيمة 5000 دينار يقع تحديده مع إدارة الموسيقى والرقص,
جمعية صيانة مدينة لمطة,المنستير,32,25 000,بالإضافة إلى عرض موسيقي بقيمة 10000دينار يقع تحديده   بالتنسيق مع إدارة الموسيقى والرقص.,
الجمعية المتوسطية للفنون التشكيلية المعاصرة,المنستير,32,8 000,,
جمعية مهرجان البنان,المنستير,32,5 000,,
جمعية نحن نحب الجم,المهدية,33,15 000,"بالإضافة إلى عرض موسيقي بقيمة 4000 دينار ""سهام بلخوجة"" بالتنسيق مع إدارة الموسيقى والرقص",
جمعية الصفا للتراث والفنون بالسواسي,المهدية,33,5 000,بالإظافة إلى عرض حضرة تونس الأعماق بالتنسيق مع إدارة الموسيقى والرقص,
جمعية الأصالة للسياحة الثقافية والتراث,المهدية,33,15 000,,
جمعية عرب العيون للثقافة والتنمية,المهدية,33,25 000,,
جمعية معرض صفاقس لكتاب الطفل,صفاقس,34,20 000,,بالإضافة إلى 10 تذاكر سفر بالتنسيق مع إدارة التعاون الدولي.
جمعة فوانيس للثقافة,صفاقس,34,3 000,,
جمعية مهرجان المحرس الدولي للفنون التشكيلية,صفاقس,34,60 000,,
جمعية مهرجان صفاقس الدولي للسينما المتوسطية,صفاقس,34,30 000,,
جمعية فنون الفرجة ببوحجلة,القيروان,41,20 000,,
جمعية مسرح الطموح بالشبيكة,القيروان,41,2 500,,
جمعية مهرجان الربيع بالقيروان,القيروان,41,60 000,إضافة إلى عرض موسيقي بقيمة 10000 دينار يقع تحديده بالتنسيق مع إدارة الموسيقى والرقص وعرض مسرحي juif لمركز الفنون الدرامية بالكاف بالتنسيق مع إدارة الفنون الركحية,
جمعية ستريت ارت,القصرين,42,10 000,,
جمعية سنا سفيطلة للتنمية الثقافية والإجتماعية,القصرين,42,8 000,بالإضافة إلى عرض موسيقي بقيمة 7000دينار يقع تحديده   بالتنسيق مع إدارة الموسيقى والرقص بالإضافة إلى عرض في إطار التبادل الثقافي  بالتنسيق مع إدارة التعاون الدولي.,
جمعية فنون بلا حدود ,القصرين,42,12 000,,
جمعية ربيع سبيطلة,القصرين,42,20 000,عرض موسيقي بالتنسيق مع إدارة الوسيقى والرقص ,حافلة صغيرة
جمعية البعد السابع للثقافة والمواطنة,القصرين,42,15 000,,
جمعية خيمة علي بن غذاهم للشعر العربي,القصرين,42,30 000,,
جمعية المهرجان الدولي للجواد العربي بالمكناسي,سيدي بوزيد,43,20 000,,
جمعية إبداعات ومواهب سيدي خليف ,سيدي بوزيد,43,5 000,,
جمعية مهرجان المدينة ,سيدي بوزيد,43,20 000,,
جمعية الطموح سيدي بوزيد,سيدي بوزيد,43,2 500,,
جمعية مهرجان سيدي علي بن عون,سيدي بوزيد,43,70 000,بالاضافة إلى عرض دولي بالتنسيق مع إدارة التعاون الدولي وعرض موسيقي تراثي في حدود 5000 دينار مع إدارة الموسيقى والرقص,
جمعية فنون للثقافة وإحياء التراث,سيدي بوزيد,43,6 000,,
جمعية أمل للثقافة والترفيه,سيدي بوزيد,43,0,اقرت اللجنة اسناد عرضين موسيقيين في حدود 5000 دينار يقع تحديدهما بالتنسيق مع ادارة الموسيقى والرقص,
جمعية مهرجان الحامة الدولي,قابس,51,60 000,عرض موسيقي  بالتنسيق مع إدارة الموسيقى والرقص بالإضافة إلى عرض دولي  إضافة إلى عرض مسرحي بالتنسيق مع إدارة الفنون الركحية.,و09 تذاكر سفر بالتنسيق مع إدارة التعاون الدولي بالإضافة إلى حافلة كبيرة الحجم
جمعية النهوض الثقافي وإحياء التراث مطماطة,قابس,51,15 000,الإضافة إلى عرضين موسيقيين بقيمة 10000دينار يقع تحديدهما بالتنسيق مع إدارة الموسيقى والرقص,
جمعية مهرجان العين الوطني للتنمية والثقافة المطوية,قابس,51,15 000,,
جمعبة الإرادة,قابس,51,10 000,,
جمعية العيون للتضامن والتنمية بعيون الزركين,قابس,51,7 000,,
جمعية مرقوم قابس,قابس,51,12 000,,
جمعية إبداع قابس,قابس,51,10 000,إضافة إلى عرضين مسرحيين بالتنسيق مع إدارة الفنون الركحية,
