Type du matériel,Quantité
Violon 3/4,0
Violon 4/4,0
Violon 2/4,0
contre base,0
luth oriental 2/4,0
luth oriental 3/4,0
luth oriental 4/4,0
luth oriental 4/4 artisanal,0
Guitare classique,0
Accordéon 4/4,0
Accordéon 2/4,0
cithare,0
Piano,0
orgue,0
darbouka,0
Guitare basse +ampli,0
Douf,0
jeu Nai,0
Guitare solo + ampli,0
violoncelle 4/4,0
Guitare seche,0
Saxophone,0
archets violon 4/4,0
clarinette,0
Pupitre vocale,0
Jeu de corde pour cithare,0
Jeu de corde pour Guitare,0
Jeu de corde pour luth,0
Jeu de corde pour Violoncelle,0
Jeu de corde pour Violon,0
Trompette,0
Batterie,0
Violon Alto,0
Métronome,0
Tableau de musique,2
Chaise avec tablette écritoire,20
