Type du matériel,Quantité
Amplificateur,25
Ampli de puissance,0
Appareil photo numérique,7
Appareil photo simple plavoid,1
Appareil photo simple,2
Appareil multi-effet numérique,2
  Baffle retour de scène (retour de scène),0
  Baffle façade (enceinte passive),0
Boite Directe,3
Casque d’écoute,0
Câble micro multipares,0
Colleuse 33,0
Cisaille massicot,0
Camares (doune),1
Console 8 voix (Table du mixage 8 vois),0
Console 12 voix (Table du mixage 12 vois),0
Console 16 vois (Table du mixage 24 vois),0
  Camera numérique,0
DMX  software Controller,0
Destructeur document,1
DJI (douane),2
Détecteur de métaux portatif,7
Ecran de projecteur électrique,0
Ecran pour cinéma,19
FAX,0
 Gradateur de 12 circuits (Bloc de puissance 12/24),0
 Graveur CD TASCAM,0
 Jeu d'orgese 12 circuits 24ciru(Pupitre),0
Lampe MCD 250W,2
Lampe de bureau (lampadaire),0
  Lampe de rechange (vide projecteur),5
Lampe Halogène,10
Lecteur CD (douane),0
Lecteur BETACAM Sony,0
Lecteur DVD,0
Mini chaîne stéréo,9
Magnétophone DAT,2
Machine à spirale,1
Micro dynamique,0
Micro sans fil a Main,0
Machine à calcul,20
Minitour,8
Micro cravate,2
Machine a fumes,1
Micro de cygne de Ference,3
Machine a Bulle,0
Machine a neige,1
machine à laver,0
miroir d'inspection sous véhicule,0
projecteur pour éclairage 250w,2
Projecteur Déapo,1
Projecteur Vidéo D5110w-WNL,0
Plieuse à chaud,1
Projecteur PC 1000W,0
Projecteur PC 500W,0
Projecteur Cycle 1000w,8
Projecteur à découpe 500W,0
Projecteur à découpe 1000,0
Projecteur Stroboscope,3
Projecteur PAR 64 DTS,0
Pied Projecteur,0
Pied de haut parleur (pied d’enceint),0
Pied de micro,0
 Pied de table pour micro (Base de table),0
Prolongateur électrique,9
Rouleau gélatina,10
  Table du mixage 8vois Mobile) Console 4vois),5
  Téléviseur LCD SABA 40p,0
Téléviseur LED 43pFALCON,0
 Védio projecteur 3000 w+(4000w),3
Vidéo projecteur EH 7100,0
Vidéo projecteur 5000,0
Vidéo projecteur 9000,0
TV SAMART (Doune),1
Ecran Métallise 3D,0
Projecteur PAR 64 LED,0
Console 24/48 (zero 88 jester ml48),0
Machine a confettis,1
Table de mixage 32,0
Cable DMX XLR 3 de 20mt pour prj PAR 64 LED,0
CARTE SON PRO d'enregistrement Audio BOX USB,"
00"
Projecteur 2000W,0
Mini BAR AVXTAR,0
Projecteur Poursuite HM 1200w,0
Vidéo projecteur 7000,0
