stat;id sta
14-janv;1
A.Sghira;2
Aéroport Enfidha;3
Aéroport Tunis Carthage;4
Ain Ali;5
Ain Berda;6
Ain Bitar;7
Ain Dorwa;8
Ain Dorwa2;9
Ain Douar;10
Ain douar2;11
Ain Drahem;12
Ain Ghlel;13
Ain Kbira;14
Ain Mariem;15
Ain nsara;16
AIN SMARA;17
AIN SOULA;18
Akroute;19
Al demna;20
Al Fajja;21
Al ghirane;22
Al masara;23
Al methline;24
Al Sghira;25
Al talla;26
Ameden;27
Amila;28
Aouina;29
Aousja;30
Ariana;31
Arich;32
Arima;33
Arrêt Zarrouk;34
Atayet;35
Awena;36
Awena 2;37
B Salem;38
B.Ghar El Melh;39
Bab Saadoune;40
BACH HAMBA;41
Bain;42
Bain C.Ikbal;43
Bani Atta;44
BAOUALA;45
Bardgiz;46
Barraj;47
BATANE;48
Bateau;49
Batima;50
Bawela;51
Bazina;52
Bechateur;53
BEI AMEUR;54
BEJA;55
BEJAOUA;56
Bejou;57
Belle plage;58
Ben Hamed;59
Ben Saaden;60
Beni Aram;61
Beni Ata;62
BENI NAFA;63
Beni Oudhil;64
Beni Toun;65
Besbessia;66
Bir;67
Bir chalouf;68
Bir Mcherga;69
Bir mnia;70
Bizerte;71
Blaquette;72
BLATT;73
Bni Omar;74
Bni Ouf;75
Bni Yassli;76
Borj Ghames;77
Borj Golli;78
Borj Taleb;79
Borj Weli;80
Borj youssef;81
Bou Mkhila;82
Bouawej;83
Bouhdid;84
Boujrir;85
Boumkhila;86
C ouvrière;87
C.Bizerte;88
C.Chams;89
C.Chimi;90
C.Hached;91
C.M.Abderrahmen;92
C.Remel;93
Caf Abad;94
Café Bouhaira;95
Café Morjen;96
Cap Blatt;97
Cap Sirat;98
Cap Zebib;99
Cariche;100
Carrefour les grottes;101
Caserne;102
Chaara;103
Chaouat;104
Charguia;105
Chikh Driss;106
Chnena;107
Chorfech;108
Chwigui;109
Cimitière;110
Cite Abbess;111
Cité El Jala;112
Cité Hena;113
Cité Nakhla;114
Cité Ouali;115
Citroen;116
Croisement Bjawa;117
Croisement Bni Ouf;118
Croisement Bou Hdid;119
croisement Dkhila;120
Croisement Ghar el melh;121
Croisement Ghirane;122
Croisement jdaida;123
Croisement Nakhla;124
Croisement Raf-Raf;125
Croisement Tunis;126
DAR AMMAR;127
Dar weli;128
Derdara;129
Dhar Ayed;130
Dhwewda;131
Disponsaire;132
Dkhila;133
Douahria;134
Dridia;135
E Chouhada;136
E. Ain Mariem;137
E. Dkhila;138
E.B.Meslem;139
E.C.Ikbal;140
E.C.Ouvrière;141
E.Ghiren;142
E.MATEUR;143
E.Nakhla;144
Ecole Corniche;145
Ecole Nadhour;146
Ein N\'saara;147
El Alia;148
El Azib;149
El fahes;150
El Fath;151
El Garia;152
El Gasr Lahmer;153
El Gwila;154
El Hedhrmine;155
El Henia;156
EL Kahla;157
El kantra;158
El Kef;159
El khiyem;160
El khorda;161
El maasra;162
El Nakhla;163
El Saida;164
El sbikha;165
El Wzina;166
Emb Sid Nsir;167
Emb. Al talla;168
Emb. Sidi Nsir;169
Emb.Bejaoua;170
EMB.DHKILA;171
Emb.Ghar el melh;172
Emb.TUNIS;173
Ennakhla;174
Entrée Ine Mariem;175
Esaraya;176
F. Hached;177
Fajja;178
Farhat Hached;179
Faroua;180
Fejja;181
Ferdouine;182
Fleur;183
Friguouchi;184
Fritissa;185
G Zarzouna;186
Garde Nationale;187
Gare de tinja;188
Gare Zarzouna;189
Garia;190
Garroudi2;191
Ghar el Melh;192
Ghar Ouenkel;193
Ghousmia;194
Ghrewcha;195
Ghzela;196
Gloulou;197
GORNATA;198
Guarraoudi;199
Guengla;200
Guetma;201
Guitania;202
Guouesmia;203
H.Younes;204
Hached;205
Haddada;206
Haded;207
Hajra;208
Hamem;209
Hamrounia;210
HATERMINE;211
Hbal Smaa;212
Hetermine;213
Hkara;214
Hlaybi;215
Hmeri;216
Hopital;217
Hotel Corniche;218
Hotel jalta;219
Hotel Nadhour;220
Hotel petit mousse;221
Hrayseya;222
Hreyzia;223
Hriza;224
Hsaynia;225
Hssen Ennouri;226
Hwemlia;227
Hwidh;228
Ibn Khaldoune;229
Immeuble;230
Immeubles;231
Jadara;232
Jafna;233
Jalta;234
Jamiet;235
Jaouaouda;236
Jardin;237
Jdaida;238
Jouaouda;239
Joumine;240
K.Agil;241
K.MEZOUAR;242
Kaf Abad;243
Kairouan;244
Kalat El Andalos;245
Kantrat Binzart;246
Karbech;247
Kchaycheya;248
Khadar;249
Kharrouba;250
Khatercha;251
Khedhayria;252
Khetmine;253
Khtercha;254
Klalia;255
Kousset el Bay;256
Kwena;257
L.Canal;258
La marine;259
La Pacherie;260
La Poste;261
Laariche;262
LARIMA;263
Le canal;264
Le Passage;265
Le Pont Noir;266
LE PORT;267
Louata;268
Lycée;269
Lycée Utique;270
M Seddik;271
M Tinja;272
M.Abderrahmen;273
M.Seddik;274
Maasra;275
Maatlia;276
MABTOUH;277
Maghraoua;278
Mahrouk;279
Maison Echij;280
Maison El Gaied;281
MALLEHA;282
Manar;283
Marche;284
Marnissa;285
Massra;286
Maternité;287
Mateur;288
Matlia;289
Mechetel binzarti;290
Menzel Bourguiba;291
Menzel Jemil;292
Mergusine;293
Methline;294
Metline;295
Michou;296
Mnihla;297
Monastir;298
Mosquai;299
Mosque;300
Mosqué;301
Mosque Siddik;302
Mosquée Corniche;303
Mouha;304
Mrifek;305
Mseken;306
Municipalite;307
Municipalité;308
N.Utique;309
Nadhour;310
Nakhla;311
Nefza;312
Nkhilet;313
Nouvelle Utique;314
Om Heni;315
Oued Elil;316
Oued Hamem;317
Oued Tin;318
Oued Zitoun;319
Ouled Ahmed;320
P. EL MELH;321
Parc;322
Passage;323
Passage Guengla;324
Pépinière binzarti;325
Place 7 Novembre;326
Port Ghar el Melh;327
Q.Drouje;328
Q.Rmel;329
R.Adib NAJEI;330
R.F.M.Jemil;331
Raf Raf;332
Ras Djebel;333
Ras El Aïn;334
Résidence Ain Mariem;335
Rimel;336
Rokb;337
Rouaha;338
S.Bou Said;339
S.Chlaghmia;340
S.Hassoun;341
S.O.Sport;342
S.Rhouma;343
Sabaa Aiwinet;344
Sabelet ben Ammar;345
Sabourain;346
Saida;347
Salah Bou Gabrine;348
Santra;349
Sebala;350
Sejnene;351
Sekma;352
Seniet Adallah;353
SEPT AOUINET;354
Sept ouinet;355
Seramique;356
Sidi Abdallah;357
Sidi Abdel Aziz;358
Sidi Abdelbasset;359
Sidi Ahmed;360
Sidi Ali chebab;361
SIDI AMEUR;362
Sidi Bou Ali;363
Sidi Bou Said;364
Sidi Bouchouicha;365
Sidi Boukhris;366
Sidi EL BECHIR;367
Sidi Machrek;368
Sidi Mansour;369
Sidi Nsir;370
Sidi Othmen;371
Sidi Salah;372
Sidi Salem;373
Sidi Yahia;374
Sidi Zid;375
Skhira;376
Smira;377
Sogman;378
SONED;379
Souidia;380
Sounine;381
Sousse;382
Stabil;383
Stade Nord;384
Staket;385
Station Ali Balhwan(bab el khadra);386
Swidia;387
Tabarka;388
Tahent;389
Tahouna;390
Talla;391
Tamra;392
Taref;393
Taxiphone;394
Tbarka;395
Tborba;396
Teskreya;397
Tinja;398
Torfaya;399
TOUAJNIA;400
Tunis;401
Tunis (sation Ali Balhewen);402
Tunis (station Ali Balhewen);403
Tunis (station Ali Balhwen);404
Tunis Bahriya;405
Tunis El Bahriya;406
U.Nouvelle;407
Usine Osman;408
Utique;409
Utique Jadida;410
Utique Lycée;411
Utique Nouvelle;412
Utique Ruine;413
vieux port;414
Zaarour;415
Zarrouk;416
Zeouia;417
ZERIBA;418
Zhana;419
Zkak Zouz;420
Zkikina;421
Zogbe;422
Zone Industrielle;423
Zone industrielle Menzel Jmile1;424
Zone Industrielle Utique;425
Zouaouine;426
