Date;PRODUCTION MENSUELLE DU PHOSPHATE (TONNE);;;;
31-01-2010;637 488;;;;
28-02-2010;623 418;;;;
31-03-2010;653 730;;;;
30/04/2010;589 219;;;;
31/05/2010;680 809;;;;
30/06/2010;703 238;;;;
31/07/2010;737 661;;;;
31/08/2010;721 197;;;;
30/09/2010;670 744;;;;
31/10/2010;733 629;;;;
30/11/2010;690 953;;;;
31/12/2010;706 450;;;;
31/01/2011;420 443;;;;
28/02/2011;33 097;;;;
31/03/2011;54 522;;;;
30/04/2011;208 720;;;;
31/05/2011;147 969;;;;
30/06/2011;166 080;;;;
31/07/2011;329 650;;;;
31/08/2011;274 944;;;;
30/09/2011;216 577;;;;
31/10/2011;366 283;;;;
30/11/2011;160 566;;;;
31/12/2011;100 513;;;;
31/01/2012;187 519;;;;
29/02/2012;270 945;;;;
31/03/2012;280 132;;;;
30/04/2012;253 552;;;;
31/05/2012;75 798;;;;
30/06/2012;299 003;;;;
31/07/2012;367 786;;;;
31/08/2012;382 587;;;;
30/09/2012;291 532;;;;
31/10/2012;138 306;;;;
30/11/2012;119 656;;;;
31/12/2012;95 453;;;;
31/01/2013;168 690;;;;
28/02/2013;47 908;;;;
31/03/2013;205 430;;;;
30/04/2013;248 479;;;;
31/05/2013;376 671;;;;
30/06/2013;306 930;;;;
31/07/2013;344 989;;;;
31/08/2013;354 790;;;;
30/09/2013;362 493;;;;
31/10/2013;334 266;;;;
30/11/2013;263 427;;;;
31/12/2013;269 449;;;;
31/01/2014;252 178;;;;
28/02/2014;335 704;;;;
31/03/2014;395 262;;;;
30/04/2014;371 130;;;;
31/05/2014;400 970;;;;
30/06/2014;331 281;;;;
31/07/2014;335 903;;;;
31/08/2014;363 169;;;;
30/09/2014;264 849;;;;
31/10/2014;268 491;;;;
30/11/2014;300 249;;;;
31/12/2014;164 783;;;;
31/01/2015;101 433;;;;
28/02/2015;202 449;;;;
31/03/2015;300 194;;;;
30/04/2015;53 777;;;;
31/05/2015;9 603;;;;
30/06/2015;273 262;;;;
31/07/2015;334 742;;;;
31/08/2015;373 201;;;;
30/09/2015;363 801;;;;
31/10/2015;411 528;;;;
30/11/2015;347 329;;;;
31/12/2015;456 992;;;;
31/01/2016;268 300;;;;
29/02/2016;253 589;;;;
31/03/2016;386 366;;;;
30/04/2016;290 085;;;;
31/05/2016;331 237;;;;
30/06/2016;301 027;;;;
31/07/2016;246 969;;;;
31/08/2016;243 956;;;;
30/09/2016;209 493;;;;
31/10/2016;307 761;;;;
30/11/2016;397 146;;;;
31/12/2016;427 684;;;;
31/01/2017;413 373;;;;
28/02/2017;340 005;;;;
31/03/2017;334 387;;;;
30/04/2017;355 189;;;;
31/05/2017;271 512;;;;
30/06/2017;328 096;;;;
31/07/2017;393 178;;;;
31/08/2017;385 600;;;;
30/09/2017;336 046;;;;
31/10/2017;247 543;;;;
30/11/2017;287 805;;;;
31/12/2017;256 449;;;;
31/01/2018;128 028;;;;
28/02/2018;5 047;;;;
31/03/2018;231 472;;;;
30/04/2018;317 566;;;;
31/05/2018;274 941;;;;
30/06/2018;258 082;;;;
31/07/2018;376 371;;;;
31/08/2018;343 220;;;;
30/09/2018;232 220;;;;
31/10/2018;268 485;;;;
30/11/2018;235 422;;;;
31/12/2018;131 744;;;;
31/01/2019;297 263;;;;
28/02/2019;313 404;;;;
31/03/2019;212 694;;;;
30/04/2019;304 595;;;;
31/05/2019;263 605;;;;
30/06/2019;306 146;;;;
31/07/2019;203 240;;;;
31/08/2019;275 181;;;;
30/09/2019;372 070;;;;
31/10/2019;430 847;;;;
30/11/2019;455 358;;;;
31/12/2019;443 928;;;;
31/01/2020;420 653;;;;
28/02/2020;384 663;;;;
31/03/2020;340 105;;;;
30/04/2020;375 939;;;;
31/05/2020;304 622;;;;
30/06/2020;140 782;;;;
31/07/2020;119 962;;;;
31/08/2020;290 942;;;;
30/09/2020;307 884;;;;
31/10/2020;211 020;;;;
30/11/2020;211 563;;;;
31/12/2020;35 876;;;;
31/01/2021;48 710;;;;
28/02/2021;107 155;;;;
31/03/2021;199 711;;;;
30/04/2021;257 659;;;;
31/05/2021;319 435;;;;
30/06/2021;355 548;;;;
31/07/2021;;;;;
31/08/2021;;;;;
30/09/2021;;;;;
31/10/2021;;;;;
30/11/2021;;;;;
31/12/2021;;;;;
;;;;;
