gov_name_f,gov_id,Etablissement,Nature,Programme,Cadre_d_activite,Nbr_de_manifestations,Nbr_activite,Sub_ministere_Directe,Sub_ministere_indirecte,Sub_commissariat_Directe,Sub_commissariat_indirecte,Sub__structures_directe,Sub__structures_indirecte,sub_autres_parties_publiques,sub_autres_parties_prives,Nbr_d_abonnes,Capacite_operationnelle_directe,Capacite_operationnelle_indirecte
Tunis,11,المندوبية,ادارة او مؤسسة تحت اشراف الوزارة,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,2,80,80000,0,0,0,0,0,0,0,400,4,0
Tunis,11,المندوبية ,ادارة او مؤسسة تحت اشراف الوزارة,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,3,80,80000,0,0,0,0,0,0,0,5000,0,0
Tunis,11,المندوبية,إدارة أو مؤسسة تحت إشراف الوزارة,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,1,60,50000,0,0,0,0,0,0,0,5000,5,45
Tunis,11,المندوبية,ادارة او مؤسسة تحت اشراف الوزارة,تونس مدن الحضارات,المؤسسات الثقافية العمومية  ,2,60,10000,0,0,0,0,0,0,0,800,4,0
Tunis,11,المندوبية,إدارة أو مؤسسة تحت إشراف الوزارة,تونس مدن الفنون,المؤسسات الثقافية العمومية  ,1,80,20000,0,30000,0,0,0,0,0,5000,5,1500
Tunis,11,المندوبية,ادارة او مؤسسة تحت اشراف الوزارة,تونس مدن الفنون,المؤسسات الثقافية العمومية  ,1,40,10000,0,0,0,0,0,0,0,3000,4,1200
Tunis,11,المندوبية,ادارة او مؤسسة تحت اشراف الوزارة,تونس مدن الفنون,المؤسسات الثقافية العمومية  ,2,40,9000,0,0,0,0,0,0,0,500,4,200
Tunis,11,المندوبية,ادارة او مؤسسة تحت اشراف الوزارة,تونس مدن الفنون,المؤسسات الثقافية العمومية  ,1,10,12000,0,0,0,0,0,0,0,500,0,40
Tunis,11,المندوبية,ادارة او مؤسسة تحت اشراف الوزارة,تونس مدن الحضارات,مبادرة جمعياتية,1,20,40000,0,0,0,0,0,0,0,10000,4,0
Tunis,11,المندوبية,ادارة او مؤسسة تحت اشراف الوزارة,تونس مدن الفنون,مبادرة جمعياتية,4,100,10000,0,0,0,0,0,0,0,8000,4,4000
Tunis,11,المركز الثقافي بالوردية,دور ثقافة ومركبات ثقافية,تونس مدن الفنون,مبادرة جمعياتية,2,50,20000,0,0,0,0,0,0,0,800,0,100
Tunis,11,دار الثقافة العوينة,دور ثقافة ومركبات ثقافية,تونس مدن الفنون,مبادرة جمعياتية,1,20,5000,0,0,0,0,0,0,0,300,0,120
Tunis,11,دار الثقافة ابن رشيق,دور ثقافة ومركبات ثقافية,تونس مدن الفنون,مبادرة جمعياتية,1,30,15000,0,0,0,0,0,0,0,600,0,20
Tunis,11,دار الثقافة حي الحديقة,دور ثقافة ومركبات ثقافية,تونس مدن الآداب والكتاب,نشاط مؤسساث ثقافية,1,40,40000,0,0,0,0,0,0,0,300,0,50
Tunis,11,دار الثقافة سيدي حسين,دور ثقافة ومركبات ثقافية,تونس مدن الآداب والكتاب,نشاط مؤسساث ثقافية,2,60,60000,0,0,0,0,0,0,0,350,0,3
Tunis,11,دار الثقافة ابن خلدون,دور ثقافة ومركبات ثقافية,تونس مدن الآداب والكتاب,نشاط مؤسساث ثقافية,2,60,60000,0,0,0,0,0,0,0,300,0,3
Tunis,11,دار الثقافة ابن زيدون العمران,دور ثقافة ومركبات ثقافية,تونس مدن الآداب والكتاب,نشاط مؤسساث ثقافية,2,50,50000,0,0,0,0,0,0,0,300,0,2
Tunis,11,السليمانية,دور ثقافة ومركبات ثقافية,تونس مدن الآداب والكتاب,نشاط مؤسساث ثقافية,2,40,40000,0,0,0,0,0,0,0,200,0,3
Tunis,11,دار الثقافة ابن رشيق,دور ثقافة ومركبات ثقافية,تونس مدن الآداب والكتاب,نشاط مؤسساث ثقافية,2,50,50000,0,0,0,0,0,0,0,400,0,2
