gov_name_f,gov_id,Etablissement,Nature,Programme,Cadre_d_activite,Nbr_de_manifestations,Nbr_activite,Sub_ministere_Directe,Sub_ministere_indirecte,Sub_commissariat_Directe,Sub_commissariat_indirecte,Sub__structures_directe,Sub__structures_indirecte,sub_autres_parties_publiques,sub_autres_parties_prives,Nbr_d_abonnes,Capacite_operationnelle_directe,Capacite_operationnelle_indirecte
Tunis,11,دار الثقافة حي الطيران,دور ثقافة ومركبات ثقافية,الثقافة المندمجة والتضامنية ,المؤسسات الثقافية العمومية  ,1,10,2000,0,0,0,0,0,0,0,300,0,0
Tunis,11,دار الثقافة الكرم الغربي,دور ثقافة ومركبات ثقافية,الثقافة المندمجة والتضامنية ,نشاط مؤسساث ثقافية,1,10,3000,0,0,0,0,0,0,0,400,0,0
Tunis,11,دار الثقافة جبل الجلود,دور ثقافة ومركبات ثقافية,الثقافة المندمجة والتضامنية ,نشاط مؤسساث ثقافية,1,10,2000,0,0,0,0,0,0,0,500,0,0
Tunis,11,دار الثقافة حي الزهور,دور ثقافة ومركبات ثقافية,الثقافة المندمجة والتضامنية ,نشاط مؤسساث ثقافية,1,10,3000,0,0,0,0,0,0,0,400,0,0
Tunis,11,دار الثقافة قرطاج الياسمينة ,دور ثقافة ومركبات ثقافية,الثقافة المندمجة والتضامنية ,نشاط مؤسساث ثقافية,1,10,2000,0,0,0,0,0,0,0,500,0,0
Tunis,11,دار الثقافة سيدي حسين,دور ثقافة ومركبات ثقافية,الثقافة المندمجة والتضامنية ,نشاط مؤسساث ثقافية,1,10,2000,0,0,0,0,0,0,0,400,0,0
Tunis,11,دار الثقافة حي الطيران,دور ثقافة ومركبات ثقافية,الثقافة المندمجة والتضامنية ,نشاط مؤسساث ثقافية,1,15,2000,0,0,0,0,0,0,0,400,0,0
Tunis,11,دار الثقافة البحر الازرق,دور ثقافة ومركبات ثقافية,الثقافة المندمجة والتضامنية ,نشاط مؤسساث ثقافية,1,15,3000,0,0,0,0,0,0,0,300,0,0
Tunis,11,دار الثقافة حي الطيران,دور ثقافة ومركبات ثقافية,الثقافة المندمجة والتضامنية ,نشاط مؤسساث ثقافية,1,10,2000,0,0,0,0,0,0,0,400,0,0
Tunis,11,دار الثقافة سيدي حسين,دور ثقافة ومركبات ثقافية,الثقافة المندمجة والتضامنية ,نشاط مؤسساث ثقافية,1,15,3000,0,0,0,0,0,0,0,300,0,0
