gov_name_f,gov_id,Projet,Subvention,Association
Tunis,11,ثقافة الأحياء,,جمعية خليج الكرم للثقافة
Tunis,11,مسرح للجميع,,جمعية الإبداع المسرحي
Tunis,11,مشروع يوم دراسي دور الثقافة الوطنية في التوقي من الإرهاب,,جمعية تونس و السلام
Tunis,11,ليالي الأغنية الطربية,30000,جمعية ترانيم الثقافية
Tunis,11,أحنا مبدعون,,مجموعة مبدعون هنا و هناك
Tunis,11,تظاهرة المولدية,7000,جمعية ثقافة الفن السطمبالي
Tunis,11, المشهد المعماري بتونس,,جمعية جزم
Tunis,11,حي التضامن مدينة ثقافية ,10000,جمعية النادي الثقافي علي بلهوان
Ariana,12,,,
Ben Arous,13,,,
Manubah,14,شاشة المدارس,2000,الجامعة التونسية لنوادي السينما
Nabeul,15,كورال أطفال المعوقين,3000,أولياء و أصدقاء المعوقين التونسين فرع نابل 
Zaghouan,16,,,
Bizerte,17,جومين عروس الجبال,5000,الجمعية الإجتماعية و الثقافية سيدي البشير 
Béja,21,,,
Jendouba,22,مهرجان الربيع العربي للأدب و الفنون ,7000,ج مهرجان الربيع العربي للأدب و الفنون ببوسالم
Le Kef,23,,,
Siliana,24,,,
Sousse,31,,,
Monastir,32,تكوين فتيات في فن الماجورات ,10000,ماجورات قصر هلال
Mahdia,33,,,
Sfax,34,,,
Kairouan,41,,,
Kassérine,42,الجنادة,3000,النسائية هي
Kassérine,42,مهرجان الشعانبي للفنون التشكيلية,10000,فنون بلا حدود للتنمية
Kassérine,42,تجميع التراث اللا مادي,15000,ج التونسية للثقافة الشعبية فرع القصرين
Kassérine,42,365 يوما سينما,5000,خطوة للتنمية الشاملة
Kassérine,42,المزابل العشوائية فضاءات ترفيهية ثقافية,5000,التغيير المسرحي بفريانة
Kassérine,42,الطفل المبدع,8000,ج وفاء للمسرح بتلابت
Kassérine,42,مهرجان ليالي أطفال الريف ,6000,أحلام الطفولة بسبيطلة
Kassérine,42,حدودنا تحتفل فنا,10000,بارداوس للإنتاج المسرحي بفريانة
Kassérine,42,الترغيب في المطالعة,6000,أحباء المكتبة و الكتاب بالقصرين
Kassérine,42,الكميون الثقافي,15000,الشهاب المسرحي بماجل بعباس
Kassérine,42,القصرين تحيا فنا مهرجان موسيقى الشباب,10000,ج البعد السابع
Kassérine,42,تظاهرة شاعر الشعانبي,5000,إكتشف بلادك
Kassérine,42,مهرجان تراثنا هويتنا,10000,سنا سفيطلة للتنمية الثقافية و الإجتماعية
Kassérine,42,محطة حنضلة,5000,ربيع سبيطلة
Kassérine,42,الأيام السينمائية بالقصرين,7000,جمعية 1864
Kassérine,42,إحداث مكتبة الهواء الطلق ,5000,تنمية اللغة العربية و حمايتها
Kassérine,42,ملتقى الدولي للفنون و الصناعات التقليدية,10000,جمعية مهرجان السيليوم
Kassérine,42,قافلة الفنون,3000,ماجورات سفيطلة
Sidi Bou Zid,43,أريافنا تتنفس فنا,5000,الأبداع المسرحي بالمزونة
Sidi Bou Zid,43,محفل الفنون تراث أجدادي نبني بلاد,5000,الجمعية التونسية للثقافة و المواطنة بجلمة
Sidi Bou Zid,43,فنان بقرار شعبي,5000,جمعية الفروسية و الثقافة الشعبية
Sidi Bou Zid,43,إنجاز عمل مسرحي للأطفال,5000,تقمودة للمسرح بسيدي بوزيد
Sidi Bou Zid,43,طالب يقتحم ساحة الفنون مبدع,6000,جسور الإبداع المسرحي بسيدي بوزيد
Sidi Bou Zid,43,وردة و كتاب لتقاوم الإرهاب,5000,عصافير السلام للمسرح بسيدي بوزيد 
Sidi Bou Zid,43,نسمات ريفية تغزو الساحات الثقافي,10000,فنون للثقافة و إحياء التراث
Sidi Bou Zid,43,قافلة الفنون لتستمر الحياة إبداعات نسائية,7000,مدارات للأدب و الفكر و الفنون
Sidi Bou Zid,43,الشاشة المتحركة,5000,الجمعية التونسية للحراك الثقافي 
Sidi Bou Zid,43,ملتقى الشاهد الدولي للرواية الشعبية,5000,مهرجان الأغنية الشعبية و الشعر الشعبي بالمزونة
Sidi Bou Zid,43,أطفال يبدعون من أجل الأمن و السلام,7000,جمعية الطموح 
Sidi Bou Zid,43,كرنفال تل الزعتر ,10000,جمعية أضواء المدينة بالمكناسي
Gabès,51,الحامة مدينة الفنون,10000,ج مهرجان الحامة الدولي 
Médenine,52,مهرجان التراث و الصناعات التقليدية,15000,ج رؤيا لجرجيس المدينة  
Médenine,52,مهرجان فرحات يمون,25000,جمعية النهوض المسرحي بجربة
Tataouine,53,مهرجان عمر خلفت للمسرح,30000,جمعية عمر خلفت للمسرح
Gafsa,61, مهرجان الثقافة المنجمية,5000,جمعية المسرح اليومي بالرديف
Gafsa,61,ملتقى الفنون,5000,أفاق الفنون و التراث
Gafsa,61,الثقافة و التنمية بجهة قفصة,10000,جمعية ملتقى قفصة الدولي لحضارات ماقبل التاريخ
Gafsa,61,العرائس المسرحية في مقاومة الإرهاب طيلة السنة الدراسية,6000,جمعية الطفل الأمير
Tozeur,62,,,
Kebili,63,مهرجان سيدي حامد لإحياء التراث,8000,جمعية مهرجان سيدي حامد
