gov_name_f,gov_id,Projet,Espace_Association,Subvention
Tunis,11,""" مدينة فن لكل مسن""",شركة خديجة للإنتاج والتوزيع الفني,30000
Tunis,11,"""أنشطة ثقافية""",فضاء مسرح السنديانة,20000
Tunis,11,انشطة ثقافية,فضاء ريحة البلاد,10000
Tunis,11,الدورة السادسة من مهرجان براعم مسار,فضاء مسار,10000
Tunis,11,أمسية شعرية,,10000
Tunis,11,الدورة السابعة من مهرجان حومتنا فنانة ,فضاء مسار للفنون,40000
Tunis,11,مشروع ورشات الممثل امام الكاميرا في الجهات,شركة نوارة تونس للانتاج,70000
Tunis,11,المشروع الثقافي والفني والادبي بالعمران الاعلى,جمعية ترشيش للمسرح و الموسيقى,5000
Tunis,11,تظاهرةDream’s chebeb,شركة الفن مقاومة,100000
Tunis,11,المهرجان الدولي لشعر,جمعية سيدي بوسعيد للمالوف,15000
Tunis,11,انشطة ثقافية,Olfa events,40000
Tunis,11,,طلب تعاقد في اطار مدن الحضارات,10800
Tunis,11,تظاهرة ولاية تونس,الجمعية التونسية للثقافة الشعبية,29000
Tunis,11,المهرجان الدولي للموسيقى الروحانية ,مؤسسة رستم,15000
Tunis,11,ليالي الصالحية,المركز الوطني للاتصال الثقافي,15700
Tunis,11,Evenment Banzari,Association jet,11000
Tunis,11,عرض الحضرة 3,تعاونية الشؤون الثقافية والاخبار,85000
Tunis,11,انشطة ثقافية,فضاء لاقورا,20000
Tunis,11,المشروع الدولي لفن الضوء,Collectif creatif,15000
Tunis,11,ترجمة كتب اجنبية,مبادرة فردية,24000
Tunis,11,تنشيط الاحياء ذات الكثافة السكانية,المندوبية الجهوية للثقافة,46500
Tunis,11,نسمة خريف,المركز الدولي للثقافة والفنون قصر العبدلية,20500
Tunis,11,اسقيفة للفنون,مؤسسة طارةللانتاج والتوزيع الفني,30000
Tunis,11,ورشات الممثل أمام الكاميرا ,شركة نوارة تونس للإنتاج ,80000
Tunis,11,مهرجان عروستي فنانة ,فضاء مسرح السنديانة ,10000
Tunis,11,يوفى مال الجدين تبقىى صنعة اليدين ,مبادرة فردية ,11500
Tunis,11,مهرجان كافيشانطا (تسوية وضعية ),فضاء زاد للفنون ,10000
Ariana,12,تظاهرة مخيم المطالعة الأول,الجمعية الثقافية بقلعة الأندلس,6000
Ariana,12,مكثر الحضارات والفنون,جمعية مكتريس للفروسية والمحافظة على التراث,8000
Ariana,12,أنشطة ثقافية,المركز الثقافي أفروماد,15000
Ben Arous,13,تظاهرة ثقافية,جمعية ستار,3500
Ben Arous,13,تظاهرة زمان,مبادرة فردية,15000
Ben Arous,13,شواطئ الفنون,مبادرة فردية,14400
Ben Arous,13,طلب دعم لوجستي للمهرجان الدولي ,شركة باباروني,15000
Manubah,14,مبادرة فردية,شمسك طلعت,10500
Nabeul,15,انشطة ثقافية,المركز الثقافي ريدار,5000
Nabeul,15,مهرجان نابل الدولي,مهرجان نابل الدولي,40000
Nabeul,15,مهرجان فن زمان,المندوبية الجهوية للثقافة,25000
Zaghouan,16,عرائس الماء,جمعية احباء المكتبة والكتاب,10000
Zaghouan,16,عرض المدحة,,18000
Bizerte,17,Carvane nomade des deux rives,جمعية نحن نحب بنزرت,102000
Béja,21,أنشطة ثقافية,جمعية القناع وادي الزرقاء,5000
Béja,21,مشروع شمس الفنون,فضاء المركز الثقافي الخاص منار باجة,21730
Béja,21,كرنفال جمعية مهرجان دقة الدولي,جمعية مهرجان دقة الدولي,20000
Jendouba,22,الدورة 32 للمهرجان الدولي لربيع الأدب و الفنون ببوسالم,جمعية مهرجان الربيع العربي للأداب و الفنون ببوسالم,10000
Jendouba,22,الاشراف على ورشات المطالعة,مبادرة فردية,10800
Jendouba,22,أنشطة ثقافية,مقهى ثقافي عائلي,7000
Le Kef,23,تظاهرة ثقافية,مبادرة فردية,13000
Le Kef,23,ليالي يوغورطة ,المركز الثقافي يوغورطة ,30000
Siliana,24,المهرجان الوطني للفيلم القصير,المركز الدولي للفن الرابع بقعفور,12000
Siliana,24,في طبعنا كتاب,جمعية احباء المكتبة والكتاب,6000
Siliana,24,ملتقى مكتريس الدولي لتضافر الفنون,فضاء ايكار الثقافي,30000
Siliana,24,تظاهرة شارع الفنون,مبادرة فردية,2823.528
Siliana,24,الايام الثقافية بعين بوسعدية,مبادرة فردية,16000
Sousse,31,"طلب منحة المراكز الثقافية""",مسرح أرينا,17000
Sousse,31,طلب منحة تسير فضاء ثقافي,المركز الثقافي دار الفنون,5000
Sousse,31,تظاهرة مسرح 100 كرسي الدورة الثانية,فضاء كورتينا,15000
Sousse,31,"مشروع ""قوم""",مسرح الزندالة,10000
Sousse,31,مهرجان الموسيقي الصغير,جمعية الأنس الموسيقية,13000
Sousse,31,انشطة ثقافية,فضاء شركة  تيزيري,5000
Sousse,31,تظاهرات ثقافية,جمعية إشراق للثقافة والفنون,10000
Sousse,31,تظاهرة الجاز,المندوبية الجهوية للثقافة,58500
Monastir,32,,مطلب تنشيط في اطار مدن الفنون,10500
Mahdia,33,مهرجان عرب العيون باولاد شامخ,,55734.95
Mahdia,33,لدورة 37 لمهرجان قبودية,جمعية شمس القبودية,10000
Mahdia,33,تجهيز ستويو راديو واب بدار الثقافة قصور الساف ,جمعية قصور الساف للشباب و الثقافة و الإعلام,30000
Mahdia,33,من كد وجد ,فضاء شمس القبودية بالشابة ,10000
Sfax,34,انشطة ثقافية,المركز الثقافي القناع,10000
Sfax,34,مهرجان kerkennah 01,مهرجان kerkennah 01,80000
Sfax,34,الايام الثقافية بالتراكة,الفضاء الثقافي السندباد,5000
