gov_name_f,gov_id,Projet,Corps,Subvention
Tunis,11,تظاهرة مشي وجي,شركة فضاء فنون وتوزيع الريو,50000
Tunis,11,"انتاج عرض غنائي فرجوي نغمات تونسية في العصر الجميل""",مبادرة فردية,15000
Tunis,11,دعم ملتقى شكري بلعيد الدولي دورة 2,دار الثقافة جبل الجلود,27700
Tunis,11,المهرجان العربي للموسيقي الملتزمة,دار الثقافة ابن رشيق,10500
Tunis,11,Festival International de l’illusion,Ste.Magic Event,15000
Tunis,11,مشروع ملتقى الادب الوجيز اللبناني,الرابطة العربية للفنون والابداع,20000
Tunis,11,مهرجان سيدي بوسعيد الدولي للشعر الدولي ,جمعية سيدي بوسعيد للمألوف و التراث ,20000
Tunis,11,ليالي الصالحية ,المركز الوطني للإتصال الثقافي ,25000
Tunis,11,انشاء مكتبة   ,المندوبية الجهوية للشؤون الثقافية بتونس,100000
Tunis,11,أنشطة ثقافية,المركز الثقافي دويندي ,25000
Tunis,11,ليالي رمضان,قصر العبدلية ,30000
Tunis,11, تظاهرة مشي وجي ,فضاء الريو ,25000
Tunis,11,مختبر الممثل الباحث ,شركة مسرح البديل ,95000
Tunis,11,مهرجان القراءة ,جمعية أحباء المكتبة ,20000
Tunis,11,مهرجان الفنون المتوسطي  ,جمعية مواطنة ,30000
Tunis,11,مهرجان حومتنا فنانة,فضاء مسار,40000
Tunis,11,jeusid jazz,فضاء الاقورة,20000
Tunis,11,انشطة ثقافية,فضاء ايكار,30000
Tunis,11,مشروع مسرحي المندرة,مبادرة فردية,40000
Tunis,11,فيلملي,قصر العبدلية ,30000
Tunis,11,المشروع الثقافي يوم الطفل,مبادرة فردية,35000
Tunis,11,انشطة ثقافية,مبادرة فردية,30000
Tunis,11,دراسة  ومتابعة ملفات البرنامج الوطني مدن الحضارات,مبادرة فردية,14400
Tunis,11,فنان صغير,شركة بدعة للانتاج,35000
Tunis,11,براعم مسار,فضاء مسار,13000
Tunis,11,مشروع غالية,مبادرة فردية,40000
Tunis,11,الدورة 30 لايام قرطاج السينمائية لسنة 2019,المركز  الوطني للسينما والصورة,200000
Tunis,11,ليالي العبدلية,المركز الدولي  للثقافة والفنون قصر العبدلية,100000
Tunis,11,مشروع ثقافي klinik,entreprise be comm,20000
Tunis,11,انشطة ثقافية,فضاء الاقورة,60000
Tunis,11,انشطة ثقافية,فضاء السنديانة,20000
Tunis,11,عرض موسيقي صوفي اهل المحبة,مبادرة فردية,37000
Tunis,11,مشروع الممثل امام الكاميرا,شركة نوارة تونس للانتاج,80000
Tunis,11,ملتقى مسرح الشارع الدولي الدورة التاسيسية,مبادرة فردية,30000
Tunis,11,المهرجان الدولي مرا للمسرح النسائي,المهرجان الدولي مرا للمسرح النسائي,15000
Tunis,11,مهرجان ابن رشيق الدولي لمسرح الاطفال,دار الثقافة ابن رشيق,20000
Tunis,11,أنشطة ثقافية,الفضاء الثقافي دار بن عبد الله,50000
Tunis,11,انشطة ثقافية ,فضاء مسار,20000
Tunis,11,مهرجان كافيشانطا -مهرجان المسرح الكوني للطفل,فضاء زاد الثقافي,30000
Tunis,11,تظاهرة أيام قرطج السينمائية بكندا,المركز الثقافي دوندي,21000
Ariana,12,انشطة ثقافية,المركز الثقافي افروماد,25000
Ben Arous,13,المروج تغلي بالفن,مبادرة فردية,7000
Ben Arous,13,بصمة وبسمة,دار الثقافة ابو القاسم الشابي,10000
Ben Arous,13,المهرجان الدولي لفنون السيرك الدورة 2,شركة باباروني,25000
Ben Arous,13,ملتقى بن عروس المغاربي للكتاب,المندوبية الجهوية للشؤون الثقافية ,15000
Manubah,14,عمل مسرحي,الفضاء الثقافي دار السندباد,10000
Nabeul,15,,,
Zaghouan,16,كمنجة عمي نور رسالة للفرح والسرور,مبادرة فردية,11000
Zaghouan,16,الدورة الخامسة لملتقى عليسة للفنون التشكيلية,دار الثقافة بئر المشارقة,32250
Zaghouan,16,المشروع الثقافي تونس الرائعة,مبادرة فردية,20480
Bizerte,17,مختبر بنزرت للتنشئة في الموسيقى الكلاسيكية,دار الثقافة الشيخ ادريس,25000
Béja,21,ايام vaga  للمسرح,جمعية محمد الحيدي للمسرح,15000
Béja,21,الدورة الاولى لمهرجان الشعراء العرب,المندوبية الجهوية للشؤون الثقافية ,15000
Béja,21,مهرجان البحيرة الدورة 2,دار الثقافة الحبيب حداد وادي الزرقاء,10000
Béja,21,عرض فني للرقص الكلاسيكي,دار الثقافة عمار فرحات,15000
Béja,21,انشطة ثقافية,دار نفيسة بن يوسف,25000
Jendouba,22,مدينتنا فن على فن,مبادرة فردية,7000
Jendouba,22,مشروع المختبرات المسرحية,مركز الفنون الدرامية والركحية بجندوبة,25000
Jendouba,22,انشطة ثقافية,مبادرة فردية,12000
Le Kef,23,حول خلاص العروض الموسيقية للاحتفاء بذكرى رحيل صليحة ,المندوبية الجهوية للشؤون الثقافية,34000
Le Kef,23,الملتقى الاقليمي للاستثمار الثقافي,شركة أصحاب للتنمية,19425
Le Kef,23,ينابيع الجبال ,المندوبية الجهوية للشؤون الثقافية بولاية الكاف,30000
Le Kef,23,الفاعليين الثقافيين,فضاء اصحاب سيرتا,15000
Le Kef,23,أنشطة ثقافية,المركز الثقافي عالم الفنون,15000
Siliana,24,أنشطة ثقافية,دار الثقافة سليانة,14600
Siliana,24,فن تحريك العرائس للأطفال,مبادرة فردية ,8500
Siliana,24,مهرجان العين التراثي,شركة هيا ايفانتس,8000
Siliana,24,الفيلم القصير,فضاء الفن بقعفور,20000
Sousse,31,نتعلم و نبدع,الفضاء الثقافي الخاص قلعة الحفر الفني,35000
Sousse,31,معرض سوسة الدولي للكتاب الدورة 6,المندوبية الجهوية للشؤون الثقافية بسوسة,25000
Sousse,31,برنامج ثقافي فني,فضاء البيرو,40000
Sousse,31,انشطة ثقافية,فضاء مسرح ارينا,10000
Monastir,32,تظاهرة مدارج الفن,المندوبية الجهوية للثقافة المنستير,15000
Monastir,32,موزاييك لبتيس,دار الثقافة لمطة,5000
Mahdia,33,الملتقى الوطني الأول للفوتوغرافيين الشبان,المندوبية الجهوية للشؤون الثقافية بولاية المهدية,10000
Mahdia,33,مهرجان العادات ,المندوبية الجهوية للشؤون الثقافية بولاية المهدية,22700
Sfax,34,انشطة ثقافية,المركز الثقافي القناع المحرس,10000
Sfax,34,تظاهرة بالفن نعيش مرتين         ,مبادرة فردية,7000
Sfax,34,ملتقى المكان الدولي بجزيرة قرقنة ,المندوبية الجهوية للشؤون الثقافية (جمعية المكان فن بلا حدود),17000
Kairouan,41,"دار الثقافة حفوز ""تفنن في مؤسستك""",دار الثقافة حفوز,10000
Kairouan,41,"تظاهرة العيون للفنون التشكيلية الدورة العاشرة""",دار الثقافة حاجب العيون,16380
Kairouan,41,المشروع المسرحي ساعة في حضرتهم,شركة مسرح عين,30000
Kairouan,41,اولاد حفوز تحتفل بالفنون,مبادرة فردية,7000
Kassérine,42,انشطة ثقافية,مبادرة فردية,8280
Kassérine,42,حلفاء الفنون,مبادرة فردية,7000
Kassérine,42,القصرين تغني للحب والسلام,مبادرة فردية,7000
Kassérine,42,انشطة ثقافية,مبادرة فردية,8470.596
Kassérine,42,افروديت,مبادرة فردية,25000
Kassérine,42,مشروع عمي ونيس,مبادرة فردية,15000
Kassérine,42,تظاهرة الديدودرام,فضاء مينرفا تياتر,10000
Kassérine,42,انشطة ثقافية,المركز الدولي للفنون المعاصرة,10000
Kassérine,42,حاسي الفريد تستحق الحياة,مبادرة فردية,7000
Kassérine,42,القصرين بلادنا من المخدرات نحمو اولادنا دورة 2,مبادرة فردية,7000
Kassérine,42,شباب يبدع شباب يعبر,مبادرة فردية,7000
Kassérine,42,نادي حقوق الطفل,مبادرة فردية,7000
Kassérine,42,أنشطة ثقافية,الفضاء الثقافي فينوس,10000
Sidi Bou Zid,43,المزونة منارة مدن الفنون,مبادرة فردية,7000
Sidi Bou Zid,43,احتفال القراءة,المكتبة العمومية بمنزل بوزيان,15000
Sidi Bou Zid,43,تظاهرة حصون ضد الارهاب,المركب الثقافي سيدي علي بن عون,15000
Sidi Bou Zid,43,انا تونسي من حقي نقرا من حقي نحيا,المكتبة العمومية ببئر الحفي,5000
Sidi Bou Zid,43,أنشطة ثقافية 2019,المركب الثقافي سيدي علي بن عون,20000
Sidi Bou Zid,43,ارياف المزونة تعانق السينما,دار الثقافة الطاهر لبيب بالمزونة,20000
Sidi Bou Zid,43,مشروع كلاشينتوف,شركة الحلم التونسي,50000
Gabès,51,مشروع أيام الكتاب الحامة من 23 إلى 28 مارس,جمعية مهرجان الحامة الدولي,25000
Gabès,51," تظاهرة ""ملحمة الأرض """,جمعية مهرجان الحامة الدولي,20000
Gabès,51,أنشطة ثقافية ,فضاء دار الموسيقي الحامة ,15000
Gabès,51,انشطة ثقافية,فضاء دار الموسيقي الحامة ,7000
Médenine,52,مسابقة تحدي القراءة,دار الثقافة اجيم,5000
Médenine,52,ابدعات وتجليات,دار الثقافة بن قردان,25000
Médenine,52,انشطة ثقافية,المكتبة العمومية بأجيم,5000
Médenine,52,انشطة ثقافية وملتقيات فكرية,فضاء وطن للانتاج المسرحي بني خداش,10000
Médenine,52,انشطة ثقافية,المركز الثقافي مخبر الفنون,10000
Médenine,52,فيلم توثيقي لمحمة 7 مارس 2016,مبادرة فردية,5000
Tataouine,53,عروض مسرحية,مركز الفنون الدرامية والركحية بتطاوين,8000
Gafsa,61,مناجم الفنون,مبادرة فردية,7000
Gafsa,61,تبني المواهب في الكتابة الابداعية,المكتبة العمومية حي الرئيس بالمتلوي,4000
Gafsa,61,انشطة  ثقافية  لذوي الاحتاجيات الخصوصية,المكتبة العمومية طريق المعاهد المتلوي,3000
Gafsa,61,الكتاب يجيك وفي الريف يزهيك,المكتبة العمومية ام العرائس,3000
Gafsa,61,مهرجان القلعة الثقافي والسياحي بالقطار,دار الثقافة الشاذلي القطاري,5000
Tozeur,62,نفائس الكتابة,مبادرة فردية بالشراكة مع ادارة المطالعة العمومية والمندوبية,20450
Tozeur,62,مكتبتي سندي في تنمية معرفتي ,المكتبة العمومية بالدقاش,10000
Tozeur,62,مبادرة فردية ,ذوي الاحتياجات الخصوصية يبدعون في مدن الفنون ,15000
Tozeur,62,كتابي سر نجاحي,المكتبة المتجولة بتوزر,9300
Tozeur,62,الملتقى العربي لادب الواحة والصحراء,الجمعية التونسية للتنشيط الثقافي والسياحي,13000
Kebili,63,المهرجان الدولي لسينما التراث,جمعية سلام الانشطة الشبابية والثقافية,20000
Kebili,63,ملتقى وطني للفنون التشكيلية,دار ابن رشيق بالفوار,10000
Kebili,63,ورشات في المونتاج,دار الثقافة سوق الاحد,5000
Kebili,63,انشطة ثقافية,دار صالح للفنون بدوز,10000
Kebili,63,تظاهرة سينما الطفل/البطولة الجهوية للمباريات الثقافية,دار الثقافة ابن الهيثم,5000
Kebili,63,مشروع سيني,دار الثقافة محمد المرزوقي,10000
Kebili,63,ايام وطنية للفنون تشكيلية,مبادرة فردية,20000
Kebili,63,أنشطة ثقافية,دار المسرح والفنون بدوز,20000
Kebili,63,أنشطة ثقافية,فضاء دار صالح للفنون,20000
