gov_name_f,gov_id,Projet,Subvention,Corps,Propriétaire_du_projet
Tunis,11,تظاهرة la saison bleue,25000,creation Syhem Belkhodja 2018,سهام بالخوجة
Tunis,11,عشوية المدينة,27000,مبادرة فردية,جمال الدين بوكراع
Tunis,11,فن الفسيفساء داخل فضاءات التنشيط,7200,مبادرة فردية,نادية العبدلي
Tunis,11,الدورة 44 لمهرجان البحر الأبيض المتوسط بحلق الوادي,21700,المندوبية الجهوية للشؤون الثقافية,جمعية مهرجان البحر الأبيض المتوسط
Tunis,11,تراث تونسي با شبابة,24000,مبادرة فردية,روضة عبد الله
Tunis,11,تهيئة قاعات العرض ,15000,المعهد الوطني للتراث (المتحف الوطني بباردو ),المعهد الوطني للتراث
Tunis,11,القفة حكايتنا والسخاب زينتنا,12000,مبادرة فردية,صفاء الطرابلسي
Tunis,11,فيلم وثائقي رقادة زمن العجائب,70000,شركة جوستينا فيلم,مختار العجيمي
Tunis,11,من قرطاج البونية إلى قرطاج التونسية,100000,ايماقو فيلم,محمد الناصر القطاري
Tunis,11,إنجاز مشاريع إحياء و تهيئة بعض المتاحف و المعالم و المواقع الأثرية,150000,وكالة إحياء التراث والتنمية الثقافية,مهدي النجار
Tunis,11,ابن الأرض2,35000,مبادرة فردية,محمد الغربي
Ariana,12,مشروع ترميم المنحوتات,12000,مبادرة فردية,يسري البحريني
Ariana,12,كرنفال تونس عاصمة للثقافة الإسلامية,10000,المركز الثقافي أفروماد ,نسرين الدالي
Ben Arous,13,كتابي فني,10000,دار الثقافة المروج,نجوى الملوحي
Manubah,14,ندوة علمية,15000,جمعية صيانة المدينة بطبربة,عبد الوهاب محجوب
Nabeul,15,"عرض فني مدعوم ""رقش""",4000,دار الثقافة الهوارية,سنية البري الحمروني
Zaghouan,16,الصورة الفوتوغرافية التراثية هوية,10000,دار الثقافة صواف,المندوبية الجهوية للشؤون الثقافية
Zaghouan,16,ملتقى حمام الزريبة للقصة ,7000,دار الثقافة بالزريبة حمام,المندوبية الجهوية للشؤون الثقافية
Zaghouan,16,تظاهرة فسيفسائيات الدورة الأولى,10000,المندوبية الجهوية للشؤون الثقافية,المندوبية الجهوية للشؤون الثقافية
Bizerte,17,مهرجان الغرف النومدية بسجنان,10000,دارالثقافة إبن سينا بسجنان,المندوبية الجهوية للشؤون الثقافية
Béja,21,برنامج ثقافي فن بلاحدود,20000,دار الثقافة أبو القاسم الشابي مجاز الباب,المندوبية الجهوية للشؤون الثقافية
Jendouba,22,,,,
Le Kef,23,الملتقى الجهوي للإبداع الأدبي,10000,المكتبة الجهوية بالكاف,نعمان الحباسي
Siliana,24,الدورة الثانية للملتقى الوطني حرفيات ،عصاميات ،مبدعات,20900,دار الثقافة الكريب,المندوبية الجهوية للشؤون الثقافية
Sousse,31,ترميم وتسييج الماجل الأزرق,100000,المعهد الوطني للتراث (المجلس الجهوي لولاية سوسة),المعهد الوطني للتراث 
Sousse,31,الدورة 19 لمهرجان أيام الفداوي,30000,المندوبية الجهوية للشؤون الثقافية,المندوبية الجهوية للشؤون الثقافية
Sousse,31,حنبعل الملحمة الخالدة,24000,مبادرة فردية,هشام الحفيان
Monastir,32,Les quarantes et un regards dans l’art et la passion,25000,مبادرة فردية,محمد سامي البشير
Mahdia,33,,,,
Sfax,34,تظاهرة قصر تنوير عليه النور,20000,جمعية مسرح بلا حدود,حمادي الملولي
Kairouan,41,أطفالنا مستقبل بلادنا,12000,مبادرة فردية,محمد العايدي
Kairouan,41,الدورة السابعة للملتقى المغاربي للتراث الشفوي,40000,المركز الثقافي بالقيروان,المندوبية الجهوية للشؤون الثقافية
Kassérine,42,سفوح الشعانبي للثقافة البدوية,25000,مبادرة فردية,زهرة الجامعي
Kassérine,42,عمل مسرحي مالية ،ملكة الإكليل ,10000,المركز الثقافي الجبلي بسمامة,عدنان الهلالي
Kassérine,42,التشبيك الثقافي للمدن الحدودية,15000,مبادرة فردية,فطوم بلعابي
Kassérine,42,أثارنا رمز هويتنا,7000,مبادرة فردية,مجيد نصري
Sidi Bou Zid,43,تظاهرة التراث ربيع الهوية التونسية,10000,المركب الثقافي منزل بوزيان,محمد الطاهر بن علي
Sidi Bou Zid,43,من أجل فتيات مبدعات وحرفيات,8000,دار الثقافة أبو بكر القمودي,أنيس الدايم
Sidi Bou Zid,43,"تظاهرة ""سينما ومواقع""",8000,دار الثقافة أبو بكر القمودي,أنيس الدايم
Sidi Bou Zid,43,الجواد العربي الأصيل,5000,دار الثقافة المكناسي,توفيق خليفي
Sidi Bou Zid,43,"تراثنا حكاية ""التراث الثقافي اللامادي ابتكار واستثمار""",10000,دار الثقافة الطاهر لبيب بالمزونة,عاطف عواديد
Gabès,51,الملتقى الدولي للخط العربي الدورة السادسة ,15000,جمعية دار الفنون قابس,عبد الحي مختار
Médenine,52,القصور الجبلية هوية حضارية,18000,مبادرة فردية,محمد نصري
