Nom-de-festival,Budget,Ministere,Commessariat,Conseil-d-etat,Conseil-municipal,Nbre-de-convois,Nbre-de-participant,Nbre-de-billets,Gains,Espace-d-affichage,Capacite-d-absorption
"م , أوليس جربة الدولي",175000,150000,25000,2000,0,0,غير محدد,مجانا,مجانا,الساحة العمومية,0
"م , سيدي مخلوف",28000,20000,8000,0,4000,0,2300,مجانا ,مجانا ,ميناء الصيد البحري,0
"م , الغربوز ببني خداش ",10000,10000,0,0,0,0,1200,مجانا,مجانا,المعهد الثانوي+دار الثقافة,0
"م , الأوتار ببنقردان",18000,18000,0,0,0,0,غير محدد,مجانا,مجانا,الفسحة الشاطئية,0
"م , الفخار بقلالة جربة",18895,0,0,0,0,0,17200,16078,مجانا,المدرسة الابتدائية,0
"م , النحام الوردي بحسي الجربي جرجيس",24000,0,0,0,0,0,غير محدد,مجانا,مجانا,الفسحة الشاطئية,0
الأيام الثقافية بالقصبة سيدي مخلوف,0,0,0,0,0,0,غير محدد,مجانا,مجانا,الساحة العمومية,0
"م , نسانا ع الركح",6000,4000,2000,0,0,0,1500,مجانا,مجانا,المركب الثقافي,500
ملتقى السرديات الدولي ,19000,8000,10000,1000,0,0,100,*,*,*,0
ملتقى الجوامع المحفورة ,4000,0,4000,0,0,0,200,*,*,دار الثقافة ,200
مهرجان نوادي المسرح بدور الثقافة و دور الشباب,0,0,0,0,0,0,دون حضور جمهور,*,,مختلف دور الثقافة بالجهة,0
الصالون الجهوي لنوادي الفنون التشكيلية بدور الثقافة,0,0,0,0,0,0,30,*,,ساحة المندوبية,
